method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,1000,0,1.0,0.40871033186380445,0.7346441208543878,0.0005520629510424913,0.00110035274757864,3.7731545063424432e-06
Classical,2,1000,0,1.0,,0.7346441208543878,0.0014432318099743395,0.00288179340273185,4.6702172168288086e-06
PPI,2,1000,1,1.0,0.4782275620494466,0.7346441208543878,0.00014872757663348012,0.00023227189105954252,6.51832622074177e-05
Classical,2,1000,1,1.0,,0.7346441208543878,0.0018818963201694427,0.003231812350619104,0.0005319802897197812
PPI,2,1000,2,1.0,0.37632659538867663,0.7346441208543878,0.00027277448705390316,0.00043055216628142527,0.00011499680782638102
Classical,2,1000,2,1.0,,0.7346441208543878,0.0006354918540947646,0.001129890235002686,0.00014109347318684305
PPI,2,1000,3,1.0,0.5158087127204037,0.7346441208543878,0.0005299893615494449,0.0008789059242519129,0.00018107279884697707
Classical,2,1000,3,1.0,,0.7346441208543878,0.000734600744217434,0.0010050459804705773,0.0004641555079642905
PPI,2,1000,4,1.0,0.416247242500752,0.7346441208543878,8.169531159134098e-05,0.00012151719249228694,4.1873430690395034e-05
Classical,2,1000,4,1.0,,0.7346441208543878,0.0002839513086358008,0.00028504808295065414,0.0002828545343209475
PPI,2,1000,5,1.0,0.4779646307862977,0.7346441208543878,0.0001743044678640472,0.0002911171912430344,5.749174448505997e-05
Classical,2,1000,5,1.0,,0.7346441208543878,0.0001605083323653451,0.0002447212471899328,7.62954175407574e-05
PPI,2,1000,6,1.0,0.4456080634497767,0.7346441208543878,0.0002282143520798599,0.00039469092875305407,6.173777540666571e-05
Classical,2,1000,6,1.0,,0.7346441208543878,0.0007570336119053237,0.0013719183843884668,0.00014214883942218056
PPI,2,1000,7,1.0,0.441649167583095,0.7346441208543878,0.00033436541115756447,0.0004168864064239662,0.0002518444158911628
Classical,2,1000,7,1.0,,0.7346441208543878,0.001077737735269089,0.0019468469575226637,0.00020862851301551414
PPI,2,1000,8,1.0,0.3854344349480354,0.7346441208543878,0.00013697917189079244,0.00021946254911308483,5.449579466850006e-05
Classical,2,1000,8,1.0,,0.7346441208543878,0.00010416431330670798,0.00016766487110336507,4.066375551005088e-05
PPI,2,1000,9,1.0,0.4331537269500388,0.7346441208543878,0.0001309116382303791,0.00014772994132926175,0.00011409333513149644
Classical,2,1000,9,1.0,,0.7346441208543878,0.00018377193053264792,0.0002450503209620328,0.00012249354010326305
PPI,2,1000,10,1.0,0.39590216230114345,0.7346441208543878,7.944911214326422e-05,0.00015572521135219568,3.1730129343327434e-06
Classical,2,1000,10,1.0,,0.7346441208543878,0.0007934145133239755,0.0015324311850373762,5.439784161057492e-05
PPI,2,1000,11,1.0,0.43011705580464743,0.7346441208543878,8.995693675935354e-05,0.00017976288877176165,1.5098474694543462e-07
