method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,10,0,1.0,0.0426517966237974,-0.43577906357503393,0.10369678680738904,0.19636282099070976,0.011030752624068321
Classical,2,10,0,1.0,,-0.43577906357503393,0.12817095643986925,0.24385860588424943,0.012483306995489062
PPI,2,10,1,1.0,0.48133704052437964,-0.43577906357503393,0.3854036593758515,0.681620123155162,0.08918719559654115
Classical,2,10,1,1.0,,-0.43577906357503393,0.15193388151146495,0.20177560454493962,0.10209215847799027
PPI,2,10,2,1.0,0.0,-0.43577906357503393,0.262842839237055,0.3953096771036049,0.13037600137050512
Classical,2,10,2,1.0,,-0.43577906357503393,0.262842839237055,0.3953096771036049,0.13037600137050512
PPI,2,10,3,1.0,0.32149777190862755,-0.43577906357503393,0.23507853343545812,0.4334824982251126,0.03667456864580366
Classical,2,10,3,1.0,,-0.43577906357503393,0.06588349090344836,0.13086359312628865,0.0009033886806080653
PPI,2,10,4,1.0,0.04517554306661587,-0.43577906357503393,0.08365873196369228,0.13264349177690152,0.034673972150483054
Classical,2,10,4,1.0,,-0.43577906357503393,0.09267994569716399,0.14590565623767165,0.039454235156656324
PPI,2,10,5,1.0,0.09118110966658091,-0.43577906357503393,0.06631396510349516,0.09134976475099128,0.04127816545599903
Classical,2,10,5,1.0,,-0.43577906357503393,0.037832856878818516,0.06026273507410305,0.015402978683533988
PPI,2,10,6,1.0,0.08725699446355839,-0.43577906357503393,0.184947715888863,0.21833663056223904,0.15155880121548693
Classical,2,10,6,1.0,,-0.43577906357503393,0.17236249515595575,0.2979999582317496,0.04672503208016192
PPI,2,10,7,1.0,0.22228490477516685,-0.43577906357503393,0.14301974617876884,0.27250150614452906,0.013537986213008595
Classical,2,10,7,1.0,,-0.43577906357503393,0.21788624864149136,0.2994775395418372,0.1362949577411455
PPI,2,10,8,1.0,0.0,-0.43577906357503393,0.1194947488459085,0.17397013063673913,0.06501936705507784
Classical,2,10,8,1.0,,-0.43577906357503393,0.11949474884590852,0.1739701306367392,0.06501936705507784
PPI,2,10,9,1.0,0.1204421654223482,-0.43577906357503393,1.2295955105312144,2.234042216431915,0.2251488046305136
Classical,2,10,9,1.0,,-0.43577906357503393,0.5287756620160926,0.9818048391600529,0.07574648487213231
PPI,2,10,10,1.0,0.053829169335769526,-0.43577906357503393,0.022799102461901893,0.0340387494357172,0.011559455488086585
Classical,2,10,10,1.0,,-0.43577906357503393,0.0273700179238301,0.03652881693025772,0.018211218917402485
PPI,2,10,11,1.0,0.2833561005391062,-0.43577906357503393,0.17940163562373193,0.3497854182525951,0.009017852994868718
Classical,2,10,11,1.0,,-0.43577906357503393,0.14870631549799068,0.21445923094393776,0.08295340005204362
PPI,2,10,12,1.0,0.20179503842828636,-0.43577906357503393,0.03927906492545187,0.06621863268654254,0.0123394971643612
Classical,2,10,12,1.0,,-0.43577906357503393,0.08508718513374207,0.15385729577873714,0.01631707448874701
PPI,2,10,13,1.0,0.33047422353659534,-0.43577906357503393,0.1705431847610731,0.2424804952664413,0.0986058742557049
Classical,2,10,13,1.0,,-0.43577906357503393,0.0697323454238652,0.0821000963452038,0.057364594502526595
PPI,2,10,14,1.0,0.25676579448656867,-0.43577906357503393,0.058195125096776254,0.09789012770929638,0.018500122484256136
Classical,2,10,14,1.0,,-0.43577906357503393,0.14768376365808128,0.1494072159122327,0.1459603114039299
PPI,2,10,15,1.0,0.4798686091300576,-0.43577906357503393,0.6050164803639637,1.2038924625087817,0.0061404982191456525
Classical,2,10,15,1.0,,-0.43577906357503393,0.0076815283195151764,0.009824485551050598,0.005538571087979755
PPI,2,10,16,1.0,0.2721469341255826,-0.43577906357503393,0.36233084112118186,0.720970121286169,0.003691560956194683
Classical,2,10,16,1.0,,-0.43577906357503393,0.14291057101182922,0.2513287148572056,0.03449242716645283
PPI,2,10,17,1.0,0.341319948560526,-0.43577906357503393,0.7517530382724672,1.2551936829130985,0.24831239363183596
Classical,2,10,17,1.0,,-0.43577906357503393,0.08683526602494689,0.1612367505010634,0.012433781548830375
PPI,2,10,18,1.0,0.5282097419673464,-0.43577906357503393,1.3194264030662068,2.4824978966486344,0.15635490948377923
Classical,2,10,18,1.0,,-0.43577906357503393,0.08066565013207658,0.12094706585653146,0.04038423440762168
PPI,2,10,19,1.0,0.133215601913245,-0.43577906357503393,0.1250797424094011,0.24969626924777066,0.0004632155710315182
Classical,2,10,19,1.0,,-0.43577906357503393,0.07285792376687146,0.1332244626728939,0.012491384860849022
PPI,2,10,20,1.0,0.045869690498183284,-0.43577906357503393,0.10658917036003059,0.19176109202923747,0.021417248690823707
Classical,2,10,20,1.0,,-0.43577906357503393,0.12767467818859124,0.23662362133601758,0.018725735041164926
PPI,2,10,21,1.0,0.08717767441778516,-0.43577906357503393,0.24638823352331102,0.471210253687035,0.02156621335958702
Classical,2,10,21,1.0,,-0.43577906357503393,0.2493441889907948,0.43522371345386185,0.06346466452772775
PPI,2,10,22,1.0,0.43261440729867834,-0.43577906357503393,2.2693767389152466,4.426249186843201,0.11250429098729249
Classical,2,10,22,1.0,,-0.43577906357503393,0.021754746678848608,0.03931124629576995,0.004198247061927262
PPI,2,10,23,1.0,0.36268089277708615,-0.43577906357503393,0.6113163586140667,1.1367530934009282,0.08587962382720535
Classical,2,10,23,1.0,,-0.43577906357503393,0.10125723862932208,0.19302678546144747,0.00948769179719669
PPI,2,10,24,1.0,0.42683176660224426,-0.43577906357503393,0.6131712481808116,0.6486310207624263,0.5777114755991969
Classical,2,10,24,1.0,,-0.43577906357503393,0.3537738347302787,0.6080759299362135,0.09947173952434385
PPI,2,10,25,1.0,0.1282753199326398,-0.43577906357503393,0.033893513869042234,0.06743087168326296,0.00035615605482150687
Classical,2,10,25,1.0,,-0.43577906357503393,0.029260587349139628,0.04355081451307924,0.014970360185200017
PPI,2,10,26,1.0,0.43771469971234095,-0.43577906357503393,0.39102367197012455,0.5370626796227171,0.24498466431753194
Classical,2,10,26,1.0,,-0.43577906357503393,0.009700664273005937,0.011415169669863041,0.007986158876148832
PPI,2,10,27,1.0,0.3452609987657327,-0.43577906357503393,0.2995166781607624,0.5820354950595228,0.016997861262002027
Classical,2,10,27,1.0,,-0.43577906357503393,0.13974543823603552,0.17627276116639398,0.10321811530567704
PPI,2,10,28,1.0,0.16622977387827745,-0.43577906357503393,0.1318104107138444,0.2556266631607192,0.007994158266969609
Classical,2,10,28,1.0,,-0.43577906357503393,0.060935982885416136,0.11636414543843861,0.005507820332393667
PPI,2,10,29,1.0,1.0,-0.43577906357503393,5.449811630863764,10.882155132478223,0.017468129249304805
Classical,2,10,29,1.0,,-0.43577906357503393,0.2701046140720544,0.34201438145818003,0.19819484668592877
PPI,2,100,0,1.0,0.14301361576278399,-0.43577906357503393,0.007064262093787733,0.007148884001706649,0.006979640185868817
Classical,2,100,0,1.0,,-0.43577906357503393,0.017668973697844766,0.03531381876801917,2.4128627670361273e-05
PPI,2,100,1,1.0,0.15239080741677014,-0.43577906357503393,0.012440688142350892,0.023466565887845764,0.0014148103968560193
Classical,2,100,1,1.0,,-0.43577906357503393,0.012761472965953518,0.014380978368335564,0.011141967563571472
PPI,2,100,2,1.0,0.0050003724288687325,-0.43577906357503393,0.0018221468126542405,0.0036228064309326057,2.148719437587537e-05
Classical,2,100,2,1.0,,-0.43577906357503393,0.001829763716049306,0.0036427021325330447,1.6825299565567453e-05
PPI,2,100,3,1.0,0.04253908190571876,-0.43577906357503393,0.000761537341898693,0.0015161020631460134,6.972620651372566e-06
Classical,2,100,3,1.0,,-0.43577906357503393,0.0014906632129655746,0.0027899574591140996,0.00019136896681704952
PPI,2,100,4,1.0,0.06846648057214708,-0.43577906357503393,0.003302309400522488,0.004746994406113733,0.0018576243949312427
Classical,2,100,4,1.0,,-0.43577906357503393,0.0028130781524084666,0.005533301891059952,9.285441375698092e-05
PPI,2,100,5,1.0,0.03788664837854902,-0.43577906357503393,0.004740425055748505,0.008895024947391637,0.0005858251641053739
Classical,2,100,5,1.0,,-0.43577906357503393,0.0052042327061125136,0.010204160050206017,0.00020430536201901107
PPI,2,100,6,1.0,0.09325688256200902,-0.43577906357503393,0.019965523834020324,0.03560814284437499,0.004322904823665659
Classical,2,100,6,1.0,,-0.43577906357503393,0.02423957630936402,0.037246576593903846,0.01123257602482419
PPI,2,100,7,1.0,0.12402006790459572,-0.43577906357503393,0.001119997358563662,0.0014333851053012863,0.0008066096118260379
Classical,2,100,7,1.0,,-0.43577906357503393,0.01080269638052852,0.013244354074213014,0.008361038686844027
PPI,2,100,8,1.0,0.10448123838411685,-0.43577906357503393,0.0021234578330705063,0.004197946152239589,4.896951390142327e-05
Classical,2,100,8,1.0,,-0.43577906357503393,0.002452170359500011,0.004534727741062106,0.00036961297793791545
PPI,2,100,9,1.0,0.11860650050610977,-0.43577906357503393,0.005703409753383138,0.010650100907443182,0.0007567185993230954
Classical,2,100,9,1.0,,-0.43577906357503393,0.011340214466418148,0.014199779480469315,0.00848064945236698
PPI,2,100,10,1.0,0.040954662698772945,-0.43577906357503393,0.009396695295484089,0.0180995502475705,0.0006938403433976771
Classical,2,100,10,1.0,,-0.43577906357503393,0.009353520172036936,0.016995030386488037,0.0017120099575858338
PPI,2,100,11,1.0,0.04355867473386251,-0.43577906357503393,0.006953532971315109,0.011869162347193523,0.0020379035954366954
Classical,2,100,11,1.0,,-0.43577906357503393,0.006355133250670778,0.008418892689848061,0.004291373811493494
PPI,2,100,12,1.0,0.1753375380968687,-0.43577906357503393,0.022798089228984054,0.03467986862516314,0.010916309832804973
Classical,2,100,12,1.0,,-0.43577906357503393,0.004162955928430132,0.008233205805495986,9.27060513642771e-05
PPI,2,100,13,1.0,0.04659647017699891,-0.43577906357503393,0.01833830802081499,0.03650708968586678,0.00016952635576319977
