method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,10,0,1.0,0.9084543940438028,0.6472024753142746,0.0020167822650254985,0.0030386873013573713,0.0009948772286936254
Classical,2,10,0,1.0,,0.6472024753142746,0.09066316314360891,0.1801847997635679,0.0011415265236499094
PPI,2,10,1,1.0,0.7269819775710479,0.6472024753142746,0.030452660769910843,0.05103294854039482,0.009872372999426863
Classical,2,10,1,1.0,,0.6472024753142746,0.579363657442544,1.0500055100836363,0.10872180480145185
PPI,2,10,2,1.0,0.6706022230152391,0.6472024753142746,0.006036865032247931,0.010796798416979154,0.0012769316475167078
Classical,2,10,2,1.0,,0.6472024753142746,0.05122162661015092,0.07759285558164591,0.024850397638655937
PPI,2,10,3,1.0,0.25469479314294535,0.6472024753142746,0.14594563301746943,0.1660101357737064,0.12588113026123246
Classical,2,10,3,1.0,,0.6472024753142746,0.2517262748445937,0.27368668530885903,0.22976586438032837
PPI,2,10,4,1.0,0.7047100843624903,0.6472024753142746,1.1082580475752296e-05,1.998012796869447e-05,2.185032982810122e-06
Classical,2,10,4,1.0,,0.6472024753142746,0.0012891620889764982,0.0023658148351101203,0.00021250934284287626
PPI,2,10,5,1.0,0.3695469078326403,0.6472024753142746,0.03628827934488402,0.05720840529764559,0.015368153392122438
Classical,2,10,5,1.0,,0.6472024753142746,0.09734783601577772,0.14745206094521296,0.04724361108634248
PPI,2,10,6,1.0,1.0,0.6472024753142746,0.001310265725495795,0.002580081421727201,4.045002926438901e-05
Classical,2,10,6,1.0,,0.6472024753142746,0.1811777242975086,0.30748806806905843,0.054867380525958825
PPI,2,10,7,1.0,0.621374720116284,0.6472024753142746,0.0004700572996943778,0.0008473103166849424,9.280428270381317e-05
Classical,2,10,7,1.0,,0.6472024753142746,0.002226581561740156,0.003405285072656258,0.001047878050824055
PPI,2,10,8,1.0,1.0,0.6472024753142746,0.0010813862545019798,0.0021621160593402224,6.564496637372625e-07
Classical,2,10,8,1.0,,0.6472024753142746,0.11485274972820733,0.22489552207442734,0.0048099773819873315
PPI,2,10,9,1.0,1.0,0.6472024753142746,0.0010978429931626516,0.0017617386934232356,0.00043394729290206774
Classical,2,10,9,1.0,,0.6472024753142746,0.08213555985665187,0.16352418011203912,0.0007469396012646343
PPI,2,10,10,1.0,0.121573601157594,0.6472024753142746,0.12619474893387847,0.24072254176672256,0.011666956101034362
Classical,2,10,10,1.0,,0.6472024753142746,0.16541012563968407,0.3169693643810522,0.013850886898315914
PPI,2,10,11,1.0,1.0,0.6472024753142746,0.0005050974112338806,0.0005308545844681653,0.00047934023799959597
Classical,2,10,11,1.0,,0.6472024753142746,0.10027641324080716,0.137962352337542,0.0625904741440723
PPI,2,10,12,1.0,0.5707337986768023,0.6472024753142746,0.020060997917292277,0.03507683459470023,0.005045161239884328
Classical,2,10,12,1.0,,0.6472024753142746,0.07437647396603135,0.1475237084178815,0.001229239514181179
PPI,2,10,13,1.0,0.34193052422106873,0.6472024753142746,0.06555266955538916,0.13002088232617748,0.0010844567846008504
Classical,2,10,13,1.0,,0.6472024753142746,0.12852427554635523,0.2556766313162051,0.0013719197765053425
PPI,2,10,14,1.0,1.0,0.6472024753142746,0.00034150230623207224,0.000536682081460365,0.00014632253100377955
Classical,2,10,14,1.0,,0.6472024753142746,0.022275095331687273,0.043282039342968225,0.001268151320406323
PPI,2,10,15,1.0,0.4636174441855716,0.6472024753142746,0.021415775056315867,0.037310239893764814,0.005521310218866918
Classical,2,10,15,1.0,,0.6472024753142746,0.08770252491590706,0.15824480644760106,0.01716024338421307
PPI,2,10,16,1.0,0.6877414027344926,0.6472024753142746,0.027760570163314714,0.05216910703462416,0.0033520332920052684
Classical,2,10,16,1.0,,0.6472024753142746,0.24420668210841467,0.4637409959930999,0.024672368223729427
PPI,2,10,17,1.0,0.5485420271395355,0.6472024753142746,0.008321503276966197,0.015521137624664191,0.001121868929268204
Classical,2,10,17,1.0,,0.6472024753142746,0.033405993128170774,0.05981539710885586,0.006996589147485682
PPI,2,10,18,1.0,0.3284811804260884,0.6472024753142746,0.014675422800986786,0.02156429041429845,0.007786555187675123
Classical,2,10,18,1.0,,0.6472024753142746,0.026687936099602204,0.042467668394170086,0.010908203805034322
PPI,2,10,19,1.0,1.0,0.6472024753142746,0.002919234221748324,0.004340969458580054,0.0014974989849165937
Classical,2,10,19,1.0,,0.6472024753142746,0.00951530172173154,0.010511705239305634,0.008518898204157447
PPI,2,10,20,1.0,0.8679522030825769,0.6472024753142746,0.0022363990917146333,0.004122610107148284,0.00035018807628098324
Classical,2,10,20,1.0,,0.6472024753142746,0.22730888021742351,0.3860488367450872,0.06856892368975981
PPI,2,10,21,1.0,0.5749147479678555,0.6472024753142746,0.015673055303347543,0.026869562555200645,0.004476548051494438
