method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,50,1000,0,1.0,0.11253671549178404,0.08777232956194632,0.0007366754078135907,0.006012871530220674,6.28771579240236e-09
Classical,50,1000,0,1.0,,0.08777232956194632,0.0009082282048313928,0.004870595362523985,1.7129459235002933e-07
PPI,50,1000,1,1.0,0.1311636556201954,0.08777232956194632,0.0014504955286731805,0.0055774987117453885,7.800404749578447e-06
Classical,50,1000,1,1.0,,0.08777232956194632,0.001032348210436573,0.006687809338500251,7.964214873403593e-08
PPI,50,1000,2,1.0,0.12137149344516188,0.08777232956194632,0.0014662285499812586,0.006731283965473031,9.021938035956535e-06
Classical,50,1000,2,1.0,,0.08777232956194632,0.0010770696384473943,0.005315367166964786,2.4343994862408695e-06
PPI,50,1000,3,1.0,0.10114511456036342,0.08777232956194632,0.0013756642937775964,0.008923833702143096,7.881872973267097e-06
Classical,50,1000,3,1.0,,0.08777232956194632,0.0012659997120333863,0.009519748118150987,4.7179890743399896e-08
PPI,50,1000,4,1.0,0.12776582271810838,0.08777232956194632,0.0016637680424317952,0.011549723025596466,1.4802863037485156e-08
Classical,50,1000,4,1.0,,0.08777232956194632,0.0009819147749670434,0.00799389213560483,3.6592859394377705e-06
PPI,50,1000,5,1.0,0.11604675430154326,0.08777232956194632,0.0012746745009354302,0.009735754843007798,1.0796329788781759e-07
Classical,50,1000,5,1.0,,0.08777232956194632,0.0009306167961174485,0.004800004395528002,3.5221331346164535e-07
PPI,50,1000,6,1.0,0.18122435270790227,0.08777232956194632,0.001959596931214665,0.0177281885850824,5.508761109098751e-07
Classical,50,1000,6,1.0,,0.08777232956194632,0.0011961615102013992,0.004628935674140308,9.68912098489156e-07
PPI,50,1000,7,1.0,0.12114962064292653,0.08777232956194632,0.0011525058700591858,0.005697407107109633,1.931438326723036e-07
Classical,50,1000,7,1.0,,0.08777232956194632,0.0007599523765911763,0.00393664296252292,1.788395299817387e-07
PPI,50,1000,8,1.0,0.14137953941056386,0.08777232956194632,0.0008284859464990679,0.004518545257705055,1.4850169674259384e-07
Classical,50,1000,8,1.0,,0.08777232956194632,0.0008212348674180942,0.004455878337964749,8.44241649933828e-07
PPI,50,1000,9,1.0,0.15960044803308146,0.08777232956194632,0.001391287707348038,0.009515706462569799,2.983668033134827e-06
Classical,50,1000,9,1.0,,0.08777232956194632,0.0011978727310708976,0.006442785334921593,3.582793075998822e-07
PPI,50,1000,10,1.0,0.10126086214724038,0.08777232956194632,0.0010150882081457076,0.0065197522333207076,1.3476369061597822e-06
Classical,50,1000,10,1.0,,0.08777232956194632,0.000751360956490786,0.0034054811880631676,2.870964256375402e-07
PPI,50,1000,11,1.0,0.1237469857188068,0.08777232956194632,0.0015091139200091384,0.007173521532315387,8.572452644293422e-07
Classical,50,1000,11,1.0,,0.08777232956194632,0.0013224448758708345,0.008248138625358344,8.725060409856538e-09
PPI,50,1000,12,1.0,0.13419429989145945,0.08777232956194632,0.0016527963583719244,0.01089427225086946,1.6587246451949526e-09
Classical,50,1000,12,1.0,,0.08777232956194632,0.0011919618451770484,0.0077418823169731026,1.2523460057006196e-07
PPI,50,1000,13,1.0,0.10906263696157442,0.08777232956194632,0.001415317624857898,0.006561621586769917,3.122047293640484e-07
Classical,50,1000,13,1.0,,0.08777232956194632,0.0012315573044250911,0.005678045412723128,1.1318061100325774e-08
PPI,50,1000,14,1.0,0.13463369943971176,0.08777232956194632,0.0012393635595022731,0.012651446677466085,2.8498904085803183e-06
Classical,50,1000,14,1.0,,0.08777232956194632,0.0009911975442492814,0.00871918968697412,1.5060871789761694e-07
PPI,50,1000,15,1.0,0.12180027673649911,0.08777232956194632,0.0015769504175442396,0.00937633697197948,8.469934071318407e-08
Classical,50,1000,15,1.0,,0.08777232956194632,0.001098768164542276,0.004263786180878944,2.225346469982405e-06
PPI,50,1000,16,1.0,0.13365424616331845,0.08777232956194632,0.0009558877130975554,0.0051630423193280385,6.821395203657606e-08
Classical,50,1000,16,1.0,,0.08777232956194632,0.0010025364352638287,0.006018120612753481,9.006389683033743e-07
PPI,50,1000,17,1.0,0.11557468069590096,0.08777232956194632,0.000991513350946361,0.007718652237300021,2.1507522504224115e-06
Classical,50,1000,17,1.0,,0.08777232956194632,0.001007635942132457,0.007221404951327983,5.754133017628098e-07
PPI,50,1000,18,1.0,0.1035906200877945,0.08777232956194632,0.0008506346673998011,0.005682686590978229,1.709015427004384e-08
Classical,50,1000,18,1.0,,0.08777232956194632,0.0008622406828713478,0.004153019037168244,3.695211230725944e-07
PPI,50,1000,19,1.0,0.11827257442708343,0.08777232956194632,0.0007614077694776862,0.010058938921590274,8.795058467076225e-08
Classical,50,1000,19,1.0,,0.08777232956194632,0.0008366239641377731,0.012916104782665071,1.5791089354667656e-11
PPI,50,1000,20,1.0,0.1195197519106502,0.08777232956194632,0.0011299986712452138,0.00807757794155921,1.391779950487742e-07
Classical,50,1000,20,1.0,,0.08777232956194632,0.0012209391553749578,0.005792815740205668,1.7419549637428604e-06
PPI,50,1000,21,1.0,0.14586835118235456,0.08777232956194632,0.0011657145776277577,0.008998710832749364,2.5183128783213534e-07
Classical,50,1000,21,1.0,,0.08777232956194632,0.0010057519258761499,0.004574299248531536,2.3410270301698154e-06
PPI,50,1000,22,1.0,0.11205956326671712,0.08777232956194632,0.0014076610689484198,0.008685816891894129,1.0210936277299426e-06
Classical,50,1000,22,1.0,,0.08777232956194632,0.0010239575964548664,0.006400493566075876,1.9582184962393124e-07
PPI,50,1000,23,1.0,0.13868639386830328,0.08777232956194632,0.0012090099149040555,0.009997547119718833,2.536591293628586e-09
Classical,50,1000,23,1.0,,0.08777232956194632,0.0009124123278580416,0.004954673838097032,8.06769371259203e-08
PPI,50,1000,24,1.0,0.1159533381864202,0.08777232956194632,0.0005959989457015677,0.004064210133517671,7.649543067130491e-08
Classical,50,1000,24,1.0,,0.08777232956194632,0.0005084460667845697,0.002367070063054398,1.4099070676772392e-07
PPI,50,1000,25,1.0,0.1225217661801755,0.08777232956194632,0.0009296551552949976,0.006449122767215882,1.4348962682197505e-08
Classical,50,1000,25,1.0,,0.08777232956194632,0.0007323104525701653,0.004540183714379305,4.162427189544046e-07
PPI,50,1000,26,1.0,0.15097720787962765,0.08777232956194632,0.0019249000411502256,0.01837245252932098,2.2099786881894716e-08
Classical,50,1000,26,1.0,,0.08777232956194632,0.000770878117131116,0.007378247486906512,4.353829003326132e-09
PPI,50,1000,27,1.0,0.10824201816147182,0.08777232956194632,0.001088112397551561,0.005721582556792674,5.207591880882811e-08
