method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,2,100,0,1.0,0.9811940760371917,-0.0536987136883077,0.0006392057528311057,0.0006917331771103134,0.000586678328551898
Debias,2,100,0,1.0,,-0.0536987136883077,0.0008917260532310769,0.0013074494394083507,0.00047600266705380315
Classical,2,100,0,1.0,,-0.0536987136883077,0.005068167069584925,0.007136178711835658,0.0030001554273341923
PPI,2,100,1,1.0,0.8728192636821521,-0.0536987136883077,0.001134075256735819,0.0018985940668289735,0.0003695564466426646
Debias,2,100,1,1.0,,-0.0536987136883077,0.0004766828507159292,0.0007340478884126459,0.00021931781301921257
Classical,2,100,1,1.0,,-0.0536987136883077,0.020402495540439405,0.026603064940928227,0.01420192613995058
PPI,2,100,2,1.0,1.0,-0.0536987136883077,0.0006872868201156401,0.001370166896174895,4.40674405638499e-06
Debias,2,100,2,1.0,,-0.0536987136883077,0.0007001558701546857,0.0013017169991409992,9.859474116837224e-05
Classical,2,100,2,1.0,,-0.0536987136883077,0.004523804711303751,0.005891723839703107,0.0031558855829043947
PPI,2,100,3,1.0,0.8947108895300647,-0.0536987136883077,0.0012328847783853278,0.00226212634204047,0.00020364321473018582
Debias,2,100,3,1.0,,-0.0536987136883077,0.0006538847142135156,0.0008689964722038004,0.00043877295622323084
Classical,2,100,3,1.0,,-0.0536987136883077,0.011999037242269556,0.01770998595822228,0.006288088526316832
PPI,2,100,4,1.0,0.7452197678859176,-0.0536987136883077,0.0004852661854963719,0.0007554913756992005,0.00021504099529354328
Debias,2,100,4,1.0,,-0.0536987136883077,0.0006851127569641655,0.001072387947260229,0.000297837566668102
Classical,2,100,4,1.0,,-0.0536987136883077,0.0009762610722835078,0.001924836462144485,2.7685682422530506e-05
PPI,2,100,5,1.0,0.8914464880854818,-0.0536987136883077,0.0011690174209342027,0.0019022820040569036,0.0004357528378115016
Debias,2,100,5,1.0,,-0.0536987136883077,0.0005296960282133031,0.0007570297591069263,0.0003023622973196798
Classical,2,100,5,1.0,,-0.0536987136883077,0.01376482689489679,0.02598531556606133,0.0015443382237322466
PPI,2,100,6,1.0,0.704859726388593,-0.0536987136883077,0.004620249913361221,0.006264428565734776,0.0029760712609876658
Debias,2,100,6,1.0,,-0.0536987136883077,0.001175775949307344,0.0023462338678333704,5.318030781317941e-06
Classical,2,100,6,1.0,,-0.0536987136883077,0.030224264772533597,0.03729413714419474,0.023154392400872456
PPI,2,100,7,1.0,0.7370132578517898,-0.0536987136883077,0.00030168362440434005,0.000437934371136126,0.00016543287767255407
Debias,2,100,7,1.0,,-0.0536987136883077,0.0007220793261012794,0.0010918798379906465,0.0003522788142119122
Classical,2,100,7,1.0,,-0.0536987136883077,0.00014169437640878103,0.00014838584094584184,0.00013500291187172023
PPI,2,100,8,1.0,1.0,-0.0536987136883077,0.0005966300402320866,0.0011000440635577477,9.321601690642537e-05
Debias,2,100,8,1.0,,-0.0536987136883077,0.0008193127321945885,0.0013605453002470454,0.00027808016414213147
Classical,2,100,8,1.0,,-0.0536987136883077,0.005586474109641555,0.009240604749362157,0.0019323434699209528
PPI,2,100,9,1.0,1.0,-0.0536987136883077,0.00033154288122905874,0.00037719498240735004,0.00028589078005076743
Debias,2,100,9,1.0,,-0.0536987136883077,0.00043428950050488144,0.0005149652631440638,0.0003536137378656991
Classical,2,100,9,1.0,,-0.0536987136883077,0.0011634813048705282,0.001940816240176346,0.00038614636956471035
PPI,2,100,10,1.0,1.0,-0.0536987136883077,0.0015583620620929397,0.0029881211633980965,0.0001286029607877828
Debias,2,100,10,1.0,,-0.0536987136883077,0.001003768840654954,0.0016275942117860002,0.00037994346952390775
Classical,2,100,10,1.0,,-0.0536987136883077,0.0009250306564520095,0.001610608109633175,0.00023945320327084383
PPI,2,100,11,1.0,1.0,-0.0536987136883077,0.0015502576159681153,0.0017915587383163126,0.0013089564936199182
Debias,2,100,11,1.0,,-0.0536987136883077,0.0013151936534633985,0.0015740686711147494,0.0010563186358120476
