method,p,n,ratio,trial,std,lower,upper,theta,width
PPI,20,1,0.05,0,0.01,,,-2.178498406883067,
PPI,20,1,0.05,1,0.01,,,-2.178498406883067,
PPI,20,1,0.05,2,0.01,,,-2.178498406883067,
PPI,20,1,0.05,3,0.01,,,-2.178498406883067,
PPI,20,1,0.05,4,0.01,,,-2.178498406883067,
PPI,20,1,0.05,5,0.01,,,-2.178498406883067,
PPI,20,1,0.05,6,0.01,,,-2.178498406883067,
PPI,20,1,0.05,7,0.01,,,-2.178498406883067,
PPI,20,1,0.05,8,0.01,,,-2.178498406883067,
PPI,20,1,0.05,9,0.01,,,-2.178498406883067,
PPI,20,1,0.05,10,0.01,,,-2.178498406883067,
PPI,20,1,0.05,11,0.01,,,-2.178498406883067,
PPI,20,1,0.05,12,0.01,,,-2.178498406883067,
PPI,20,1,0.05,13,0.01,,,-2.178498406883067,
PPI,20,1,0.05,14,0.01,,,-2.178498406883067,
PPI,20,1,0.05,15,0.01,,,-2.178498406883067,
PPI,20,1,0.05,16,0.01,,,-2.178498406883067,
PPI,20,1,0.05,17,0.01,,,-2.178498406883067,
PPI,20,1,0.05,18,0.01,,,-2.178498406883067,
PPI,20,1,0.05,19,0.01,,,-2.178498406883067,
PPI,20,1,0.05,20,0.01,,,-2.178498406883067,
PPI,20,1,0.05,21,0.01,,,-2.178498406883067,
PPI,20,1,0.05,22,0.01,,,-2.178498406883067,
PPI,20,1,0.05,23,0.01,,,-2.178498406883067,
PPI,20,1,0.05,24,0.01,,,-2.178498406883067,
PPI,20,1,0.05,25,0.01,,,-2.178498406883067,
PPI,20,1,0.05,26,0.01,,,-2.178498406883067,
PPI,20,1,0.05,27,0.01,,,-2.178498406883067,
PPI,20,1,0.05,28,0.01,,,-2.178498406883067,
PPI,20,1,0.05,29,0.01,,,-2.178498406883067,
PPI,20,1,0.05,0,0.1,,,-2.178498406883067,
PPI,20,1,0.05,1,0.1,,,-2.178498406883067,
PPI,20,1,0.05,2,0.1,,,-2.178498406883067,
PPI,20,1,0.05,3,0.1,,,-2.178498406883067,
PPI,20,1,0.05,4,0.1,,,-2.178498406883067,
PPI,20,1,0.05,5,0.1,,,-2.178498406883067,
PPI,20,1,0.05,6,0.1,,,-2.178498406883067,
PPI,20,1,0.05,7,0.1,,,-2.178498406883067,
PPI,20,1,0.05,8,0.1,,,-2.178498406883067,
PPI,20,1,0.05,9,0.1,,,-2.178498406883067,
PPI,20,1,0.05,10,0.1,,,-2.178498406883067,
PPI,20,1,0.05,11,0.1,,,-2.178498406883067,
PPI,20,1,0.05,12,0.1,,,-2.178498406883067,
PPI,20,1,0.05,13,0.1,,,-2.178498406883067,
PPI,20,1,0.05,14,0.1,,,-2.178498406883067,
PPI,20,1,0.05,15,0.1,,,-2.178498406883067,
