method,p,n,theta,error,error_max,error_min,trial,std
PPI,100,1000,-0.0003112775384246355,0.0009733153748618248,0.008777488890714447,8.638497900264834e-09,,
Classical,100,1000,-0.0003112775384246355,0.0009733153748618249,0.008777488890714457,8.638497900254516e-09,0.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0010898326831659721,0.009667326544862444,1.0612113542971718e-08,,
Classical,100,1000,-0.0003112775384246355,0.001089832683165972,0.009667326544862433,1.0612113542968857e-08,1.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0010597952919385236,0.009782157967358233,7.260325247418168e-08,,
Classical,100,1000,-0.0003112775384246355,0.0010597952919385236,0.009782157967358233,7.260325247418168e-08,2.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0011860175215155167,0.011785519587834888,5.5921543279133013e-11,,
Classical,100,1000,-0.0003112775384246355,0.0011860175215155167,0.011785519587834888,5.5921543279133013e-11,3.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0010894326975023913,0.014547370132713514,9.384605917550428e-09,,
Classical,100,1000,-0.0003112775384246355,0.0010894326975023911,0.014547370132713481,9.384605917550428e-09,4.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0012560801841281944,0.008870580818289958,3.7106728608945994e-09,,
Classical,100,1000,-0.0003112775384246355,0.0012560801841281944,0.008870580818289958,3.7106728608945994e-09,5.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0010661636168846134,0.007318159766889458,2.997501597017042e-10,,
Classical,100,1000,-0.0003112775384246355,0.0010661636168846134,0.0073181597668894646,2.997501597026653e-10,6.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0010647153290324878,0.006045386491268252,9.860182195576831e-08,,
Classical,100,1000,-0.0003112775384246355,0.001064715329032488,0.006045386491268256,9.86018219558206e-08,7.0,1.0
PPI,100,1000,-0.0003112775384246355,0.0011053984102698492,0.011611910049062805,1.6671277633702996e-07,,
Classical,100,1000,-0.0003112775384246355,0.0011053984102698494,0.011611910049062805,1.6671277633702996e-07,8.0,1.0
PPI,100,1000,-0.0003112775384246355,0.001080912595610867,0.007565358570979058,9.148874897173214e-08,,
Classical,100,1000,-0.0003112775384246355,0.0010809125956108667,0.007565358570979058,9.148874897174893e-08,9.0,1.0
PPI,200,1000,0.0018555700082791091,0.001468370591807011,0.01640290659685731,2.5541316655185664e-08,,
Classical,200,1000,0.0018555700082791091,0.001468370591807011,0.0164029065968573,2.5541316655185664e-08,0.0,1.0
PPI,200,1000,0.0018555700082791091,0.0012004007991410271,0.008587191703841543,2.3538170192308783e-07,,
Classical,200,1000,0.0018555700082791091,0.0012004007991410271,0.008587191703841543,2.3538170192308783e-07,1.0,1.0
PPI,200,1000,0.0018555700082791091,0.0012408595729086194,0.00910317558858376,7.944520060457156e-08,,
