method,p,n,ratio,trial,std,lower,upper,coverage,error,width
PPI,100,10,0.1,0,0.1,-0.625321878214493,0.7006921075123317,1,0.011100281945327882,1.3260139857268247
PPI,100,10,0.1,1,0.1,-0.5343660771476219,0.6267417957941678,1,0.002597537270974247,1.1611078729417896
PPI,100,10,0.1,2,0.1,-0.33278524521926145,0.3161154983846841,1,0.05712027001153588,0.6489007436039456
PPI,100,10,0.1,3,0.1,-0.2888788984523573,0.41775098453570686,1,0.015650646447427564,0.7066298829880642
PPI,100,10,0.1,4,0.1,-0.5797460411594232,0.6211054206172558,1,0.02810570686533089,1.200851461776679
PPI,100,10,0.1,5,0.1,-0.44078566768740124,0.5341768232930935,1,0.0020898187914010977,0.9749624909804947
PPI,100,10,0.1,6,0.1,-0.15581435627584778,0.18907160052578215,1,0.032156774469280024,0.3448859568016299
PPI,100,10,0.1,7,0.1,-0.6183226684261146,0.8202883067228818,1,0.052197422554136376,1.4386109751489964
PPI,100,10,0.1,8,0.1,-0.3102917552350559,0.3934918047335001,1,0.007185371845025122,0.703783559968556
PPI,100,10,0.1,9,0.1,-0.6899721421805112,0.7705536790886858,1,0.008494628140159909,1.460525821269197
PPI,100,10,0.1,10,0.1,-0.7357483406912904,0.6737924247778555,1,0.07976335455096464,1.4095407654691459
PPI,100,10,0.1,11,0.1,-0.838348416178137,0.8325307814679367,1,0.05169421394934739,1.6708791976460737
PPI,100,10,0.1,12,0.1,-0.8727675024265864,0.9987873895305266,1,0.014224546957722885,1.871554891957113
PPI,100,10,0.1,13,0.1,-0.5566246155399608,0.7149476376331467,1,0.03037611445234576,1.2715722531731075
PPI,100,10,0.1,14,0.1,-0.8806949268520068,1.0610610387106547,1,0.041397659335076754,1.9417559655626615
PPI,100,10,0.1,15,0.1,-0.17634054342351163,0.24111136331525795,1,0.016399986648374047,0.4174519067387696
PPI,100,10,0.1,16,0.1,-0.42017008833024055,0.5812686577870496,1,0.03176388813415732,1.0014387461172902
PPI,100,10,0.1,17,0.1,-0.4985790365496684,0.6243557873195894,1,0.014102978790713296,1.1229348238692578
PPI,100,10,0.1,18,0.1,-0.13622890725572973,0.2944793589374677,1,0.03033982924662177,0.4307082661931974
PPI,100,10,0.1,19,0.1,-0.09781501683219677,0.17616622386015302,1,0.009609793080269088,0.2739812406923498
PPI,100,10,0.1,20,0.1,-0.025866912010835474,0.06468603489709626,1,0.029375835151116816,0.09055294690793174
PPI,100,10,0.1,21,0.1,-0.10469627135059545,0.16412807196571216,1,0.01906949628668885,0.2688243433163076
PPI,100,10,0.1,22,0.1,-1.0867587344357479,1.1418126097703336,1,0.021258458926954348,2.2285713442060815
PPI,100,10,0.1,23,0.1,-0.2936635412098403,0.4245763848693247,1,0.016671025235494998,0.718239926079165
PPI,100,10,0.1,24,0.1,-0.7857178629569695,0.8749291428057843,1,0.00417975666983985,1.6606470057627538
PPI,100,10,0.1,25,0.1,-0.18546566110918258,0.22389116251894822,1,0.02957264588936439,0.4093568236281308
PPI,100,10,0.1,26,0.1,-0.05467680451306561,0.15617984562842144,1,0.0019661239634307034,0.21085665014148705
PPI,100,10,0.1,27,0.1,-0.4021594434207859,0.5693853576005564,1,0.034827560495638045,0.9715448010213423
PPI,100,10,0.1,28,0.1,-0.0587831655067395,0.08131157264775032,1,0.037521193023741795,0.14009473815448983
PPI,100,10,0.1,29,0.1,-0.037796389538200345,0.11041359232179922,1,0.012476795202447773,0.14820998185999956
PPI,50,10,0.2,0,0.1,-0.4088698072883061,0.48101683371631593,1,0.012711883380242282,0.889886641004622
PPI,50,10,0.2,1,0.1,-0.6740577772869648,0.7401760294643193,1,0.015726270505569982,1.414233806751284
PPI,50,10,0.2,2,0.1,-0.2607254803456768,0.11517511312380302,1,0.1215605802051841,0.3759005934694798
PPI,50,10,0.2,3,0.1,-0.258130674570162,0.5383322274547233,1,0.09131537984803345,0.7964629020248852
PPI,50,10,0.2,4,0.1,-0.08767821305103765,-0.05360078972260054,0,0.11942489798106631,0.03407742332843711
