method,p,n,ratio,trial,std,lower,upper,width,width_max,width_min,coverage,theta,error,error_max,error_min
PPI,20,2,0.1,0,1.0,-0.4219603005217576,0.5155603262651905,0.937520626786948,1.9342357677417021,0.008792086104950414,0.95,0.05213997712906197,0.0014504105749563888,0.0059721671513485765,4.313526187326617e-06
Classical,20,2,0.1,0,1.0,0.011006032681481068,0.011006032681481152,8.526165884426007e-17,1.6653345369377348e-16,0.0,0.0,,0.041871554457711194,0.15056037489016685,0.00027932132876561767
PPI,20,2,0.1,1,1.0,-2.0581671717739485,2.2000526411440613,4.258219812918009,12.180085023797163,0.05743107910367587,0.95,0.05213997712906197,0.03195379104742918,0.285472113012555,9.493045433307839e-05
Classical,20,2,0.1,1,1.0,0.014485243579131918,0.01448524357913208,1.6514567491299204e-16,4.440892098500626e-16,1.3877787807814457e-17,0.0,,0.07869629999132062,0.19943700341736298,0.0008622739291985114
PPI,20,2,0.1,2,1.0,-1.1427386422318895,1.2724071438837448,2.415145786115634,6.651555381991587,0.10583352951148164,0.9,0.05213997712906197,0.00870037358450987,0.028082301068725054,0.00016600661020278564
Classical,20,2,0.1,2,1.0,0.00712429302618884,0.007124293026188997,1.547373340571312e-16,3.3306690738754696e-16,1.734723475976807e-17,0.0,,0.05585551594720332,0.22733628573796866,0.0019567615742655336
PPI,20,2,0.1,3,1.0,-1.3657689001932696,1.4783335252598977,2.8441024254531677,9.372548140672313,0.19834261595466238,1.0,0.05213997712906197,0.00450554967032402,0.023327689507756894,2.7707282370292236e-05
Classical,20,2,0.1,3,1.0,0.028730427028494966,0.028730427028495036,6.730727086790011e-17,1.6653345369377348e-16,1.3877787807814457e-17,0.0,,0.04756844221800183,0.14934718878840353,0.0001532744099524298
PPI,20,2,0.1,4,1.0,-1.5066527722925784,1.7639852015234119,3.2706379738159903,7.935958589368263,0.2374050434336408,1.0,0.05213997712906197,0.021616320859161382,0.05917023248162543,4.869786918655932e-05
Classical,20,2,0.1,4,1.0,0.0589008573835275,0.05890085738352763,1.0182826803983858e-16,2.220446049250313e-16,3.8163916471489756e-17,0.0,,0.06766964077747364,0.22163534880890276,0.00013054687834336245
PPI,20,2,0.1,5,1.0,-1.428239006966109,1.4820551036210992,2.910294110587208,12.200911703604733,0.06102305583948582,1.0,0.05213997712906197,0.007284538247216565,0.023480513555430186,4.499994979866638e-06
Classical,20,2,0.1,5,1.0,-0.027208531054290164,-0.027208531054290074,8.08164299370695e-17,1.6653345369377348e-16,5.204170427930421e-18,0.0,,0.05472665394906155,0.199733997164739,0.0001134513740914244
PPI,20,2,0.1,6,1.0,-2.7188979675298643,2.71623060772194,5.435128575251804,14.409985671907819,0.2447294621651105,1.0,0.05213997712906197,0.027386162940773968,0.10330479287357597,4.392594222472393e-05
Classical,20,2,0.1,6,1.0,-0.07490690687494585,-0.0749069068749457,1.5295653198882376e-16,3.885780586188048e-16,0.0,0.0,,0.07497948445509009,0.4588595285942762,0.0005694013873249245
PPI,20,2,0.1,7,1.0,-1.0441539158722333,1.13756415602992,2.1817180719021527,6.692111571604198,0.24357603871751213,1.0,0.05213997712906197,0.0026179901913625757,0.01772494967970238,2.251932522154597e-05
Classical,20,2,0.1,7,1.0,0.01842153337624616,0.018421533376246215,5.82433407059213e-17,1.1102230246251565e-16,1.3877787807814457e-17,0.0,,0.044145748545361886,0.1079200516006812,0.0003760637567115303
PPI,20,2,0.1,8,1.0,-0.8793698256842157,0.9747017443685516,1.854071570052767,3.7396291646758524,0.13005692832373283,1.0,0.05213997712906197,0.00973213526430204,0.060868456110307535,1.7416233931950414e-05
Classical,20,2,0.1,8,1.0,-0.00418487737928302,-0.004184877379282864,1.5445544149228495e-16,3.3306690738754696e-16,3.252606517456513e-17,0.0,,0.05790518641754326,0.19289732348484967,0.0009050669322427868
PPI,20,2,0.1,9,1.0,-0.4915233280992557,0.6171228440399986,1.1086461721392544,3.3910234398892216,0.18584421224993897,1.0,0.05213997712906197,0.0016931744850184512,0.010553142936934426,2.959778396305862e-06
Classical,20,2,0.1,9,1.0,0.003220809134163268,0.00322080913416332,5.095750210681871e-17,8.326672684688674e-17,2.0816681711721685e-17,0.0,,0.05058227305030409,0.12298507419156336,0.002579419408374566
Imputation,20,2,0.1,0,1.0,0.055688537425336804,0.05568853742533688,8.049116928532385e-17,,,0.0,,0.000752505385341553,,
PPI,20,4,0.2,0,1.0,-0.6661477104917782,0.7718279651977386,1.4379756756895166,4.358054821397983,0.5099785209136077,1.0,0.05213997712906197,0.006772838592469232,0.021338168031461477,4.440169608872068e-06
Classical,20,4,0.2,0,1.0,-0.020392199995192557,-0.020392199995192317,2.3245294578089215e-16,4.718447854656915e-16,5.551115123125783e-17,0.0,,0.0485220258094756,0.20897930083154304,0.0003457027565447229
PPI,20,4,0.2,1,1.0,-0.6202039837354114,0.6710465315113341,1.2912505152467453,2.9518808593049504,0.33867144669478955,1.0,0.05213997712906197,0.006445225810272087,0.05947802681146291,1.0112911248579423e-06
Classical,20,4,0.2,1,1.0,-0.019615912212596433,-0.01961591221259596,4.760514898949353e-16,1.3322676295501878e-15,5.551115123125783e-17,0.0,,0.04851317369030618,0.13299058422194765,5.916051309905537e-05
PPI,20,4,0.2,2,1.0,-0.364113206883934,0.4681566516995283,0.832269858583462,1.4191929516335684,0.19001020503567273,0.95,0.05213997712906197,0.0037747447705454166,0.017207005689127013,2.3187425178932114e-06
Classical,20,4,0.2,2,1.0,0.0025188561139837546,0.002518856113984305,5.523359547510153e-16,1.1102230246251565e-15,9.71445146547012e-17,0.0,,0.0363830563743635,0.20970303791867367,5.926792677505805e-08
PPI,20,4,0.2,3,1.0,-0.7152699522551137,0.7960187521933292,1.5112887044484429,3.189870702836156,0.41523976578524685,1.0,0.05213997712906197,0.008452270983606507,0.043772007490028915,2.0505910713591953e-05
Classical,20,4,0.2,3,1.0,0.015344918997208315,0.015344918997209234,9.154135782729612e-16,2.886579864025407e-15,2.5673907444456745e-16,0.0,,0.03678060549711253,0.12659498429206562,5.6706431554707316e-05
PPI,20,4,0.2,4,1.0,-1.0630983184498974,1.1579362870513084,2.221034605501206,4.58073777688165,0.6216879560295365,1.0,0.05213997712906197,0.009634365476080339,0.030317014497821294,0.00018999595591540644
Classical,20,4,0.2,4,1.0,-0.005870099478460319,-0.005870099478459961,3.62904151174348e-16,6.661338147750939e-16,1.5959455978986625e-16,0.0,,0.052338139861705525,0.24833137698595525,0.0003266849674665729
PPI,20,4,0.2,5,1.0,-1.431241059513125,1.5601517877971776,2.991392847310302,4.422473190338738,0.8621556517124456,1.0,0.05213997712906197,0.029612543593864282,0.21520156540309407,5.484340945976303e-07
Classical,20,4,0.2,5,1.0,0.01808357945455453,0.018083579454555115,5.851439124904267e-16,1.4432899320127035e-15,2.0816681711721685e-16,0.0,,0.07286199113236305,0.3453134005515117,0.001000498693082452
PPI,20,4,0.2,6,1.0,-0.9396148253507673,1.1155906873232875,2.0552055126740547,3.382253113822879,1.0067405831141774,1.0,0.05213997712906197,0.01964474523789516,0.07863015039704074,0.0002129333655848802
Classical,20,4,0.2,6,1.0,0.0636354049848769,0.06363540498487738,5.136082531498331e-16,1.1102230246251565e-15,1.6653345369377348e-16,0.0,,0.040000715876579586,0.18614501588397278,0.00038650307097374105
PPI,20,4,0.2,7,1.0,-0.41029970493723605,0.5086008229174325,0.9189005278546686,1.4796086365280474,0.37145440153246645,1.0,0.05213997712906197,0.0030982936920673273,0.013765826113662156,1.1314811499810582e-05
Classical,20,4,0.2,7,1.0,-0.003424778187684213,-0.0034247781876837287,4.80334088476253e-16,8.881784197001252e-16,1.942890293094024e-16,0.0,,0.038618858538701485,0.13593983133943943,6.157464810498861e-05
PPI,20,4,0.2,8,1.0,-0.7255211102233184,0.9290966569878712,1.6546177672111895,3.3130847803801213,0.5462891714365998,1.0,0.05213997712906197,0.008624752774229538,0.05323518231605287,1.4851676920502496e-05
Classical,20,4,0.2,8,1.0,0.08250709615551699,0.08250709615551723,2.2360585605341044e-16,4.440892098500626e-16,1.1102230246251565e-16,0.0,,0.04383265502906417,0.2860880514950888,3.775220718598059e-05
PPI,20,4,0.2,9,1.0,-1.0720290276343156,1.2323569074168321,2.3043859350511484,5.899172360345094,0.29966474847887825,1.0,0.05213997712906197,0.018385665566305887,0.09996236717981201,7.058947945367286e-05
Classical,20,4,0.2,9,1.0,0.005489455923135313,0.00548945592313578,4.713460524663482e-16,1.0547118733938987e-15,1.6306400674181987e-16,0.0,,0.05668394636030605,0.2859862824621851,0.000737508489128332
Imputation,20,4,0.2,0,1.0,0.055688537425336804,0.05568853742533688,8.049116928532385e-17,,,0.0,,0.000752505385341553,,
PPI,20,10,0.5,0,1.0,-0.4751664201750162,0.6641791501232908,1.139345570298307,2.227787030307699,0.4699675258030272,1.0,0.05213997712906197,0.029385246379930098,0.08126021767835702,0.00013811245207753502
Classical,20,10,0.5,0,1.0,0.09972486874115671,0.09972486874115773,1.013251982318053e-15,1.887379141862766e-15,6.106226635438361e-16,0.0,,0.05184502880409701,0.22288642140063758,2.0914502055908613e-05
PPI,20,10,0.5,1,1.0,-0.36355355345949075,0.42194780949750543,0.7855013629569961,1.175913920547873,0.4670237692471252,0.95,0.05213997712906197,0.03199825567531738,0.14089035604762393,0.0004893759783225516
Classical,20,10,0.5,1,1.0,-0.03890082061526187,-0.03890082061526025,1.6257828416854637e-15,2.4424906541753444e-15,7.771561172376096e-16,0.0,,0.05432945172328291,0.23520128785495592,6.476670964745788e-06
PPI,20,10,0.5,2,1.0,-0.5260413922623577,0.5986837082791509,1.1247251005415086,1.7188829977752365,0.5659828916886088,1.0,0.05213997712906197,0.027769536748904988,0.07334156906272692,9.456227047666842e-06
Classical,20,10,0.5,2,1.0,-0.011969874199115927,-0.011969874199115549,3.712308238590367e-16,7.771561172376096e-16,9.71445146547012e-17,0.0,,0.062420762145538836,0.3047041604655171,6.38083703812592e-06
PPI,20,10,0.5,3,1.0,-0.4814897513968611,0.4943582047066476,0.9758479561035086,1.8597694138862626,0.5226581904545538,1.0,0.05213997712906197,0.041139694846916354,0.23545414351011543,8.760351821233729e-06
Classical,20,10,0.5,3,1.0,-0.02185303790535586,-0.021853037905355175,6.800116025829084e-16,1.1102230246251565e-15,3.0531133177191805e-16,0.0,,0.055599796025741485,0.30098411936420927,0.00024926513941330076
PPI,20,10,0.5,4,1.0,-0.48736589502981154,0.8181777169268004,1.305543611956612,1.8869963693828935,0.6337033498116984,1.0,0.05213997712906197,0.0739051646785108,0.3562752732595668,0.00018259937771528334
Classical,20,10,0.5,4,1.0,0.17594132108067706,0.17594132108067811,1.0397932515004981e-15,1.9984014443252818e-15,4.440892098500626e-16,0.0,,0.0979887862474019,0.5737115883473651,1.330355760824352e-05
PPI,20,10,0.5,5,1.0,-0.49988440707897297,0.6812823065085193,1.1811667135874921,2.1063065032617887,0.3933440059915584,1.0,0.05213997712906197,0.0300799533052798,0.16453391092093955,2.095504026302927e-08
Classical,20,10,0.5,5,1.0,0.04933769548792212,0.049337695487922564,4.416605969836951e-16,6.661338147750939e-16,2.220446049250313e-16,0.0,,0.06650478844858433,0.2759938012526311,9.89535282718567e-06
PPI,20,10,0.5,6,1.0,-0.37532863582632137,0.4824001168675543,0.8577287526938756,1.3719076689722922,0.513763370878995,0.9,0.05213997712906197,0.02785088096037668,0.22364513979519474,0.00040732315980224274
Classical,20,10,0.5,6,1.0,-0.017586419522419725,-0.01758641952241887,8.528767969639972e-16,1.6653345369377348e-15,3.469446951953614e-16,0.0,,0.06451536733047467,0.3307849781757488,0.0002461833376007455
PPI,20,10,0.5,7,1.0,-0.5083782309466561,0.7173517914119321,1.2257300223585883,2.0794971372043554,0.5950065374565108,1.0,0.05213997712906197,0.05654021277346314,0.1973912126966355,0.0007698754853398288
Classical,20,10,0.5,7,1.0,0.07349431275595067,0.07349431275595508,4.43464709398711e-15,8.076872504148014e-15,1.9290125052862095e-15,0.0,,0.07985581108529949,0.2655945782921418,0.0010595441689935385
PPI,20,10,0.5,8,1.0,-0.3752525241496526,0.5827541856724424,0.9580067098220951,1.7286500576275197,0.5601764216896418,0.85,0.05213997712906197,0.0738312459801934,0.3552473384249623,1.2841586515307036e-07
Classical,20,10,0.5,8,1.0,0.03996306657735271,0.03996306657735383,1.093222734560584e-15,1.7763568394002505e-15,3.3306690738754696e-16,0.0,,0.09328383946386899,0.4875923643110711,0.0004823029564182505
PPI,20,10,0.5,9,1.0,-0.550884700254309,0.5776036176597291,1.1284883179140381,2.2345761568495743,0.6102097937160282,1.0,0.05213997712906197,0.028670474212360075,0.1320371388563631,0.0001747230236012515
Classical,20,10,0.5,9,1.0,-0.07545316115579548,-0.07545316115579397,1.5206369149978193e-15,2.9976021664879227e-15,8.326672684688674e-16,0.0,,0.06503799926021345,0.3273163737790354,0.0009543547121115409
Imputation,20,10,0.5,0,1.0,0.055688537425336804,0.05568853742533688,8.049116928532385e-17,,,0.0,,0.000752505385341553,,
PPI,20,16,0.8,0,1.0,-0.2783618611050273,0.32314570421341476,0.6015075653184421,0.966082246845271,0.37014769783373513,0.75,0.05213997712906197,0.05881009018426545,0.34655439190848314,0.0004840611442127387
Classical,20,16,0.8,0,1.0,0.032644940653415964,0.03264494065341792,1.9470536294363684e-15,3.552713678800501e-15,8.881784197001252e-16,0.0,,0.06563792177202463,0.5055668646859859,0.00011862932146355474
PPI,20,16,0.8,1,1.0,-0.48283050269147765,0.4454762297264012,0.9283067324178788,1.386195825223107,0.5619691732594023,0.55,0.05213997712906197,0.34401127042620877,1.7125129570036126,0.00035122163627512897
Classical,20,16,0.8,1,1.0,-0.04777430398288292,-0.04777430398286653,1.6355319876204534e-14,3.0309088572266774e-14,6.439293542825908e-15,0.0,,0.3542545295139422,1.501424423468354,0.0015430316774254374
PPI,20,16,0.8,2,1.0,-0.47396189474410544,0.49300463482963197,0.9669665295737376,1.5480644386896063,0.6314400295550645,0.65,0.05213997712906197,0.2612975736787147,0.9681285354400113,0.00018177309031566715
Classical,20,16,0.8,2,1.0,-0.03599034843439759,-0.035990348434390446,7.138213631296963e-15,1.3988810110276972e-14,3.698430450782553e-15,0.0,,0.281789154341175,0.9665962973011537,0.009061246060307613
PPI,20,16,0.8,3,1.0,-0.4311392548771466,0.5278015788333138,0.9589408337104605,1.565454769360799,0.6193554472056898,0.55,0.05213997712906197,0.19465723254340547,0.5526924877108562,0.0008788893760773674
Classical,20,16,0.8,3,1.0,0.02761293273255293,0.027612932732558392,5.465766728107724e-15,1.074140776324839e-14,3.3306690738754696e-15,0.0,,0.20148279899179325,0.5659648636072243,0.00015864843084382161
PPI,20,16,0.8,4,1.0,-0.3645315577745841,0.5593496103509402,0.9238811681255245,1.5604234821422405,0.5630782949252251,0.8,0.05213997712906197,0.09455245149359956,0.9909217919431293,0.0001798437100063867
Classical,20,16,0.8,4,1.0,0.08157971873322975,0.08157971873323364,3.855422925358454e-15,7.438494264988549e-15,2.0261570199409107e-15,0.0,,0.10652170874973352,1.21585449357215,0.00032128937483491077
PPI,20,16,0.8,5,1.0,-0.5296284335230813,0.46312697896105937,0.9927554124841407,1.9476816270939636,0.5007949183867828,0.7,0.05213997712906197,0.2638985749004305,1.670208278031672,1.4156085534643095e-05
Classical,20,16,0.8,5,1.0,-0.056490192222787214,-0.05649019222278383,3.3922517572726463e-15,6.328271240363392e-15,1.7763568394002505e-15,0.0,,0.2691948749733585,1.8442393250216738,0.0016151914441364507
PPI,20,16,0.8,6,1.0,-0.4773262749810665,0.2785467589582806,0.7558730339393473,1.2988768173375411,0.4309147424080825,0.35,0.05213997712906197,0.37524773251436105,1.4482046665508619,0.0010728998298557284
Classical,20,16,0.8,6,1.0,-0.0859942273947464,-0.08599422739474223,4.1869285816176214e-15,7.827072323607354e-15,2.0539125955565396e-15,0.0,,0.3756916191751106,1.461464989834776,0.00017730698285042497
PPI,20,16,0.8,7,1.0,-0.4061671929528994,0.4232762906957168,0.8294434836486163,1.3463425764004104,0.5371721312340897,0.95,0.05213997712906197,0.02080530658575186,0.13146895676004075,6.00224222634283e-05
Classical,20,16,0.8,7,1.0,-0.012658520922342395,-0.01265852092233959,2.8074764735208648e-15,5.051514762044462e-15,1.3183898417423734e-15,0.0,,0.02746495221575706,0.1801632714689033,1.562977717746451e-09
PPI,20,16,0.8,8,1.0,-0.5054361618843066,0.41163350042152713,0.9170696623058339,1.4852929972703628,0.5626319160890636,0.65,0.05213997712906197,0.12836006967060926,0.6938313633421231,0.00015112073510510258
Classical,20,16,0.8,8,1.0,-0.04487913320529914,-0.044879133205297704,1.4217793609105911e-15,2.220446049250313e-15,5.551115123125783e-16,0.0,,0.13021552821378793,0.72442462613561,0.0005816878701541331
PPI,20,16,0.8,9,1.0,-1.0831885004381354,0.3912488688613288,1.4744373692994643,2.332380371956868,0.9276182677347826,0.6,0.05213997712906197,0.5409700193279162,2.214712860251994,0.0019676954859937173
Classical,20,16,0.8,9,1.0,-0.3466782593517496,-0.34667825935174357,6.107267469523947e-15,9.152401059253634e-15,3.191891195797325e-15,0.0,,0.5421574272805062,2.313410046037849,2.936272688841854e-05
Imputation,20,16,0.8,0,1.0,0.055688537425336804,0.05568853742533688,8.049116928532385e-17,,,0.0,,0.000752505385341553,,
PPI,20,20,1.0,0,1.0,-1.0068870231890314,0.20245303180287566,1.2093400549919073,1.6396491543684304,1.0293310511236857,0.05,0.05213997712906197,9.088204818054077,36.39748837392233,0.0288857890495388
Classical,20,20,1.0,0,1.0,-0.4022169956931294,-0.40221699569302605,1.0336384526077324e-13,2.1316282072803006e-13,1.7361112547575885e-14,0.0,,9.088204818054082,36.39748837392236,0.028885789049538875
PPI,20,20,1.0,1,1.0,-1.159827436941711,0.056486690377136474,1.2163141273188476,1.5583544877643827,0.8225774548858866,0.0,0.05213997712906197,5.895724794324417,15.141220166933923,0.43700413396644144
Classical,20,20,1.0,1,1.0,-0.551670373282319,-0.5516703732822568,6.223910276048628e-14,1.2967404927621828e-13,1.3988810110276972e-14,0.0,,5.895724794324421,15.141220166933945,0.4370041339664425
PPI,20,20,1.0,2,1.0,-0.0620754652357471,1.0049704459572621,1.0670459111930093,1.550335917166225,0.7758141845957023,0.25,0.05213997712906197,6.395261820583152,20.847776118469696,3.741012073475342e-05
Classical,20,20,1.0,2,1.0,0.47144749036073375,0.4714474903607811,4.7178927431446026e-14,8.704148513061227e-14,1.1546319456101628e-14,0.0,,6.395261820583154,20.847776118469678,3.741012073476938e-05
PPI,20,20,1.0,3,1.0,-1.138026428924892,0.03603562793706953,1.1740620568619613,1.5434119581158434,0.9129324143390518,0.1,0.05213997712906197,9.917942822564816,42.07948922253675,0.002174978764981256
Classical,20,20,1.0,3,1.0,-0.5509954004939719,-0.5509954004938518,1.2032597140887446e-13,3.481659405224491e-13,3.774758283725532e-14,0.0,,9.917942822564827,42.07948922253681,0.0021749787649812274
PPI,20,20,1.0,4,1.0,-0.22031735401812358,0.36675120887052054,0.5870685628886441,1.0505074327035215,0.383487141359401,0.3,0.05213997712906197,0.5002659783664215,2.102353528584322,0.0027734105194265174
Classical,20,20,1.0,4,1.0,0.0732169274261919,0.07321692742620486,1.2963241591279484e-14,2.1316282072803006e-14,4.218847493575595e-15,0.0,,0.500265978366421,2.1023535285843207,0.0027734105194264762
PPI,20,20,1.0,5,1.0,-0.4607670981739528,0.3525062021406708,0.8132733003146235,1.1705333689684398,0.45465482847125305,0.3,0.05213997712906197,1.5008996157018817,5.376293797749735,0.00025779512748658136
Classical,20,20,1.0,5,1.0,-0.054130448016661184,-0.05413044801662198,3.917942359432658e-14,1.0835776720341528e-13,4.385380947269368e-15,0.0,,1.5008996157018866,5.376293797749756,0.00025779512748664196
PPI,20,20,1.0,6,1.0,-0.17793465717564075,0.5410393841813972,0.7189740413570378,1.0031215147464212,0.5380885093923848,0.35,0.05213997712906197,0.3977248888616356,2.651503236335665,0.00105178719283728
Classical,20,20,1.0,6,1.0,0.18155236350287107,0.1815523635028849,1.3801459974871477e-14,2.9976021664879227e-14,4.6629367034256575e-15,0.0,,0.39772488886163593,2.651503236335665,0.0010517871928373268
PPI,20,20,1.0,7,1.0,-0.5746323811110801,0.7133192139678417,1.2879515950789218,1.6655124574737699,0.9493118063889057,0.3,0.05213997712906197,6.978082493118855,37.43121713830535,0.0014440240938013785
Classical,20,20,1.0,7,1.0,0.06934341642837291,0.0693434164283889,1.6017742687779447e-14,3.730349362740526e-14,6.328271240363392e-15,0.0,,6.978082493118855,37.43121713830534,0.0014440240938013657
PPI,20,20,1.0,8,1.0,-0.5921789797336496,0.665863570335598,1.2580425500692474,1.6755225683561186,0.8115257896899708,0.1,0.05213997712906197,4.0926872834842225,11.232637433378105,0.057225364483665
Classical,20,20,1.0,8,1.0,0.03684229530095934,0.03684229530098918,2.986361158363593e-14,6.483702463810914e-14,1.1102230246251565e-14,0.0,,4.092687283484221,11.232637433378104,0.05722536448366526
PPI,20,20,1.0,9,1.0,0.25472384634459744,1.139762365139099,0.8850385187945013,1.3927691179584119,0.5979475817233539,0.3,0.05213997712906197,0.7666800583928676,1.8496570745600682,0.003314173246668807
Classical,20,20,1.0,9,1.0,0.6972431057418333,0.6972431057418629,2.9524299671734863e-14,5.46229728115577e-14,9.880984919163893e-15,0.0,,0.766680058392868,1.8496570745600707,0.003314173246668852
Imputation,20,20,1.0,0,1.0,0.055688537425336804,0.05568853742533688,8.049116928532385e-17,,,0.0,,0.000752505385341553,,
PPI,20,40,2.0,0,1.0,-0.28718140259232616,0.3643762034065066,0.6515576059988328,0.9266436371045628,0.42783866195741466,0.95,0.05213997712906197,0.03806765060169039,0.1830866577324378,0.0005604690144211207
Classical,20,40,2.0,0,1.0,-0.31053142779414217,0.38772622860832234,0.6982576564024645,0.8832216325811799,0.4578874792564092,0.95,,0.03806765060169037,0.18308665773243743,0.0005604690144211338
PPI,20,40,2.0,1,1.0,-0.2320408970593025,0.36432633674976805,0.5963672338090708,0.7512461928856757,0.4111951257058035,0.9,0.05213997712906197,0.025413844329970008,0.14617121727089827,2.7821240639179946e-05
Classical,20,40,2.0,1,1.0,-0.2799347807223704,0.4122202204128357,0.6921550011352062,1.3110229828329527,0.399884392244938,0.9,,0.025413844329970015,0.14617121727089813,2.782124063917819e-05
PPI,20,40,2.0,2,1.0,-0.33586690538108777,0.40700629917331926,0.742873204554407,1.15079837031632,0.5611235919581145,0.85,0.05213997712906197,0.043630707493042084,0.1541839817130329,0.00016377200217385104
Classical,20,40,2.0,2,1.0,-0.4334869569720148,0.5046263507642463,0.9381133077362609,1.2961370590707113,0.6712953645264355,1.0,,0.043630707493042,0.15418398171303327,0.0001637720021738354
PPI,20,40,2.0,3,1.0,-0.3532488470390989,0.2509818405653005,0.6042306876043994,0.7678408361755494,0.40198224061666243,0.9,0.05213997712906197,0.04103131142007034,0.23572374911638733,0.00024869047714657597
Classical,20,40,2.0,3,1.0,-0.38128045121540755,0.27901344474160894,0.6602938959570165,0.8710486267591725,0.4969789630804802,0.95,,0.041031311420070396,0.23572374911638688,0.0002486904771465462
PPI,20,40,2.0,4,1.0,-0.18587536945947733,0.30672349713606367,0.49259886659554103,0.6696459319361905,0.3842030024446199,0.8,0.05213997712906197,0.02946652825991223,0.170726368231315,3.266054994106639e-05
Classical,20,40,2.0,4,1.0,-0.21521282011346637,0.3360609477900529,0.5512737679035192,0.7774536578348441,0.3429190190792218,0.9,,0.02946652825991225,0.17072636823131493,3.266054994106702e-05
PPI,20,40,2.0,5,1.0,-0.14234808007621652,0.43746756649809837,0.579815646574315,0.9471479302622255,0.398601742211256,0.75,0.05213997712906197,0.06364502321410079,0.22511696983301305,0.00011367317021775338
Classical,20,40,2.0,5,1.0,-0.10760191173763785,0.4027213981595198,0.5103233098971576,0.6941201329103732,0.30365745574418673,0.65,,0.06364502321410072,0.22511696983301285,0.00011367317021774983
PPI,20,40,2.0,6,1.0,-0.17696298024627802,0.3823626745115961,0.559325654757874,1.0015920714036697,0.3813576479036195,0.75,0.05213997712906197,0.08846229978634632,0.5595523915945653,0.00010278125616775604
Classical,20,40,2.0,6,1.0,-0.13462968607481235,0.3400293803401304,0.4746590664149427,0.6620672172881918,0.3466125698830963,0.7,,0.0884622997863463,0.5595523915945646,0.00010278125616775997
PPI,20,40,2.0,7,1.0,-0.29562423848074426,0.3839315326710168,0.679555771151761,0.8399413430407018,0.49695713472362213,0.9,0.05213997712906197,0.03584126003698349,0.16961475287518255,4.0670806648698685e-05
Classical,20,40,2.0,7,1.0,-0.36814788747327676,0.4564551816635493,0.8246030691368261,1.1282138990591997,0.4677851678059975,0.95,,0.03584126003698347,0.169614752875182,4.067080664869373e-05
