method,p,n,trial,std,theta,error,error_max,error_min
PPI,50,1000,0,1.0,-0.04032847375596283,0.0006866553895020027,0.003773123591687665,4.977433669394707e-07
Classical,50,1000,0,1.0,-0.04032847375596283,0.0006866553895020027,0.003773123591687665,4.977433669394657e-07
PPI,50,1000,1,1.0,-0.04032847375596283,0.0010485252419021767,0.008590596421584934,8.298698082071405e-08
Classical,50,1000,1,1.0,-0.04032847375596283,0.0010485252419021771,0.008590596421584941,8.298698082067408e-08
PPI,50,1000,2,1.0,-0.04032847375596283,0.001087322028234911,0.005165416775908641,8.00647606730168e-08
Classical,50,1000,2,1.0,-0.04032847375596283,0.0010873220282349104,0.005165416775908639,8.00647606730325e-08
PPI,50,1000,3,1.0,-0.04032847375596283,0.001325430029432528,0.006036863664568665,9.468674879695554e-07
Classical,50,1000,3,1.0,-0.04032847375596283,0.0013254300294325292,0.006036863664568671,9.468674879696094e-07
PPI,50,1000,4,1.0,-0.04032847375596283,0.0007008938476270783,0.003773440121314129,1.244099819399454e-07
Classical,50,1000,4,1.0,-0.04032847375596283,0.0007008938476270783,0.0037734401213141222,1.2440998193996495e-07
PPI,50,1000,5,1.0,-0.04032847375596283,0.0010432685629807135,0.005129686215399257,2.1152744785830218e-07
Classical,50,1000,5,1.0,-0.04032847375596283,0.0010432685629807135,0.005129686215399257,2.1152744785830218e-07
PPI,50,1000,6,1.0,-0.04032847375596283,0.0008254737926195646,0.004296834335304238,1.1363311768637417e-07
Classical,50,1000,6,1.0,-0.04032847375596283,0.0008254737926195648,0.0042968343353042395,1.1363311768635547e-07
PPI,50,1000,7,1.0,-0.04032847375596283,0.0013171088417040509,0.008482022555601518,6.668627466517157e-06
Classical,50,1000,7,1.0,-0.04032847375596283,0.0013171088417040509,0.008482022555601518,6.668627466517157e-06
PPI,50,1000,8,1.0,-0.04032847375596283,0.0009628473368038875,0.007519532688176031,1.3759081727767295e-06
Classical,50,1000,8,1.0,-0.04032847375596283,0.000962847336803888,0.007519532688176033,1.3759081727767295e-06
PPI,50,1000,9,1.0,-0.04032847375596283,0.0010551893313851507,0.005185095369242113,2.7421219254500374e-07
Classical,50,1000,9,1.0,-0.04032847375596283,0.0010551893313851502,0.0051850953692421054,2.7421219254500374e-07
PPI,1155,1000,0,1.0,-0.0005595051211906379,0.006084982316969885,0.07182873624566484,1.1700420343901991e-08
Classical,1155,1000,0,1.0,-0.0005595051211906379,0.006084982316969885,0.07182873624566484,1.1700420343901991e-08
PPI,1155,1000,1,1.0,-0.0005595051211906379,0.0054326710807826115,0.06319518461446932,8.614058264014564e-09
Classical,1155,1000,1,1.0,-0.0005595051211906379,0.00543267108078261,0.06319518461446932,8.614058264013276e-09
PPI,1155,1000,2,1.0,-0.0005595051211906379,0.005843074284327112,0.05836810301245809,6.834156576864581e-10
Classical,1155,1000,2,1.0,-0.0005595051211906379,0.005843074284327112,0.05836810301245809,6.834156576854605e-10
PPI,1155,1000,3,1.0,-0.0005595051211906379,0.005906568180639136,0.07153885000951452,9.660307621955444e-09
Classical,1155,1000,3,1.0,-0.0005595051211906379,0.005906568180639136,0.07153885000951452,9.660307621955444e-09
PPI,1155,1000,4,1.0,-0.0005595051211906379,0.005273938147738974,0.054327573080663535,6.752579319977648e-09
Classical,1155,1000,4,1.0,-0.0005595051211906379,0.005273938147738974,0.054327573080663535,6.752579319973086e-09
PPI,1155,1000,5,1.0,-0.0005595051211906379,0.004711086823677789,0.04249366562641183,1.3843560134210665e-07
Classical,1155,1000,5,1.0,-0.0005595051211906379,0.004711086823677789,0.04249366562641183,1.3843560134210665e-07
PPI,1155,1000,6,1.0,-0.0005595051211906379,0.00477884993550513,0.052956128040307165,5.5925462813194234e-08
Classical,1155,1000,6,1.0,-0.0005595051211906379,0.00477884993550513,0.052956128040307165,5.5925462813194234e-08
PPI,1155,1000,7,1.0,-0.0005595051211906379,0.006483463884593453,0.07382138358277991,8.269994107679922e-08
Classical,1155,1000,7,1.0,-0.0005595051211906379,0.006483463884593453,0.07382138358277991,8.269994107679922e-08
PPI,1155,1000,8,1.0,-0.0005595051211906379,0.005275396154128439,0.05959070049676279,1.7607528357188543e-09
Classical,1155,1000,8,1.0,-0.0005595051211906379,0.005275396154128439,0.05959070049676279,1.7607528357159427e-09
PPI,1155,1000,9,1.0,-0.0005595051211906379,0.0054259840896749905,0.05739520805977368,4.7770300076047256e-11
Classical,1155,1000,9,1.0,-0.0005595051211906379,0.0054259840896749905,0.05739520805977368,4.7770300076047256e-11
PPI,2261,1000,0,1.0,3.2290179905024394e-05,0.0006317561515004022,0.008850775073001322,1.939922405051665e-09
Classical,2261,1000,0,1.0,3.2290179905024394e-05,0.0006317561515004022,0.008850775073001322,1.939922405051665e-09
PPI,2261,1000,1,1.0,3.2290179905024394e-05,0.0006517676372245233,0.008069066133846621,1.6612853048492488e-11
Classical,2261,1000,1,1.0,3.2290179905024394e-05,0.0006517676372245233,0.008069066133846621,1.6612853048492488e-11
PPI,2261,1000,2,1.0,3.2290179905024394e-05,0.0005567435295289813,0.008426775592286476,1.188078828266995e-10
Classical,2261,1000,2,1.0,3.2290179905024394e-05,0.0005567435295289812,0.008426775592286478,1.188078828268224e-10
PPI,2261,1000,3,1.0,3.2290179905024394e-05,0.0005729227343674295,0.009786756500797704,1.0268566881037101e-11
Classical,2261,1000,3,1.0,3.2290179905024394e-05,0.0005729227343674295,0.00978675650079771,1.0268566881126043e-11
PPI,2261,1000,4,1.0,3.2290179905024394e-05,0.0005946446859872044,0.01083680739055521,9.591359260424068e-11
Classical,2261,1000,4,1.0,3.2290179905024394e-05,0.0005946446859872046,0.010836807390555227,9.591359260417272e-11
PPI,2261,1000,5,1.0,3.2290179905024394e-05,0.0006070804945154274,0.008948927439586942,3.1821903942346016e-11
Classical,2261,1000,5,1.0,3.2290179905024394e-05,0.0006070804945154274,0.008948927439586942,3.1821903942346016e-11
PPI,2261,1000,6,1.0,3.2290179905024394e-05,0.0005844220753150773,0.006270180125712083,2.323884927658373e-10
Classical,2261,1000,6,1.0,3.2290179905024394e-05,0.0005844220753150773,0.006270180125712083,2.323884927658373e-10
PPI,2261,1000,7,1.0,3.2290179905024394e-05,0.0006070741882751954,0.007578415153770991,1.0801258130325806e-09
Classical,2261,1000,7,1.0,3.2290179905024394e-05,0.0006070741882751957,0.0075784151537710035,1.0801258130321244e-09
PPI,2261,1000,8,1.0,3.2290179905024394e-05,0.0005952884305753691,0.006507441741567931,3.271150739227289e-11
Classical,2261,1000,8,1.0,3.2290179905024394e-05,0.0005952884305753691,0.006507441741567934,3.271150739221584e-11
PPI,2261,1000,9,1.0,3.2290179905024394e-05,0.0006245137069211978,0.006479800641906233,8.700676746404339e-12
Classical,2261,1000,9,1.0,3.2290179905024394e-05,0.000624513706921198,0.006479800641906233,8.700676746424807e-12
PPI,3366,1000,0,1.0,-0.00017411743991230198,0.0003223656677484804,0.003551483433853594,1.1017770056572852e-10
Classical,3366,1000,0,1.0,-0.00017411743991230198,0.0003223656677484804,0.003551483433853594,1.1017770056572852e-10
PPI,3366,1000,1,1.0,-0.00017411743991230198,0.0003229916249822476,0.0038106610731782355,2.9116101833164576e-11
