method,p,n,trial,std,theta,error,error_max,error_min
PPI,50,1000,0,1.0,-0.06604880072960484,0.0012356592220114898,0.005927869905525954,7.037785997008682e-07
Classical,50,1000,0,1.0,-0.06604880072960484,0.0012356592220114592,0.005927869905525205,7.03778599700123e-07
PPI,50,1000,1,1.0,-0.06604880072960484,0.001117727966876956,0.008496303130394142,2.6440197832870047e-06
Classical,50,1000,1,1.0,-0.06604880072960484,0.0011177279668769594,0.008496303130394305,2.6440197832927815e-06
PPI,50,1000,2,1.0,-0.06604880072960484,0.0008799512041825748,0.004229570983148686,3.4263213965465965e-06
Classical,50,1000,2,1.0,-0.06604880072960484,0.0008799512041825937,0.004229570983148816,3.426321396549268e-06
PPI,50,1000,3,1.0,-0.06604880072960484,0.0009327559997818464,0.005339080516860974,3.958647108914566e-08
Classical,50,1000,3,1.0,-0.06604880072960484,0.000932755999781849,0.005339080516861298,3.9586471089057305e-08
PPI,50,1000,4,1.0,-0.06604880072960484,0.0009111053343338745,0.003691380233582527,3.3629727136498438e-09
Classical,50,1000,4,1.0,-0.06604880072960484,0.0009111053343338682,0.0036913802335823854,3.3629727135854606e-09
PPI,50,1000,5,1.0,-0.06604880072960484,0.0010124998141548222,0.004271638424834381,1.313754474697108e-07
Classical,50,1000,5,1.0,-0.06604880072960484,0.00101249981415485,0.004271638424834635,1.3137544747079727e-07
PPI,50,1000,6,1.0,-0.06604880072960484,0.001131359805134312,0.004451293936217652,5.2768068509724167e-08
Classical,50,1000,6,1.0,-0.06604880072960484,0.0011313598051343108,0.004451293936217445,5.276806850922686e-08
PPI,50,1000,7,1.0,-0.06604880072960484,0.0009519990684046857,0.005468530135145196,1.0197676071942686e-06
Classical,50,1000,7,1.0,-0.06604880072960484,0.0009519990684046972,0.005468530135145344,1.0197676071944928e-06
PPI,50,1000,8,1.0,-0.06604880072960484,0.0007972535277880889,0.003804563516708504,8.536688888668853e-07
Classical,50,1000,8,1.0,-0.06604880072960484,0.0007972535277881075,0.003804563516708189,8.536688888672955e-07
PPI,50,1000,9,1.0,-0.06604880072960484,0.0009240424297190653,0.0043988112443824005,4.356246700025158e-07
Classical,50,1000,9,1.0,-0.06604880072960484,0.0009240424297190597,0.004398811244382629,4.3562467000075717e-07
PPI,100,1000,0,1.0,-0.028244144799708756,0.0014902169509083782,0.011386367531089332,5.200414967110099e-09
