method,p,n,trial,std,theta,error,error_max,error_min
PPI,500,10,0,1.0,-0.0028765755319721436,0.0007529734914889912,0.007677955677178981,7.302386713355765e-09
Classical,500,10,0,1.0,-0.0028765755319721436,0.34839491179373683,1.2260736409973312,6.266730976770574e-06
PPI,500,10,1,1.0,-0.0028765755319721436,0.0007270558443773128,0.010880095936496486,1.1362333164417727e-08
Classical,500,10,1,1.0,-0.0028765755319721436,0.34707306651983716,1.3673685574661893,1.4185343835132725e-06
PPI,500,10,2,1.0,-0.0028765755319721436,0.0007532822091430131,0.008487829244129755,5.0089113438109365e-09
Classical,500,10,2,1.0,-0.0028765755319721436,0.3477446263305312,1.2466715979697076,0.0002596023926285078
PPI,500,10,3,1.0,-0.0028765755319721436,0.0007221734919754514,0.008678558261403397,5.515258149701908e-09
Classical,500,10,3,1.0,-0.0028765755319721436,0.33802330678027875,1.4968458081470766,9.139963036261459e-08
PPI,500,10,4,1.0,-0.0028765755319721436,0.0007648037743659235,0.008679705875076594,1.4717730274763656e-08
Classical,500,10,4,1.0,-0.0028765755319721436,0.3440593678271339,1.3027183310312147,6.596786064915689e-07
PPI,500,10,5,1.0,-0.0028765755319721436,0.0007366746361495608,0.007269655135464328,1.6853500033147125e-08
Classical,500,10,5,1.0,-0.0028765755319721436,0.3484538275694348,1.3581347891037172,1.1953867242958596e-05
PPI,500,10,6,1.0,-0.0028765755319721436,0.0007252823730668384,0.00638695831640665,3.24633597999139e-11
Classical,500,10,6,1.0,-0.0028765755319721436,0.3449523909922231,1.4352262122265411,3.0591412497551323e-07
PPI,500,10,7,1.0,-0.0028765755319721436,0.0007444673915813034,0.00816428410340316,3.3930749037726e-10
Classical,500,10,7,1.0,-0.0028765755319721436,0.3489937547874036,1.2157490548148815,3.960363594277882e-05
PPI,500,10,8,1.0,-0.0028765755319721436,0.0007172598451966203,0.00779976766115897,1.7660323651928442e-09
Classical,500,10,8,1.0,-0.0028765755319721436,0.35193359182263645,1.2059828891306408,3.123682767261832e-05
PPI,500,10,9,1.0,-0.0028765755319721436,0.0007824695106447015,0.009341929224315716,1.3126137177334813e-08
Classical,500,10,9,1.0,-0.0028765755319721436,0.3490019583441353,1.3244850991251,2.2096559073256582e-08
PPI,500,50,0,1.0,-0.0028765755319721436,0.0009445820007841646,0.008337663837796635,4.283420015749245e-09
Classical,500,50,0,1.0,-0.0028765755319721436,0.3228275319012473,1.8337501396196303,6.854831481461013e-08
PPI,500,50,1,1.0,-0.0028765755319721436,0.0008751833042286458,0.011553396493905828,3.0274963981183612e-09
Classical,500,50,1,1.0,-0.0028765755319721436,0.31588491882697933,1.8841414139262314,2.3940701185174796e-07
PPI,500,50,2,1.0,-0.0028765755319721436,0.0009422981993653437,0.012925091788507023,1.9199275088877195e-09
Classical,500,50,2,1.0,-0.0028765755319721436,0.3165180244258208,1.7117918043432492,4.632783939951809e-06
PPI,500,50,3,1.0,-0.0028765755319721436,0.0008615349745455746,0.009743763179275266,1.2275004509022488e-08
Classical,500,50,3,1.0,-0.0028765755319721436,0.3163752381658644,1.5415203876393642,2.742004747576329e-06
PPI,500,50,4,1.0,-0.0028765755319721436,0.000896126068515045,0.008643504095444081,1.2847953033020362e-09
Classical,500,50,4,1.0,-0.0028765755319721436,0.3221973832328201,1.7226631092089812,1.2014573504261807e-05
PPI,500,50,5,1.0,-0.0028765755319721436,0.0009691141724322523,0.006212722538914931,6.583448535227181e-09
Classical,500,50,5,1.0,-0.0028765755319721436,0.3228914082714577,1.3779144441825515,9.560317006307369e-09
PPI,500,50,6,1.0,-0.0028765755319721436,0.0008885000307880986,0.009805611521174672,1.6437052668783552e-08
Classical,500,50,6,1.0,-0.0028765755319721436,0.323740564789271,1.789620889995537,9.840090199038443e-07
PPI,500,50,7,1.0,-0.0028765755319721436,0.0008373248934041446,0.007756652746476666,5.46161732262797e-11
Classical,500,50,7,1.0,-0.0028765755319721436,0.3173624362097328,2.022714450799349,3.4178720051715114e-06
PPI,500,50,8,1.0,-0.0028765755319721436,0.0008486582672632748,0.007031097317638833,1.870086451493011e-09
Classical,500,50,8,1.0,-0.0028765755319721436,0.3187957117698547,1.868416448299808,5.267384947439686e-07
PPI,500,50,9,1.0,-0.0028765755319721436,0.0008092581427758121,0.006928658235265992,1.2254109613736706e-08
Classical,500,50,9,1.0,-0.0028765755319721436,0.32898927694071456,1.426831613448382,1.0179446828486069e-06
PPI,500,100,0,1.0,-0.0028765755319721436,0.0009741481549135683,0.01033104535820291,9.8372196295464e-09
Classical,500,100,0,1.0,-0.0028765755319721436,0.2778475419593544,1.6049789333166913,4.435700969731548e-07
PPI,500,100,1,1.0,-0.0028765755319721436,0.000981177086582254,0.021617592727795888,6.885806537532274e-09
Classical,500,100,1,1.0,-0.0028765755319721436,0.28830162332575865,1.9250033148588153,7.509909844253439e-05
PPI,500,100,2,1.0,-0.0028765755319721436,0.0009778650914044982,0.009219452483133621,9.209691380758543e-11
Classical,500,100,2,1.0,-0.0028765755319721436,0.2766650588625282,1.6175896433700192,3.950958835355678e-08
PPI,500,100,3,1.0,-0.0028765755319721436,0.0012806267275853348,0.010885475738684777,3.3411275362860267e-09
Classical,500,100,3,1.0,-0.0028765755319721436,0.3063399497506904,2.028764938493257,2.7166036796553555e-07
PPI,500,100,4,1.0,-0.0028765755319721436,0.001089265110320894,0.015016381888866266,1.418686824861739e-09
Classical,500,100,4,1.0,-0.0028765755319721436,0.2905592818986681,2.1767483727168706,5.26620493365547e-06
PPI,500,100,5,1.0,-0.0028765755319721436,0.001115853165422646,0.016352624398232696,4.3344430430440764e-10
Classical,500,100,5,1.0,-0.0028765755319721436,0.2935725027912064,1.9918087417230093,9.151772453648717e-08
PPI,500,100,6,1.0,-0.0028765755319721436,0.0010012592827404571,0.010305044950318091,6.378330904539409e-10
Classical,500,100,6,1.0,-0.0028765755319721436,0.29628206380713484,1.3553672351899466,1.0970469227500242e-09
PPI,500,100,7,1.0,-0.0028765755319721436,0.0011094634108347896,0.007520362883536186,2.715358399507073e-08
Classical,500,100,7,1.0,-0.0028765755319721436,0.27765773147017203,1.7071323217246313,4.638579037914257e-05
