method,p,n,trial,std,theta,error,error_max,error_min
PPI,500,500,0,1.0,0.016554240484133936,90.9544422112189,797.3204933900944,6.473389033972085e-05
Classical,500,500,0,1.0,0.016554240484133936,90.95444221121109,797.3204933900249,6.473389033975122e-05
PPI,500,500,1,1.0,0.016554240484133936,1.772940382865966,13.947303768759092,1.1630983876943848e-05
Classical,500,500,1,1.0,0.016554240484133936,1.7729403828655448,13.94730376875598,1.1630983877636178e-05
PPI,500,500,2,1.0,0.016554240484133936,2.5627702049965757,18.298173559107237,1.6563494662335545e-05
Classical,500,500,2,1.0,0.016554240484133936,2.5627702049965637,18.298173559107283,1.6563494662433143e-05
PPI,500,500,3,1.0,0.016554240484133936,1.1757130354649494,12.433913889280705,5.442707135291393e-05
Classical,500,500,3,1.0,0.016554240484133936,1.1757130354650003,12.433913889281168,5.4427071352676405e-05
PPI,500,500,4,1.0,0.016554240484133936,2.2942420367010445,17.465309944407224,9.18881541616613e-06
Classical,500,500,4,1.0,0.016554240484133936,2.2942420367007337,17.465309944405533,9.188815416226034e-06
PPI,500,500,5,1.0,0.016554240484133936,2.552825972876989,25.504359665939866,1.1963768711763427e-05
Classical,500,500,5,1.0,0.016554240484133936,2.5528259728769953,25.50435966593993,1.1963768711531484e-05
PPI,500,500,6,1.0,0.016554240484133936,2.9148847529486166,23.26985643185502,1.3345641590009277e-05
Classical,500,500,6,1.0,0.016554240484133936,2.914884752948581,23.26985643185494,1.334564159022748e-05
PPI,500,500,7,1.0,0.016554240484133936,6.292544345127037,58.07524166424499,1.5058966249802775e-05
Classical,500,500,7,1.0,0.016554240484133936,6.292544345127184,58.075241664246484,1.5058966249539968e-05
PPI,500,500,8,1.0,0.016554240484133936,4.526078300673681,46.4088041139544,0.0003124459927349529
Classical,500,500,8,1.0,0.016554240484133936,4.526078300673729,46.408804113955036,0.0003124459927348528
PPI,500,500,9,1.0,0.016554240484133936,1.4190761619024024,12.873371164698648,9.625008753185456e-05
Classical,500,500,9,1.0,0.016554240484133936,1.419076161902472,12.873371164699446,9.625008753250918e-05
PPI,500,500,10,1.0,0.016554240484133936,5.192004754813632,50.01409979308517,0.00015891021016979922
Classical,500,500,10,1.0,0.016554240484133936,5.192004754813694,50.01409979308501,0.000158910210169872
PPI,500,500,11,1.0,0.016554240484133936,0.37405439890360753,5.899834088079932,8.893947770727843e-07
Classical,500,500,11,1.0,0.016554240484133936,0.37405439890359427,5.899834088079819,8.893947770670257e-07
PPI,500,500,12,1.0,0.016554240484133936,4.273102695449755,48.724387203745266,1.7401574879760445e-06
Classical,500,500,12,1.0,0.016554240484133936,4.273102695449658,48.72438720374466,1.740157487925371e-06
PPI,500,500,13,1.0,0.016554240484133936,0.25567684532808416,2.095166564225279,1.8472183548235068e-07
Classical,500,500,13,1.0,0.016554240484133936,0.25567684532814733,2.095166564225704,1.8472183553283483e-07
PPI,500,500,14,1.0,0.016554240484133936,0.8365143545252288,6.6265801505812805,3.2048793354995217e-06
Classical,500,500,14,1.0,0.016554240484133936,0.8365143545252262,6.626580150581257,3.204879335492764e-06
PPI,500,500,15,1.0,0.016554240484133936,17.912021538519298,143.2628600211616,0.00022530544884622703
Classical,500,500,15,1.0,0.016554240484133936,17.912021538520023,143.2628600211706,0.00022530544884592123
PPI,500,500,16,1.0,0.016554240484133936,6.984161526475213,80.38096891038529,2.962536404675251e-05
Classical,500,500,16,1.0,0.016554240484133936,6.984161526475071,80.38096891038376,2.962536404671988e-05
PPI,500,500,17,1.0,0.016554240484133936,0.1978666495854903,2.5657020455828783,2.5073038759106917e-07
Classical,500,500,17,1.0,0.016554240484133936,0.19786664958546812,2.5657020455822543,2.5073038752326064e-07
PPI,500,500,18,1.0,0.016554240484133936,5.0628770430434935,55.083984385629016,3.152395055630379e-05
Classical,500,500,18,1.0,0.016554240484133936,5.062877043043738,55.083984385632114,3.152395055637735e-05
PPI,500,500,19,1.0,0.016554240484133936,1.1313979088073038,13.552308516491873,5.458382979303518e-05
Classical,500,500,19,1.0,0.016554240484133936,1.1313979088073367,13.552308516492515,5.458382979262834e-05
PPI,500,500,20,1.0,0.016554240484133936,39.35971424802089,373.30555214123683,0.0008737551965902365
Classical,500,500,20,1.0,0.016554240484133936,39.35971424802103,373.30555214123876,0.0008737551965901512
PPI,500,500,21,1.0,0.016554240484133936,1.7596689504145102,15.06256580731249,1.39818328044971e-05
Classical,500,500,21,1.0,0.016554240484133936,1.759668950414564,15.062565807312883,1.3981832804538822e-05
PPI,500,500,22,1.0,0.016554240484133936,1.1373187991216225,9.81694614643068,2.5075988991797093e-06
Classical,500,500,22,1.0,0.016554240484133936,1.137318799121651,9.816946146430956,2.507598899180061e-06
PPI,500,500,23,1.0,0.016554240484133936,5.929447108671555,76.47067183008448,9.091898309470606e-05
Classical,500,500,23,1.0,0.016554240484133936,5.929447108671074,76.47067183007721,9.09189830951168e-05
PPI,500,500,24,1.0,0.016554240484133936,0.8681504383895262,11.583320713369647,9.30886125413549e-07
Classical,500,500,24,1.0,0.016554240484133936,0.8681504383894987,11.583320713369357,9.308861254173249e-07
PPI,500,500,25,1.0,0.016554240484133936,1.2504632157440412,12.286778263536156,4.5994473482607195e-07
Classical,500,500,25,1.0,0.016554240484133936,1.2504632157441378,12.286778263537364,4.599447348279543e-07
PPI,500,500,26,1.0,0.016554240484133936,0.4528176295323639,4.693734571245046,2.2533922027671063e-05
Classical,500,500,26,1.0,0.016554240484133936,0.45281762953236393,4.6937345712451055,2.2533922027709536e-05
PPI,500,500,27,1.0,0.016554240484133936,4.870604074731238,47.439545436123666,4.869114937220925e-06
Classical,500,500,27,1.0,0.016554240484133936,4.870604074731578,47.43954543612724,4.869114937067566e-06
PPI,500,500,28,1.0,0.016554240484133936,0.7703292655048829,8.267746949277644,2.1841727671293485e-06
Classical,500,500,28,1.0,0.016554240484133936,0.7703292655049088,8.267746949277832,2.1841727671674146e-06
PPI,500,500,29,1.0,0.016554240484133936,5.103168520007499,61.538421714434996,3.543094733720473e-06
Classical,500,500,29,1.0,0.016554240484133936,5.103168520007486,61.53842171443508,3.5430947338512934e-06
PPI,500,500,30,1.0,0.016554240484133936,2.0628983717368823,19.284436289884844,4.773989426212103e-07
Classical,500,500,30,1.0,0.016554240484133936,2.0628983717368454,19.284436289884415,4.773989426184487e-07
PPI,500,500,31,1.0,0.016554240484133936,1.0595482604554458,11.032735143056755,2.0666347218426803e-05
Classical,500,500,31,1.0,0.016554240484133936,1.0595482604554791,11.03273514305725,2.0666347218274377e-05
PPI,500,500,32,1.0,0.016554240484133936,0.5884451478669576,5.953783190656524,9.267347610415355e-08
Classical,500,500,32,1.0,0.016554240484133936,0.5884451478669469,5.953783190656504,9.267347609360865e-08
PPI,500,500,33,1.0,0.016554240484133936,6.562767728236596,66.1172038464899,0.00016541106126369843
Classical,500,500,33,1.0,0.016554240484133936,6.562767728236414,66.1172038464879,0.00016541106126301448
PPI,500,500,34,1.0,0.016554240484133936,0.5145538614416449,5.787833333581098,1.47131989099135e-06
Classical,500,500,34,1.0,0.016554240484133936,0.5145538614416343,5.787833333580835,1.4713198910963907e-06
PPI,500,500,35,1.0,0.016554240484133936,129.61036953619512,958.1282790162331,0.0001566365314557665
Classical,500,500,35,1.0,0.016554240484133936,129.61036953619396,958.1282790162252,0.00015663653145596242
PPI,500,500,36,1.0,0.016554240484133936,0.9816634741490432,7.969639473441748,1.1363241187824442e-05
Classical,500,500,36,1.0,0.016554240484133936,0.981663474149032,7.969639473441789,1.1363241187757826e-05
PPI,500,500,37,1.0,0.016554240484133936,88.58241159573763,804.7375356215189,0.002206750899649244
Classical,500,500,37,1.0,0.016554240484133936,88.58241159573491,804.7375356214836,0.0022067508996496195
PPI,500,500,38,1.0,0.016554240484133936,514.7933381951253,4416.664374120902,0.049623938759979516
Classical,500,500,38,1.0,0.016554240484133936,514.7933381951119,4416.664374120774,0.049623938759981646
PPI,500,500,39,1.0,0.016554240484133936,0.5227126613423284,4.203773865290926,1.7314392198706905e-05
Classical,500,500,39,1.0,0.016554240484133936,0.5227126613423262,4.203773865290897,1.731439219873832e-05
PPI,500,500,40,1.0,0.016554240484133936,0.6259530118979234,6.603068929428585,1.0302006767702496e-06
Classical,500,500,40,1.0,0.016554240484133936,0.6259530118979376,6.603068929428932,1.0302006767961112e-06
PPI,500,500,41,1.0,0.016554240484133936,1.1790120374261575,16.14979023996954,6.576209714151767e-06
Classical,500,500,41,1.0,0.016554240484133936,1.1790120374261446,16.149790239969363,6.576209714173405e-06
PPI,500,500,42,1.0,0.016554240484133936,0.23725126859714066,1.9986200001367218,2.7673868814817114e-07
Classical,500,500,42,1.0,0.016554240484133936,0.23725126859712184,1.9986200001366257,2.767386880810646e-07
PPI,500,500,43,1.0,0.016554240484133936,0.5495060349627531,4.731475799510684,2.2973491728042424e-07
Classical,500,500,43,1.0,0.016554240484133936,0.5495060349627374,4.731475799510584,2.2973491728848614e-07
PPI,500,500,44,1.0,0.016554240484133936,7.892682037893115,73.51621737854765,0.0002222535028498909
Classical,500,500,44,1.0,0.016554240484133936,7.892682037893237,73.51621737854948,0.00022225350284968897
PPI,500,500,45,1.0,0.016554240484133936,0.19434436067131594,2.0085319361195104,1.4276257465177923e-05
Classical,500,500,45,1.0,0.016554240484133936,0.1943443606712954,2.008531936119412,1.4276257464928958e-05
PPI,500,500,46,1.0,0.016554240484133936,0.8580014157812862,7.183690457853191,2.491126536722398e-05
Classical,500,500,46,1.0,0.016554240484133936,0.8580014157813186,7.1836904578531815,2.4911265367368605e-05
PPI,500,500,47,1.0,0.016554240484133936,8.805070643117402,77.71181424799698,1.7511730041540115e-08
Classical,500,500,47,1.0,0.016554240484133936,8.805070643117261,77.71181424799576,1.7511730043769595e-08
PPI,500,500,48,1.0,0.016554240484133936,0.5104431778123264,4.66789453994112,2.1908389567818556e-06
Classical,500,500,48,1.0,0.016554240484133936,0.5104431778123096,4.667894539940963,2.190838956763451e-06
PPI,500,500,49,1.0,0.016554240484133936,0.44274764880675,5.262213516584871,1.7329007100824455e-06
Classical,500,500,49,1.0,0.016554240484133936,0.4427476488067514,5.262213516584969,1.7329007100444466e-06
