method,p,n,trial,std,theta,error,error_max,error_min
PPI,1000,500,0,1.0,0.0012091989118102875,0.0016729203255988199,0.037235929284014306,1.4623517128859229e-08
Classical,1000,500,0,1.0,0.0012091989118102875,0.16345025710507513,1.6409851971437281,3.718167366049476e-08
PPI,1000,500,1,1.0,0.0012091989118102875,0.001414515793112682,0.01166325955497969,1.7480029714080258e-09
Classical,1000,500,1,1.0,0.0012091989118102875,0.15540885169189467,1.2456724304437656,3.7405323359217227e-08
PPI,1000,500,2,1.0,0.0012091989118102875,0.0016478895506462858,0.024460209286387147,3.365847122941972e-09
Classical,1000,500,2,1.0,0.0012091989118102875,0.17849887217820284,2.0283833656824415,2.7119414372196517e-07
PPI,1000,500,3,1.0,0.0012091989118102875,0.001477291672830409,0.01783237015768213,2.367209035221226e-09
Classical,1000,500,3,1.0,0.0012091989118102875,0.14992634889541,1.6197285155244208,4.4010630901610855e-07
PPI,1000,500,4,1.0,0.0012091989118102875,0.0014152133277710618,0.01724383390877557,7.489088052352938e-10
Classical,1000,500,4,1.0,0.0012091989118102875,0.15313278488955787,1.4460260028896557,1.3812788522561326e-08
PPI,1000,500,5,1.0,0.0012091989118102875,0.001545066195025966,0.01703276957585823,8.025230082174124e-08
Classical,1000,500,5,1.0,0.0012091989118102875,0.1664208256435877,2.2456768680642956,5.337368920843278e-07
PPI,1000,500,6,1.0,0.0012091989118102875,0.0015894325527938066,0.013667526950840284,9.592423642173833e-11
Classical,1000,500,6,1.0,0.0012091989118102875,0.16471979574569587,1.8720727471568024,2.668092805323277e-08
PPI,1000,500,7,1.0,0.0012091989118102875,0.001431184519956516,0.012942749393583811,3.2239795145707643e-09
Classical,1000,500,7,1.0,0.0012091989118102875,0.16444667984127287,1.9627764287824108,5.5767988656139676e-08
PPI,1000,500,8,1.0,0.0012091989118102875,0.0015414378746794182,0.020523975222977376,5.014466846724607e-11
Classical,1000,500,8,1.0,0.0012091989118102875,0.18048684654888872,1.4972126680082423,3.078380893458832e-07
PPI,1000,500,9,1.0,0.0012091989118102875,0.0016889620264565175,0.01903662571667451,6.287569718147211e-09
Classical,1000,500,9,1.0,0.0012091989118102875,0.16476749946140742,1.8029271104722424,3.328906815690007e-07
PPI,1000,500,10,1.0,0.0012091989118102875,0.0016445453513084308,0.02333220436409262,1.3359066570250724e-08
Classical,1000,500,10,1.0,0.0012091989118102875,0.1635199936760925,1.4032115683749757,2.7783929966935434e-07
PPI,1000,500,11,1.0,0.0012091989118102875,0.0017176166149621896,0.01809752736396193,5.323924556991792e-10
Classical,1000,500,11,1.0,0.0012091989118102875,0.15989290021571465,1.4179442665962954,2.3986968509396444e-08
PPI,1000,500,12,1.0,0.0012091989118102875,0.001601172943837287,0.01650342710241415,2.709797079639624e-10
Classical,1000,500,12,1.0,0.0012091989118102875,0.1687968440169263,2.1503077359924743,1.0735026990738933e-05
PPI,1000,500,13,1.0,0.0012091989118102875,0.0016201108492591306,0.016824913005958737,3.54138493916209e-10
Classical,1000,500,13,1.0,0.0012091989118102875,0.17172526454698522,1.5678831096373251,2.049987318704583e-07
PPI,1000,500,14,1.0,0.0012091989118102875,0.0015293797913490774,0.02085348317437575,4.50026953823684e-10
Classical,1000,500,14,1.0,0.0012091989118102875,0.16672577403214586,1.6391786835025313,1.1922564324575028e-06
PPI,1000,500,15,1.0,0.0012091989118102875,0.0014756318544670926,0.017440082275363908,9.490922563969408e-09
Classical,1000,500,15,1.0,0.0012091989118102875,0.1566621685861478,2.201281659938951,9.633836913761204e-08
PPI,1000,500,16,1.0,0.0012091989118102875,0.0014644451863445598,0.01618461513429795,4.447017930206995e-11
Classical,1000,500,16,1.0,0.0012091989118102875,0.16599369141096365,1.2755229201970113,1.0228980575904963e-06
PPI,1000,500,17,1.0,0.0012091989118102875,0.0014476760389786855,0.01505171041736151,4.3522786314034083e-10
Classical,1000,500,17,1.0,0.0012091989118102875,0.16468992404006816,1.6346669833082064,3.3622160411578867e-09
