method,p,n,theta,error,error_max,error_min,trial,std
PPI,10,100,-0.10301139176973335,0.007571981706696899,0.029159002862203635,7.094819038830024e-08,,
Classical,10,100,-0.10301139176973335,0.007571981706696898,0.029159002862203597,7.094819038824111e-08,0.0,1.0
PPI,10,100,-0.10301139176973335,0.0056172364544115625,0.03118574062057635,2.685159460271731e-06,,
Classical,10,100,-0.10301139176973335,0.0056172364544115625,0.03118574062057635,2.685159460271777e-06,1.0,1.0
PPI,10,100,-0.10301139176973335,0.0056895937373589705,0.014747462002062867,1.6664449230228373e-05,,
Classical,10,100,-0.10301139176973335,0.005689593737358973,0.01474746200206288,1.6664449230226557e-05,2.0,1.0
PPI,10,100,-0.10301139176973335,0.013267312278043236,0.06768781258345354,4.435851172888309e-05,,
Classical,10,100,-0.10301139176973335,0.013267312278043236,0.06768781258345354,4.435851172888309e-05,3.0,1.0
PPI,10,100,-0.10301139176973335,0.008977886599806134,0.03509436793739713,0.00034435593037877654,,
Classical,10,100,-0.10301139176973335,0.008977886599806134,0.03509436793739713,0.0003443559303787771,4.0,1.0
PPI,10,100,-0.10301139176973335,0.01891267413864055,0.0735665058684868,0.0005272926574519796,,
Classical,10,100,-0.10301139176973335,0.01891267413864057,0.07356650586848684,0.0005272926574519809,5.0,1.0
PPI,10,100,-0.10301139176973335,0.011016507397333399,0.038558762603932095,0.00015611408318811192,,
Classical,10,100,-0.10301139176973335,0.011016507397333399,0.038558762603932095,0.00015611408318811192,6.0,1.0
PPI,10,100,-0.10301139176973335,0.009310389841579753,0.04012990355240136,0.0003973953297085696,,
Classical,10,100,-0.10301139176973335,0.009310389841579754,0.04012990355240136,0.00039739532970857185,7.0,1.0
PPI,10,100,-0.10301139176973335,0.008698661846698036,0.03652189588575721,0.00013446649377510492,,
Classical,10,100,-0.10301139176973335,0.008698661846698036,0.03652189588575721,0.0001344664937751062,8.0,1.0
PPI,10,100,-0.10301139176973335,0.01233224092607576,0.053381881418427805,0.0002714445985157879,,
