method,p,n,theta,error,error_max,error_min,trial,std
PPI,10,100,0.18152982010536936,0.006117259000480922,0.028445104196180425,9.131194414561016e-06,,
Classical,10,100,0.18152982010536936,0.006117259000480938,0.02844510419618076,9.13119441456437e-06,0.0,1.0
PPI,10,100,0.18152982010536936,0.00857003350809039,0.02648348394882051,0.0001232428340136997,,
Classical,10,100,0.18152982010536936,0.008570033508090252,0.02648348394882011,0.00012324283401366027,1.0,1.0
PPI,10,100,0.18152982010536936,0.009394585311712373,0.033853611911072834,9.800218543166387e-05,,
Classical,10,100,0.18152982010536936,0.009394585311712297,0.03385361191107276,9.800218543168146e-05,2.0,1.0
PPI,10,100,0.18152982010536936,0.009952001983533975,0.03511268149547955,8.124944482528635e-06,,
Classical,10,100,0.18152982010536936,0.009952001983533989,0.0351126814954794,8.124944482529269e-06,3.0,1.0
PPI,10,100,0.18152982010536936,0.006024369489412644,0.02117240208635378,9.512124561466234e-06,,
Classical,10,100,0.18152982010536936,0.006024369489412607,0.02117240208635352,9.512124561462124e-06,4.0,1.0
PPI,10,100,0.18152982010536936,0.006820474219214098,0.022281308255794077,9.443152220524518e-05,,
Classical,10,100,0.18152982010536936,0.006820474219214166,0.02228130825579421,9.44315222052387e-05,5.0,1.0
PPI,10,100,0.18152982010536936,0.011025508077428322,0.04776491483442461,1.23143428248885e-05,,
Classical,10,100,0.18152982010536936,0.01102550807742834,0.04776491483442396,1.2314342824893566e-05,6.0,1.0
PPI,10,100,0.18152982010536936,0.006021455201498648,0.021604044318381498,1.130417775131223e-05,,
Classical,10,100,0.18152982010536936,0.006021455201498544,0.021604044318381043,1.1304177751308871e-05,7.0,1.0
PPI,10,100,0.18152982010536936,0.01564266871762154,0.05302354280450609,2.6161038793737896e-07,,
Classical,10,100,0.18152982010536936,0.01564266871762155,0.05302354280450609,2.616103879375476e-07,8.0,1.0
PPI,10,100,0.18152982010536936,0.0061622809686017145,0.022108711643102474,2.3134162226104707e-05,,
Classical,10,100,0.18152982010536936,0.006162280968601676,0.022108711643102266,2.313416222609296e-05,9.0,1.0
PPI,10,100,0.18152982010536936,0.016733681074425504,0.07366090651787512,0.0010881308440653147,,
Classical,10,100,0.18152982010536936,0.016733681074425442,0.07366090651787512,0.0010881308440652561,10.0,1.0
PPI,10,100,0.18152982010536936,0.024827648951906447,0.06942503989887852,0.0018318388772989968,,
Classical,10,100,0.18152982010536936,0.024827648951906634,0.06942503989887892,0.0018318388772988446,11.0,1.0
PPI,10,100,0.18152982010536936,0.007294033973639959,0.029845782790923422,2.453319933209571e-05,,
Classical,10,100,0.18152982010536936,0.007294033973639889,0.02984578279092283,2.453319933210506e-05,12.0,1.0
