method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,10,100,0,1.0,0.08645248328954032,-0.14106877904127002,0.006282151706086848,0.01618483546075942,0.0019407128906981327
Classical,10,100,0,1.0,,-0.14106877904127002,0.006282151706086839,0.01618483546075939,0.0019407128906981327
PPI,10,100,1,1.0,0.08579639568673404,-0.14106877904127002,0.01243118792354934,0.030111951300299717,2.5246074491612846e-06
Classical,10,100,1,1.0,,-0.14106877904127002,0.012431187923549344,0.030111951300299734,2.5246074491614828e-06
PPI,10,100,2,1.0,0.0,-0.14106877904127002,0.00341339426149348,0.017824593736342334,7.88563259544549e-06
Classical,10,100,2,1.0,,-0.14106877904127002,0.00341339426149348,0.017824593736342334,7.88563259544549e-06
PPI,10,100,3,1.0,0.0,-0.14106877904127002,0.00875063343635211,0.030363489234792113,1.5523007945995236e-06
Classical,10,100,3,1.0,,-0.14106877904127002,0.00875063343635211,0.030363489234792113,1.5523007945995236e-06
PPI,10,100,4,1.0,0.17841620191542554,-0.14106877904127002,0.013110795500350807,0.04432241444458138,0.0009673274151287479
Classical,10,100,4,1.0,,-0.14106877904127002,0.013110795500350811,0.04432241444458143,0.0009673274151287531
PPI,10,100,5,1.0,0.0,-0.14106877904127002,0.018696956818533426,0.061112195758688884,0.00026708279131394945
Classical,10,100,5,1.0,,-0.14106877904127002,0.018696956818533422,0.061112195758688884,0.00026708279131394945
PPI,10,100,6,1.0,0.0,-0.14106877904127002,0.007133726294748252,0.028384930733182448,1.5031137586777141e-05
Classical,10,100,6,1.0,,-0.14106877904127002,0.007133726294748252,0.028384930733182448,1.5031137586777141e-05
PPI,10,100,7,1.0,0.0,-0.14106877904127002,0.006346987771181997,0.024720856643815008,0.0001905000322673621
Classical,10,100,7,1.0,,-0.14106877904127002,0.006346987771181996,0.024720856643815008,0.0001905000322673621
PPI,10,100,8,1.0,0.0,-0.14106877904127002,0.006918423779415185,0.029103958814524728,6.815483460034039e-06
Classical,10,100,8,1.0,,-0.14106877904127002,0.006918423779415185,0.029103958814524728,6.815483460034039e-06
PPI,10,100,9,1.0,0.0,-0.14106877904127002,0.008239267271974838,0.02166979346477382,2.8303270291374982e-05
Classical,10,100,9,1.0,,-0.14106877904127002,0.008239267271974837,0.02166979346477382,2.8303270291374982e-05
PPI,10,100,10,1.0,0.022537110449536848,-0.14106877904127002,0.00856848938945446,0.03625482272816509,8.402100022412741e-05
Classical,10,100,10,1.0,,-0.14106877904127002,0.00856848938945446,0.03625482272816508,8.402100022412741e-05
PPI,10,100,11,1.0,0.0,-0.14106877904127002,0.009759300339607391,0.02350020485945768,0.0003191093830598804
Classical,10,100,11,1.0,,-0.14106877904127002,0.009759300339607391,0.02350020485945768,0.0003191093830598804
PPI,10,100,12,1.0,0.11023354466757895,-0.14106877904127002,0.011696446272971926,0.05574382441497981,0.00012432902828276018
Classical,10,100,12,1.0,,-0.14106877904127002,0.011696446272971948,0.05574382441497992,0.00012432902828276018
PPI,10,100,13,1.0,0.0,-0.14106877904127002,0.010919277341989962,0.020252522912327042,0.00012292157315256543
Classical,10,100,13,1.0,,-0.14106877904127002,0.010919277341989962,0.020252522912327042,0.00012292157315256543
PPI,10,100,14,1.0,0.1223772735507692,-0.14106877904127002,0.01495585217182845,0.07717591008567115,2.5732331721709323e-06
Classical,10,100,14,1.0,,-0.14106877904127002,0.01495585217182845,0.07717591008567128,2.5732331721714164e-06
PPI,10,100,15,1.0,0.05043059550497046,-0.14106877904127002,0.007889236099515941,0.017174749984744397,9.365105348290971e-06
Classical,10,100,15,1.0,,-0.14106877904127002,0.007889236099515943,0.017174749984744397,9.365105348290292e-06
PPI,10,100,16,1.0,0.34198032172214904,-0.14106877904127002,0.009425259909547446,0.02503708502047907,0.0007577357366810991
