method,p,n,trial,std,lam,theta,error,error_max,error_min
PPI,10,100,0,1.0,1.0,0.01098496630976371,0.012059855829726008,0.02958980559478807,0.00018203185745290502
Classical,10,100,0,1.0,,0.01098496630976371,0.01205985582972593,0.029589805594788222,0.00018203185745287507
PPI,10,100,1,1.0,1.0,0.01098496630976371,0.016279155087880606,0.034583085419724845,0.0001781627974446808
Classical,10,100,1,1.0,,0.01098496630976371,0.01627915508788053,0.03458308541972473,0.0001781627974446571
PPI,10,100,2,1.0,1.0,0.01098496630976371,0.007143965220055289,0.01858917774680372,5.3698729635862444e-05
Classical,10,100,2,1.0,,0.01098496630976371,0.007143965220055275,0.018589177746804023,5.369872963586895e-05
PPI,10,100,3,1.0,1.0,0.01098496630976371,0.017034278652352006,0.10764829677002813,0.0002761741238866163
Classical,10,100,3,1.0,,0.01098496630976371,0.017034278652352002,0.10764829677002838,0.0002761741238865942
PPI,10,100,4,1.0,1.0,0.01098496630976371,0.019155695765870395,0.043309510388246625,0.0018169221549059684
Classical,10,100,4,1.0,,0.01098496630976371,0.019155695765870614,0.04330951038824699,0.0018169221549059955
PPI,10,100,5,1.0,1.0,0.01098496630976371,0.018030728724851612,0.07702509274858665,0.0003968573834614199
Classical,10,100,5,1.0,,0.01098496630976371,0.018030728724851595,0.0770250927485864,0.00039685738346140886
PPI,10,100,6,1.0,1.0,0.01098496630976371,0.011112264870653537,0.04816326016001913,3.1565955444990174e-05
Classical,10,100,6,1.0,,0.01098496630976371,0.011112264870653355,0.04816326016001784,3.156595544498581e-05
PPI,10,100,7,1.0,1.0,0.01098496630976371,0.02882062153624289,0.18583168943351758,9.23683990945402e-06
Classical,10,100,7,1.0,,0.01098496630976371,0.028820621536242867,0.18583168943351747,9.23683990945537e-06
PPI,10,100,8,1.0,1.0,0.01098496630976371,0.012024319888810284,0.06899926685089301,6.610384041721337e-05
Classical,10,100,8,1.0,,0.01098496630976371,0.012024319888810298,0.06899926685089341,6.610384041719893e-05
PPI,10,100,9,1.0,1.0,0.01098496630976371,0.009654799620132496,0.037619415222771374,1.149118701374893e-05
Classical,10,100,9,1.0,,0.01098496630976371,0.009654799620132506,0.03761941522277109,1.1491187013746671e-05
PPI,10,100,10,1.0,1.0,0.01098496630976371,0.007720541588790033,0.031722974030249915,1.276250775791012e-05
Classical,10,100,10,1.0,,0.01098496630976371,0.007720541588789966,0.031722974030249027,1.2762507757897428e-05
PPI,10,100,11,1.0,1.0,0.01098496630976371,0.012806501779790569,0.03464677650801756,0.0012511226739856268
Classical,10,100,11,1.0,,0.01098496630976371,0.012806501779790615,0.03464677650801831,0.0012511226739856426
PPI,10,100,12,1.0,1.0,0.01098496630976371,0.009404324075866924,0.031446013123740055,0.00046777554549994136
Classical,10,100,12,1.0,,0.01098496630976371,0.009404324075866947,0.031446013123740325,0.00046777554549991496
