method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,10,100,0,1.0,0.8992352621773081,-0.0849998834842978,0.014192294749498721,0.05528823889914916,4.132757122009641e-06
Classical,10,100,0,1.0,,-0.0849998834842978,0.2318719378890147,0.949844049822363,5.5140319184235375e-05
PPI,10,100,1,1.0,0.7327321133467855,-0.0849998834842978,0.04458832567708135,0.19615984346200735,0.0026238260165451213
Classical,10,100,1,1.0,,-0.0849998834842978,0.29304517509033284,1.313991344317373,2.392983297227226e-07
PPI,10,100,2,1.0,1.0,-0.0849998834842978,0.026312339167566055,0.07733111115259445,3.293469274864227e-05
Classical,10,100,2,1.0,,-0.0849998834842978,0.0942805760072907,0.48362981362549173,0.006395316712443301
PPI,10,100,3,1.0,0.71353879091939,-0.0849998834842978,0.04140587689406888,0.19381486726762662,0.00027833263204944995
Classical,10,100,3,1.0,,-0.0849998834842978,0.263038150925081,0.7238111836720801,0.006313718880762142
PPI,10,100,4,1.0,0.7890924484427939,-0.0849998834842978,0.021529789048410783,0.09186110275189872,0.0006373070031792965
Classical,10,100,4,1.0,,-0.0849998834842978,0.2534331155172904,1.6769832607658635,0.0028347497758019406
PPI,10,100,5,1.0,1.0,-0.0849998834842978,0.022501571857126874,0.1373729966974851,9.460961627006515e-05
Classical,10,100,5,1.0,,-0.0849998834842978,0.1972029846367331,0.49235165234607525,9.295802144453938e-06
PPI,10,100,6,1.0,0.7821990648942512,-0.0849998834842978,0.003907155465024414,0.01265799499289908,0.00010772182491747245
Classical,10,100,6,1.0,,-0.0849998834842978,0.0824953331751801,0.48529196180512774,3.342406796713609e-05
PPI,10,100,7,1.0,0.8739137864618453,-0.0849998834842978,0.04040142232169196,0.16608585243586674,0.0005198668599909335
Classical,10,100,7,1.0,,-0.0849998834842978,0.3092043576591796,1.0680765851239769,0.003036881275835822
PPI,10,100,8,1.0,0.863955605237251,-0.0849998834842978,0.03112175108783067,0.07341916918813135,0.004181864629344828
Classical,10,100,8,1.0,,-0.0849998834842978,0.35719420060628415,1.2901200917248952,0.0007495760148790257
PPI,10,100,9,1.0,0.9213642379436937,-0.0849998834842978,0.02373551127416179,0.06749593968882169,0.0005035903029847647
Classical,10,100,9,1.0,,-0.0849998834842978,0.3892418646837572,0.8833690870973674,0.003099169618744284
PPI,10,100,10,1.0,1.0,-0.0849998834842978,0.019251974428452525,0.05117521338765809,2.246596392682229e-05
Classical,10,100,10,1.0,,-0.0849998834842978,0.3528728333144239,0.9103252278809222,0.012450310576263172
PPI,10,100,11,1.0,0.9768537991773696,-0.0849998834842978,0.015109802383507384,0.12820062646395636,5.609569852653033e-06
Classical,10,100,11,1.0,,-0.0849998834842978,0.28304229568459893,1.43504554091,0.009292055912135859
PPI,10,100,12,1.0,0.8416104006825164,-0.0849998834842978,0.012872437757571728,0.027494533941046086,1.0728916949527351e-05
Classical,10,100,12,1.0,,-0.0849998834842978,0.15675928972027278,0.5840212854616995,1.2938919145541164e-06
PPI,10,100,13,1.0,0.9748778864300995,-0.0849998834842978,0.008519253889855399,0.02131701507552243,0.001669438706689155
Classical,10,100,13,1.0,,-0.0849998834842978,0.10356652416181822,0.4930663488790546,0.0016848942768467486
PPI,10,100,14,1.0,0.9483159243313996,-0.0849998834842978,0.01650882583927769,0.09376932767453691,3.9210586280659343e-07
Classical,10,100,14,1.0,,-0.0849998834842978,0.34020918254457855,1.2436354692554417,0.008109911720359237
PPI,10,100,15,1.0,0.7840630152515415,-0.0849998834842978,0.022485457232456835,0.08324166542291005,4.264133776705923e-05
Classical,10,100,15,1.0,,-0.0849998834842978,0.20211335446264062,0.6153604009669376,5.856586154249244e-06
PPI,10,100,16,1.0,0.7558038686659428,-0.0849998834842978,0.025124622898951655,0.13555411358416672,0.000996031227052454
Classical,10,100,16,1.0,,-0.0849998834842978,0.21308248870507596,0.6000968785486512,0.0031122396089431287
PPI,10,100,17,1.0,1.0,-0.0849998834842978,0.008026485617814117,0.049556406400662556,0.00019175391665596898
Classical,10,100,17,1.0,,-0.0849998834842978,0.17225794730920957,0.9228117025026636,0.0026497754851598095
PPI,10,100,18,1.0,0.8143200569725241,-0.0849998834842978,0.030528424759702556,0.11617708550186648,0.006944992979811847
Classical,10,100,18,1.0,,-0.0849998834842978,0.40618962222216526,1.8132477766254411,0.0032005704855986128
PPI,10,100,19,1.0,0.815699373705812,-0.0849998834842978,0.02271680957861808,0.10109961245871338,7.815342605442039e-05
Classical,10,100,19,1.0,,-0.0849998834842978,0.2656052512064794,1.6442325174044548,0.005673628259463578
PPI,10,100,20,1.0,1.0,-0.0849998834842978,0.0184378076420938,0.08625916673903494,0.0001701590101367318
Classical,10,100,20,1.0,,-0.0849998834842978,0.6886378204550218,2.283276436316654,0.11491539010181878
PPI,10,100,21,1.0,1.0,-0.0849998834842978,0.04833985210302982,0.20663735837549413,0.003712729683193515
Classical,10,100,21,1.0,,-0.0849998834842978,0.3320175137032279,0.9334471508886221,0.007672431256053299
PPI,10,100,22,1.0,0.7024912116174306,-0.0849998834842978,0.03137151140951751,0.10100242658801198,0.004567928212654663
Classical,10,100,22,1.0,,-0.0849998834842978,0.23742557225930364,0.5419348406077517,0.013680489599976739
PPI,10,100,23,1.0,0.8677096717810093,-0.0849998834842978,0.025164428679985206,0.11320534178181901,0.0007238511475909016
Classical,10,100,23,1.0,,-0.0849998834842978,0.2706531490804562,0.7364516824988255,0.00033350971958025395
PPI,10,100,24,1.0,0.9747152363839766,-0.0849998834842978,0.015484847692617622,0.05534903062409819,1.568949277734967e-07
Classical,10,100,24,1.0,,-0.0849998834842978,0.45934867045913486,1.4288676130264026,0.013859888559867438
PPI,10,100,25,1.0,1.0,-0.0849998834842978,0.015523182282821688,0.05395277747938713,0.0004563343569384943
Classical,10,100,25,1.0,,-0.0849998834842978,0.13413925320277922,0.5563994432061928,0.0018262459934951496
PPI,10,100,26,1.0,1.0,-0.0849998834842978,0.009126621584177997,0.04007725115398605,2.9465709562074624e-05
Classical,10,100,26,1.0,,-0.0849998834842978,0.278352971990325,1.0023376045553007,6.976632274965347e-05
PPI,10,100,27,1.0,1.0,-0.0849998834842978,0.022155855580859175,0.07227644085687988,0.002662052997762358
Classical,10,100,27,1.0,,-0.0849998834842978,0.25968094010760706,0.9545508317356883,0.008061238638682976
PPI,10,100,28,1.0,0.8640662921452401,-0.0849998834842978,0.004674196715865202,0.013957652988895104,0.00020033383917325228
Classical,10,100,28,1.0,,-0.0849998834842978,0.19450376544280085,0.8876087321294626,2.8376000940208724e-05
PPI,10,100,29,1.0,0.8428216229537724,-0.0849998834842978,0.015493228112249055,0.05995874809759873,0.0011961899108686284
Classical,10,100,29,1.0,,-0.0849998834842978,0.2658415773352435,1.0116395302430534,0.013118850709710165
PPI,20,100,0,1.0,1.0,0.12481541289174929,0.025419766345791527,0.07105756857695626,2.1773504640806034e-05
Classical,20,100,0,1.0,,0.12481541289174929,0.20849525427165974,1.0501233498523284,6.20385180191799e-05
PPI,20,100,1,1.0,0.9242686281506098,0.12481541289174929,0.02153950338764265,0.09509927259435975,0.0015028438153584743
Classical,20,100,1,1.0,,0.12481541289174929,0.25552570694010635,1.043303332731231,0.007136673280070303
PPI,20,100,2,1.0,0.9539066983262545,0.12481541289174929,0.02137769322991879,0.15501385962890957,3.957838667013982e-05
Classical,20,100,2,1.0,,0.12481541289174929,0.36900855255690607,1.5131654410818465,1.938134300533272e-05
PPI,20,100,3,1.0,0.8247497039551133,0.12481541289174929,0.03316359692558278,0.11489521761946282,0.0010240727208408059
