method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,10,100,0,1.0,0.5690068569831094,-0.12429108628862677,0.004459612539322994,0.013966994708815728,9.709025969591835e-06
Classical,10,100,0,1.0,,-0.12429108628862677,0.006788221288520515,0.03139906722484894,1.5170592242843014e-05
PPI,10,100,1,1.0,0.8283215859648501,-0.12429108628862677,0.0021849016332358842,0.010823183932670745,1.9179787061630944e-05
Classical,10,100,1,1.0,,-0.12429108628862677,0.012136153446909114,0.06154579434573112,0.0004052789464968597
PPI,10,100,2,1.0,0.46817715510517993,-0.12429108628862677,0.006133641396731802,0.024231820900666348,7.21693398491539e-05
Classical,10,100,2,1.0,,-0.12429108628862677,0.008098715257351275,0.028211473333252277,0.0006707519789068542
PPI,10,100,3,1.0,0.4504418615860951,-0.12429108628862677,0.0029430648888673734,0.009918780803525653,6.6200427118387335e-06
Classical,10,100,3,1.0,,-0.12429108628862677,0.006576556700304848,0.01753243433103891,0.0004703577295601373
PPI,10,100,4,1.0,0.47966614750453923,-0.12429108628862677,0.006982454049395884,0.02301589018965035,3.920397047424695e-07
Classical,10,100,4,1.0,,-0.12429108628862677,0.01044104982450357,0.040827513352571565,1.731761246427837e-05
PPI,10,100,5,1.0,0.5408080166844017,-0.12429108628862677,0.005078257305773353,0.01756721792263848,9.979271887910788e-05
Classical,10,100,5,1.0,,-0.12429108628862677,0.003950765157058438,0.019684397072832118,1.3574155609006823e-05
PPI,10,100,6,1.0,0.5485727742838966,-0.12429108628862677,0.003814194095716319,0.0139800505855315,4.7999473645927044e-05
Classical,10,100,6,1.0,,-0.12429108628862677,0.009111315564751674,0.014868000324822831,0.0011953454781593916
PPI,10,100,7,1.0,0.48359549580971956,-0.12429108628862677,0.003356775956910062,0.01340293535539347,1.3009382281240872e-05
Classical,10,100,7,1.0,,-0.12429108628862677,0.007390656301477052,0.027946557388597557,0.0007586353828184944
PPI,10,100,8,1.0,0.5417579839650307,-0.12429108628862677,0.005937451651216135,0.029903625944088526,0.0007462083982295109
Classical,10,100,8,1.0,,-0.12429108628862677,0.012715425703122668,0.04806882086814691,0.0005455880164352688
PPI,10,100,9,1.0,0.6680356483406604,-0.12429108628862677,0.005012287214460352,0.017732745610557685,8.107075222894759e-07
Classical,10,100,9,1.0,,-0.12429108628862677,0.010401651563864906,0.05684472731527691,4.4870549102591333e-07
PPI,10,100,10,1.0,0.48625260616979654,-0.12429108628862677,0.0023083402546807694,0.008294579945985522,3.033215638725025e-05
Classical,10,100,10,1.0,,-0.12429108628862677,0.0073151902737115405,0.02283218184066191,3.4371703692155725e-09
PPI,10,100,11,1.0,0.5134562433023623,-0.12429108628862677,0.004250213948867219,0.019854168788953172,1.2163410426891517e-05
Classical,10,100,11,1.0,,-0.12429108628862677,0.010147414268593174,0.03544818122428055,0.00017564574361814708
PPI,10,100,12,1.0,0.34101305147175576,-0.12429108628862677,0.009289926828188678,0.035162787572432096,1.9005972948220033e-06
Classical,10,100,12,1.0,,-0.12429108628862677,0.012905103556401292,0.06120797672936802,8.594170028189518e-05
PPI,10,100,13,1.0,0.5965168599326804,-0.12429108628862677,0.0022415496964616256,0.014348780756981176,9.133829217632496e-07
Classical,10,100,13,1.0,,-0.12429108628862677,0.002489394632418174,0.00672082342311215,4.465090701947552e-05
PPI,10,100,14,1.0,0.6471751224853275,-0.12429108628862677,0.006048757462197099,0.032963620554685734,6.699209541111007e-05
Classical,10,100,14,1.0,,-0.12429108628862677,0.027093802440779302,0.07657773266737093,0.0051817951311165416
PPI,10,100,15,1.0,0.5015262294999788,-0.12429108628862677,0.008688708503438277,0.05752235450297359,0.00012602616730258875
Classical,10,100,15,1.0,,-0.12429108628862677,0.018273992576070697,0.06850546638463835,2.751306463880277e-06
PPI,10,100,16,1.0,0.587832358952502,-0.12429108628862677,0.0051397670156127844,0.013076316963180042,3.802055974171352e-05
Classical,10,100,16,1.0,,-0.12429108628862677,0.007948704321620717,0.03610595602155729,0.00011188383138928564
PPI,10,100,17,1.0,0.5902600258784629,-0.12429108628862677,0.003179079387804098,0.01191614514298111,1.0096336681960439e-06
Classical,10,100,17,1.0,,-0.12429108628862677,0.0030797172984794816,0.011325640084737415,1.2081215224637139e-05
PPI,10,100,18,1.0,0.5284530742060933,-0.12429108628862677,0.014304143373546014,0.05465415907039369,5.731903876951699e-06
Classical,10,100,18,1.0,,-0.12429108628862677,0.019419226662448344,0.06696650907702105,0.0005765182266880579
PPI,10,100,19,1.0,0.6710319257354379,-0.12429108628862677,0.006311351048505745,0.02032771048598186,0.00012790745816174467
Classical,10,100,19,1.0,,-0.12429108628862677,0.006280840641586771,0.022657123916051895,8.182912588101317e-06
PPI,10,100,20,1.0,0.5616279129772747,-0.12429108628862677,0.007303434073108417,0.0214986837867467,3.4015947339017217e-06
Classical,10,100,20,1.0,,-0.12429108628862677,0.01708792295528521,0.047269939771954615,5.277442919487153e-05
PPI,10,100,21,1.0,0.5768735520409131,-0.12429108628862677,0.0038202436094668855,0.009301791654375585,6.24405107761357e-06
Classical,10,100,21,1.0,,-0.12429108628862677,0.013729051413688628,0.03945740559443633,2.6946741202799198e-06
