method,p,n,N,trial,sigma,beta,theta,error,error_max,error_min
Imputed,2,50,1500,0,0.01,0,-0.482903564,0.000160495,0.000306081,1.49E-05
Classical,2,50,1500,0,0.01,0,-0.482903564,0.071164514,0.123559271,0.018769757
PPI_lambda1,2,50,1500,0,0.01,0,-0.482903564,0.000173701,0.000322994,2.44E-05
PPI_tuned,2,50,1500,0,0.01,0,-0.482903564,0.004072864,0.007652479,0.000493248
Debias_Lasso,2,50,1500,0,0.01,0,-0.482903564,0.000161573,0.000308038,1.51E-05
Debias_ElasticNet,2,50,1500,0,0.01,0,-0.482903564,0.000161573,0.000308038,1.51E-05
Debias_Ridge,2,50,1500,0,0.01,0,-0.482903564,0.000165684,0.000310673,2.07E-05
Imputed,2,50,1500,1,0.01,0,-0.482903564,0.000133148,0.000209764,5.65E-05
Classical,2,50,1500,1,0.01,0,-0.482903564,0.000749197,0.00081966,0.000678734
PPI_lambda1,2,50,1500,1,0.01,0,-0.482903564,0.000137524,0.000214492,6.06E-05
PPI_tuned,2,50,1500,1,0.01,0,-0.482903564,0.000137524,0.000214492,6.06E-05
Debias_Lasso,2,50,1500,1,0.01,0,-0.482903564,0.000132634,0.000208517,5.68E-05
Debias_ElasticNet,2,50,1500,1,0.01,0,-0.482903564,0.000132634,0.000208517,5.68E-05
Debias_Ridge,2,50,1500,1,0.01,0,-0.482903564,0.000132258,0.000204788,5.97E-05
Imputed,2,50,1500,2,0.01,0,-0.482903564,0.00014344,0.000266708,2.02E-05
Classical,2,50,1500,2,0.01,0,-0.482903564,0.003218858,0.006419982,1.77E-05
PPI_lambda1,2,50,1500,2,0.01,0,-0.482903564,0.000184245,0.000332564,3.59E-05
PPI_tuned,2,50,1500,2,0.01,0,-0.482903564,0.000287659,0.00037376,0.000201559
Debias_Lasso,2,50,1500,2,0.01,0,-0.482903564,0.000174015,0.000317504,3.05E-05
Debias_ElasticNet,2,50,1500,2,0.01,0,-0.482903564,0.000174007,0.000317492,3.05E-05
Debias_Ridge,2,50,1500,2,0.01,0,-0.482903564,0.000171905,0.00031381,3.00E-05
Imputed,2,50,1500,3,0.01,0,-0.482903564,5.47E-05,0.000109145,2.64E-07
Classical,2,50,1500,3,0.01,0,-0.482903564,0.03020633,0.041839015,0.018573644
PPI_lambda1,2,50,1500,3,0.01,0,-0.482903564,5.36E-05,0.000107083,1.27E-07
PPI_tuned,2,50,1500,3,0.01,0,-0.482903564,5.36E-05,0.000107083,1.27E-07
Debias_Lasso,2,50,1500,3,0.01,0,-0.482903564,5.48E-05,0.000109433,2.53E-07
Debias_ElasticNet,2,50,1500,3,0.01,0,-0.482903564,5.48E-05,0.000109433,2.53E-07
Debias_Ridge,2,50,1500,3,0.01,0,-0.482903564,5.28E-05,0.000105556,6.25E-08
Imputed,2,50,1500,4,0.01,0,-0.482903564,0.000191458,0.000374164,8.75E-06
Classical,2,50,1500,4,0.01,0,-0.482903564,0.019522109,0.020006356,0.019037863
PPI_lambda1,2,50,1500,4,0.01,0,-0.482903564,0.000204567,0.000405982,3.15E-06
PPI_tuned,2,50,1500,4,0.01,0,-0.482903564,0.000204567,0.000405982,3.15E-06
Debias_Lasso,2,50,1500,4,0.01,0,-0.482903564,0.000191399,0.000374035,8.76E-06
Debias_ElasticNet,2,50,1500,4,0.01,0,-0.482903564,0.000191399,0.000374035,8.76E-06
Debias_Ridge,2,50,1500,4,0.01,0,-0.482903564,0.000201159,0.000398291,4.03E-06
Imputed,2,50,1500,5,0.01,0,-0.482903564,0.000157373,0.000216914,9.78E-05
Classical,2,50,1500,5,0.01,0,-0.482903564,0.009577383,0.015991204,0.003163562
PPI_lambda1,2,50,1500,5,0.01,0,-0.482903564,0.000148522,0.000262217,3.48E-05
PPI_tuned,2,50,1500,5,0.01,0,-0.482903564,0.000805989,0.00088421,0.000727768
Debias_Lasso,2,50,1500,5,0.01,0,-0.482903564,0.000150539,0.000260508,4.06E-05
Debias_ElasticNet,2,50,1500,5,0.01,0,-0.482903564,0.000150538,0.000260502,4.06E-05
Debias_Ridge,2,50,1500,5,0.01,0,-0.482903564,0.000150211,0.000250262,5.02E-05
Imputed,2,50,1500,6,0.01,0,-0.482903564,0.000326734,0.00065244,1.03E-06
Classical,2,50,1500,6,0.01,0,-0.482903564,0.022976261,0.035020539,0.010931982
PPI_lambda1,2,50,1500,6,0.01,0,-0.482903564,0.000309598,0.000618627,5.68E-07
PPI_tuned,2,50,1500,6,0.01,0,-0.482903564,0.000309598,0.000618627,5.68E-07
Debias_Lasso,2,50,1500,6,0.01,0,-0.482903564,0.000326837,0.000652648,1.03E-06
Debias_ElasticNet,2,50,1500,6,0.01,0,-0.482903564,0.000326837,0.000652648,1.03E-06
Debias_Ridge,2,50,1500,6,0.01,0,-0.482903564,0.000311944,0.000623213,6.76E-07
Imputed,2,50,1500,7,0.01,0,-0.482903564,0.000136619,0.000219044,5.42E-05
Classical,2,50,1500,7,0.01,0,-0.482903564,0.000521837,0.000786166,0.000257508
PPI_lambda1,2,50,1500,7,0.01,0,-0.482903564,0.000156766,0.000230897,8.26E-05
PPI_tuned,2,50,1500,7,0.01,0,-0.482903564,0.00016078,0.000293423,2.81E-05
Debias_Lasso,2,50,1500,7,0.01,0,-0.482903564,0.000136562,0.000218869,5.43E-05
Debias_ElasticNet,2,50,1500,7,0.01,0,-0.482903564,0.000136562,0.000218869,5.43E-05
Debias_Ridge,2,50,1500,7,0.01,0,-0.482903564,0.000153378,0.000228676,7.81E-05
Imputed,2,50,1500,8,0.01,0,-0.482903564,1.25E-05,2.13E-05,3.62E-06
Classical,2,50,1500,8,0.01,0,-0.482903564,0.056540654,0.105403532,0.007677777
PPI_lambda1,2,50,1500,8,0.01,0,-0.482903564,1.95E-05,3.61E-05,2.95E-06
PPI_tuned,2,50,1500,8,0.01,0,-0.482903564,1.95E-05,3.61E-05,2.95E-06
Debias_Lasso,2,50,1500,8,0.01,0,-0.482903564,1.24E-05,2.11E-05,3.64E-06
Debias_ElasticNet,2,50,1500,8,0.01,0,-0.482903564,1.24E-05,2.11E-05,3.64E-06
Debias_Ridge,2,50,1500,8,0.01,0,-0.482903564,1.82E-05,3.40E-05,2.50E-06
Imputed,2,50,1500,9,0.01,0,-0.482903564,0.000168973,0.000239257,9.87E-05
Classical,2,50,1500,9,0.01,0,-0.482903564,0.004634101,0.007798038,0.001470164
PPI_lambda1,2,50,1500,9,0.01,0,-0.482903564,0.000118122,0.000148807,8.74E-05
PPI_tuned,2,50,1500,9,0.01,0,-0.482903564,0.000118122,0.000148807,8.74E-05
Debias_Lasso,2,50,1500,9,0.01,0,-0.482903564,0.000168419,0.00023768,9.92E-05
Debias_ElasticNet,2,50,1500,9,0.01,0,-0.482903564,0.000168419,0.00023768,9.92E-05
Debias_Ridge,2,50,1500,9,0.01,0,-0.482903564,0.000131872,0.000174499,8.92E-05
Imputed,2,50,1500,10,0.01,0,-0.482903564,0.000115538,0.00019719,3.39E-05
Classical,2,50,1500,10,0.01,0,-0.482903564,0.00197676,0.003037739,0.00091578
PPI_lambda1,2,50,1500,10,0.01,0,-0.482903564,0.000119826,0.00019637,4.33E-05
PPI_tuned,2,50,1500,10,0.01,0,-0.482903564,0.000822368,0.001279385,0.000365351
Debias_Lasso,2,50,1500,10,0.01,0,-0.482903564,0.000115472,0.000196992,3.40E-05
Debias_ElasticNet,2,50,1500,10,0.01,0,-0.482903564,0.000115472,0.000196992,3.40E-05
Debias_Ridge,2,50,1500,10,0.01,0,-0.482903564,0.000119935,0.000198068,4.18E-05
Imputed,2,50,1500,11,0.01,0,-0.482903564,0.000175416,0.000296275,5.46E-05
Classical,2,50,1500,11,0.01,0,-0.482903564,0.000397641,0.000575478,0.000219805
PPI_lambda1,2,50,1500,11,0.01,0,-0.482903564,0.000154978,0.000266242,4.37E-05
PPI_tuned,2,50,1500,11,0.01,0,-0.482903564,6.46E-06,1.29E-05,2.46E-08
Debias_Lasso,2,50,1500,11,0.01,0,-0.482903564,0.000175195,0.00029578,5.46E-05
Debias_ElasticNet,2,50,1500,11,0.01,0,-0.482903564,0.000175195,0.00029578,5.46E-05
Debias_Ridge,2,50,1500,11,0.01,0,-0.482903564,0.000154373,0.00026409,4.47E-05
Imputed,2,50,1500,12,0.01,0,-0.482903564,3.97E-05,7.66E-05,2.76E-06
Classical,2,50,1500,12,0.01,0,-0.482903564,0.022740291,0.032143157,0.013337425
PPI_lambda1,2,50,1500,12,0.01,0,-0.482903564,3.79E-05,7.29E-05,2.84E-06
PPI_tuned,2,50,1500,12,0.01,0,-0.482903564,0.000633041,0.000981387,0.000284694
Debias_Lasso,2,50,1500,12,0.01,0,-0.482903564,3.95E-05,7.62E-05,2.79E-06
Debias_ElasticNet,2,50,1500,12,0.01,0,-0.482903564,3.95E-05,7.62E-05,2.79E-06
Debias_Ridge,2,50,1500,12,0.01,0,-0.482903564,3.93E-05,7.64E-05,2.15E-06
Imputed,2,50,1500,13,0.01,0,-0.482903564,3.07E-05,4.21E-05,1.93E-05
Classical,2,50,1500,13,0.01,0,-0.482903564,0.034926178,0.06832184,0.001530517
PPI_lambda1,2,50,1500,13,0.01,0,-0.482903564,2.93E-05,4.36E-05,1.51E-05
PPI_tuned,2,50,1500,13,0.01,0,-0.482903564,0.002430013,0.004834459,2.56E-05
Debias_Lasso,2,50,1500,13,0.01,0,-0.482903564,3.07E-05,4.22E-05,1.92E-05
Debias_ElasticNet,2,50,1500,13,0.01,0,-0.482903564,3.07E-05,4.22E-05,1.92E-05
Debias_Ridge,2,50,1500,13,0.01,0,-0.482903564,2.93E-05,4.31E-05,1.54E-05
Imputed,2,50,1500,14,0.01,0,-0.482903564,0.000271692,0.000374905,0.000168479
Classical,2,50,1500,14,0.01,0,-0.482903564,0.010132821,0.015765487,0.004500154
PPI_lambda1,2,50,1500,14,0.01,0,-0.482903564,0.00026565,0.000418896,0.000112404
PPI_tuned,2,50,1500,14,0.01,0,-0.482903564,0.000101888,0.000202919,8.56E-07
Debias_Lasso,2,50,1500,14,0.01,0,-0.482903564,0.000271482,0.000373372,0.000169591
Debias_ElasticNet,2,50,1500,14,0.01,0,-0.482903564,0.000271482,0.000373372,0.000169591
Debias_Ridge,2,50,1500,14,0.01,0,-0.482903564,0.000269709,0.000413543,0.000125875
Imputed,2,50,1500,15,0.01,0,-0.482903564,0.000135549,0.00022523,4.59E-05
Classical,2,50,1500,15,0.01,0,-0.482903564,0.000159888,0.000317424,2.35E-06
PPI_lambda1,2,50,1500,15,0.01,0,-0.482903564,0.000114981,0.000207091,2.29E-05
PPI_tuned,2,50,1500,15,0.01,0,-0.482903564,0.000114981,0.000207091,2.29E-05
Debias_Lasso,2,50,1500,15,0.01,0,-0.482903564,0.000135819,0.000225855,4.58E-05
Debias_ElasticNet,2,50,1500,15,0.01,0,-0.482903564,0.000135819,0.000225855,4.58E-05
Debias_Ridge,2,50,1500,15,0.01,0,-0.482903564,0.000118587,0.00021106,2.61E-05
Imputed,2,50,1500,16,0.01,0,-0.482903564,0.000182599,0.000312266,5.29E-05
Classical,2,50,1500,16,0.01,0,-0.482903564,0.114878595,0.120868069,0.108889122
PPI_lambda1,2,50,1500,16,0.01,0,-0.482903564,0.00015716,0.000268782,4.55E-05
PPI_tuned,2,50,1500,16,0.01,0,-0.482903564,0.000890318,0.001433107,0.000347529
Debias_Lasso,2,50,1500,16,0.01,0,-0.482903564,0.000182614,0.000312198,5.30E-05
Debias_ElasticNet,2,50,1500,16,0.01,0,-0.482903564,0.000182614,0.000312198,5.30E-05
Debias_Ridge,2,50,1500,16,0.01,0,-0.482903564,0.00016153,0.000276155,4.69E-05
Imputed,2,50,1500,17,0.01,0,-0.482903564,0.000145988,0.000286471,5.51E-06
Classical,2,50,1500,17,0.01,0,-0.482903564,0.011342911,0.022476725,0.000209098
PPI_lambda1,2,50,1500,17,0.01,0,-0.482903564,0.000119926,0.000233959,5.89E-06
PPI_tuned,2,50,1500,17,0.01,0,-0.482903564,0.002989103,0.005978172,3.50E-08
Debias_Lasso,2,50,1500,17,0.01,0,-0.482903564,0.000146183,0.000286896,5.47E-06
Debias_ElasticNet,2,50,1500,17,0.01,0,-0.482903564,0.000146183,0.000286896,5.47E-06
Debias_Ridge,2,50,1500,17,0.01,0,-0.482903564,0.000120286,0.000234172,6.40E-06
Imputed,2,50,1500,18,0.01,0,-0.482903564,0.000110319,0.000140932,7.97E-05
Classical,2,50,1500,18,0.01,0,-0.482903564,0.033736719,0.044183159,0.02329028
PPI_lambda1,2,50,1500,18,0.01,0,-0.482903564,0.000121218,0.000137355,0.000105082
PPI_tuned,2,50,1500,18,0.01,0,-0.482903564,0.00223909,0.003611299,0.000866881
Debias_Lasso,2,50,1500,18,0.01,0,-0.482903564,0.000118237,0.000129746,0.000106728
Debias_ElasticNet,2,50,1500,18,0.01,0,-0.482903564,0.000118234,0.000129733,0.000106735
Debias_Ridge,2,50,1500,18,0.01,0,-0.482903564,0.000116224,0.00012408,0.000108368
Imputed,2,50,1500,19,0.01,0,-0.482903564,0.00012394,0.00024626,1.62E-06
