method,p,n,trial,sigma,theta,error,error_max,error_min
Imputed,10,50,0,2.0,-0.1085379037911433,0.014495353787345172,0.046008991334456045,0.0017622769892677627
Classical,10,50,0,2.0,-0.1085379037911433,0.027550820831991524,0.07595497563944577,0.0012446843430295041
PPI_lambda1,10,50,0,2.0,-0.1085379037911433,0.07445796645890082,0.37734876720645366,1.0104641114003513e-05
PPI_tuned,10,50,0,2.0,-0.1085379037911433,0.02592610169558926,0.07017779202786516,0.001025061768305026
Debias_Lasso,10,50,0,2.0,-0.1085379037911433,0.015299477671898992,0.05328653160543282,0.0004943830487950351
Debias_ElasticNet,10,50,0,2.0,-0.1085379037911433,0.015299477671898992,0.05328653160543282,0.0004943830487950351
Debias_Ridge,10,50,0,2.0,-0.1085379037911433,0.04958949649973869,0.19830037216097385,0.0018456394432050675
Imputed,10,50,1,2.0,-0.1085379037911433,0.018032914174011472,0.06258043821325901,0.000703600655678931
Classical,10,50,1,2.0,-0.1085379037911433,0.012107670434769858,0.04797436157056987,0.0001455195980459342
PPI_lambda1,10,50,1,2.0,-0.1085379037911433,0.03788259754295091,0.19219977829686177,2.0013862053508004e-05
PPI_tuned,10,50,1,2.0,-0.1085379037911433,0.005549487397005463,0.019298541083211752,0.0003778083473263765
Debias_Lasso,10,50,1,2.0,-0.1085379037911433,0.017968330588201676,0.06282472885382982,0.0008927591675635772
Debias_ElasticNet,10,50,1,2.0,-0.1085379037911433,0.017968330588201676,0.06282472885382982,0.0008927591675635772
Debias_Ridge,10,50,1,2.0,-0.1085379037911433,0.025140749495202164,0.11127091921772007,0.0007861947270412488
Imputed,10,50,2,2.0,-0.1085379037911433,0.01929795608347561,0.05679686848741415,0.00028753837827868864
Classical,10,50,2,2.0,-0.1085379037911433,0.01997928596594542,0.06927297516326125,9.700148409739066e-06
PPI_lambda1,10,50,2,2.0,-0.1085379037911433,0.1752786108565329,0.702519219555373,0.00015300752464138438
PPI_tuned,10,50,2,2.0,-0.1085379037911433,0.03317294382605766,0.15254935737502207,5.577532437592875e-05
Debias_Lasso,10,50,2,2.0,-0.1085379037911433,0.019911144724987714,0.06917879439703967,0.0002347648541108319
Debias_ElasticNet,10,50,2,2.0,-0.1085379037911433,0.03268417611385851,0.20429434682271713,0.00023387092654254325
Debias_Ridge,10,50,2,2.0,-0.1085379037911433,0.1113252867551964,0.5271201315385765,5.699885786514707e-05
Imputed,10,50,3,2.0,-0.1085379037911433,0.018651480093127806,0.08866933918494384,0.00019290345699280332
Classical,10,50,3,2.0,-0.1085379037911433,0.03767652906707562,0.10415094338635168,0.0006465378132206872
PPI_lambda1,10,50,3,2.0,-0.1085379037911433,0.17944400414947234,0.596177605171318,8.900552938352162e-05
PPI_tuned,10,50,3,2.0,-0.1085379037911433,0.04282449926553074,0.16072165382209316,0.00012757188650520745
Debias_Lasso,10,50,3,2.0,-0.1085379037911433,0.01865249517829036,0.08866948664446721,0.0001939201768418743
Debias_ElasticNet,10,50,3,2.0,-0.1085379037911433,0.018652495178290356,0.08866948664446721,0.0001939201768418743
Debias_Ridge,10,50,3,2.0,-0.1085379037911433,0.10411827286361966,0.3082748159541331,0.0003238797400185431
Imputed,10,50,4,2.0,-0.1085379037911433,0.020485304805457908,0.09746502469537559,0.001503210744018061
Classical,10,50,4,2.0,-0.1085379037911433,0.02829402499994037,0.09496910575762975,4.68793798385884e-06
PPI_lambda1,10,50,4,2.0,-0.1085379037911433,0.09236634242731773,0.4214415574628658,1.7361736901007396e-05
PPI_tuned,10,50,4,2.0,-0.1085379037911433,0.032594475638773,0.16343491244452535,8.670810381830159e-07
Debias_Lasso,10,50,4,2.0,-0.1085379037911433,0.020038206668406434,0.0956926801529635,0.0014763229783905688
Debias_ElasticNet,10,50,4,2.0,-0.1085379037911433,0.020038206668406437,0.0956926801529635,0.0014763229783905688
