method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.44918671956691414,0.5560396505165002,0,0.0,0.01,True,6.116141098149626e-05,,0.10685293094958603
Tuned PPI,1000,0.44918671956691414,0.5560396505165002,0,0.0,0.01,True,6.116141098149626e-05,1.0,0.10685293094958603
Classical,1000,0.44973538560014004,0.5554000316090584,0,0.0,0.01,True,5.9357881188805295e-05,,0.10566464600891834
PPI,1000,0.3953551370753656,0.49731249540131317,1,0.0,0.01,False,0.001531704780770464,,0.10195735832594754
Tuned PPI,1000,0.3953840127560162,0.4972836989269207,1,0.0,0.01,False,0.001531340047287968,0.008035354766851474,0.1018996861709045
Classical,1000,0.39424213053763724,0.49842558178690566,1,0.0,0.01,False,0.0015313370957183994,,0.10418345124926842
PPI,1000,0.55125636271085,0.6564912018454445,2,0.0,0.01,False,0.007307206132165077,,0.10523483913459453
Tuned PPI,1000,0.5518363755604141,0.656122881242116,2,0.0,0.01,False,0.007312627891729062,0.2087282846063174,0.10428650568170195
Classical,1000,0.5519502779642895,0.656064820793111,2,0.0,0.01,False,0.0073140613145924556,,0.10411454282882149
PPI,1000,0.4119452906783247,0.5234770963382596,3,0.0,0.01,True,0.0017306808377289765,,0.11153180565993487
Tuned PPI,1000,0.4154931254875657,0.5194681547198149,3,0.0,0.01,True,0.0017453622491255222,0.0,0.10397502923224922
Classical,1000,0.41551912574656424,0.5194421544608163,3,0.0,0.01,True,0.0017453622491255222,,0.10392302871425207
PPI,1000,0.4740257505990832,0.5784307499994368,4,0.0,0.01,True,0.0008642530748469578,,0.10440499940035358
Tuned PPI,1000,0.4732992988675201,0.5787205324300354,4,0.0,0.01,True,0.0008556796754392742,0.0,0.10542123356251532
Classical,1000,0.4733256607680343,0.5786941705295212,4,0.0,0.01,True,0.0008556796754392742,,0.10536850976148693
PPI,1000,0.5439037901160572,0.6556646546821231,5,0.0,0.01,False,0.005162891825312524,,0.11176086456606593
Tuned PPI,1000,0.5423103424960808,0.6577278166599277,5,0.0,0.01,False,0.0051759469931662834,0.0,0.11541747416384696
Classical,1000,0.5423392040818229,0.6576989550741856,5,0.0,0.01,False,0.0051759469931662834,,0.11535975099236273
PPI,1000,0.4357279060813435,0.5413272854991772,6,0.0,0.01,True,0.0006323424814123328,,0.1055993794178337
Tuned PPI,1000,0.43571458826971243,0.5413105566906984,6,0.0,0.01,True,0.0006321602668500361,0.9313735395603703,0.10559596842098595
Classical,1000,0.43541509472532286,0.5412022683570179,6,0.0,0.01,True,0.0006297206155338515,,0.10578717363169504
PPI,1000,0.4155040383089083,0.5216533095896194,7,0.0,0.01,True,0.0013250316899926777,,0.10614927128071111
Tuned PPI,1000,0.4181240178682652,0.5195931143046362,7,0.0,0.01,True,0.001322012429127713,0.0,0.10146909643637098
Classical,1000,0.4181493914873657,0.5195677406855357,7,0.0,0.01,True,0.001322012429127713,,0.10141834919817
PPI,1000,0.437284659934286,0.5471148742765025,8,0.0,0.01,True,0.0001519838006978886,,0.10983021434221651
Tuned PPI,1000,0.4372809131728658,0.5471066255953837,8,0.0,0.01,True,0.00015187646878233978,0.9501677954878017,0.10982571242251787
Classical,1000,0.43483977370662724,0.5493190438299431,8,0.0,0.01,True,0.00014985552280956109,,0.11447927012331588
PPI,1000,0.40298431229554404,0.5024999537395035,9,0.0,0.01,True,0.0037432751470325926,,0.09951564144395947
Tuned PPI,1000,0.40298696482970126,0.5024434256159308,9,0.0,0.01,True,0.0037501720048635587,0.8335104574944077,0.09945646078622955
Classical,1000,0.4030978060902737,0.502062862506734,9,0.0,0.01,True,0.0037848016401676593,,0.09896505641646036
PPI,2000,0.4328065425838076,0.5055413491688302,0,0.0,0.01,True,0.0005714330983102276,,0.07273480658502263
Tuned PPI,2000,0.4330465975230395,0.5058028879660543,0,0.0,0.01,True,0.0005593691007942063,0.24215602512452744,0.07275629044301485
Classical,2000,0.43370717895608474,0.5053025821959083,0,0.0,0.01,True,0.0005555488510816709,,0.07159540323982355
PPI,2000,0.46828770244071044,0.541828996453298,1,0.0,0.01,True,2.308025249772276e-05,,0.07354129401258752
Tuned PPI,2000,0.4681700028205915,0.5417118420593912,1,0.0,0.01,True,2.2437768078075587e-05,0.6712838922439498,0.07354183923879964
Classical,2000,0.4675170359451007,0.5418852044587864,1,0.0,0.01,True,2.1169022458962658e-05,,0.07436816851368572
PPI,2000,0.4314397798256282,0.5120335941209898,2,0.0,0.01,True,0.00046689649064142165,,0.08059381429536161
Tuned PPI,2000,0.4328396140384453,0.5112687929049917,2,0.0,0.01,True,0.0004547954360807132,0.0,0.07842917886654643
