method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.498673842140685,0.5092737656789214,0,0.0,0.01,True,1.3059745173775097e-05,,0.010599923538236355
Tuned PPI,1000,0.4986933196951351,0.5095784683125495,0,0.0,0.01,True,1.2956337199488081e-05,0.0,0.010885148617414409
Classical,1000,0.49869604166295156,0.509575746344733,0,0.0,0.01,True,1.2956337199488081e-05,,0.010879704681781455
PPI,1000,0.49572496300309915,0.5060685382470775,1,0.0,0.01,True,5.284568918025774e-07,,0.010343575243978387
Tuned PPI,1000,0.49557365100706074,0.5061892657937614,1,0.0,0.01,True,5.225692986686924e-07,0.0,0.0106156147867007
Classical,1000,0.4955763055745653,0.506186611226257,1,0.0,0.01,True,5.225692986686924e-07,,0.010610305651691687
PPI,1000,0.49411318519673936,0.5040862761814268,2,0.0,0.01,True,1.5651020650685446e-05,,0.009973090984687405
Tuned PPI,1000,0.49391650893746686,0.5046860109282814,2,0.0,0.01,True,1.6185253657452924e-05,0.0,0.0107695019908145
Classical,1000,0.4939192019863952,0.504683317879353,2,0.0,0.01,True,1.6185253657452924e-05,,0.010764115892957837
PPI,1000,0.49537148848803053,0.5063373346221834,3,0.0,0.01,True,6.307408318499163e-07,,0.010965846134152912
Tuned PPI,1000,0.4955226303154454,0.5063442340816757,3,0.0,0.01,True,4.4486411452125213e-07,0.0,0.010821603766230314
Classical,1000,0.4955253363930756,0.5063415280040455,3,0.0,0.01,True,4.4486411452125213e-07,,0.010816191610969916
PPI,1000,0.49188270497887815,0.5021864404969825,4,0.0,0.01,True,4.438854974199652e-06,,0.010303735518104318
Tuned PPI,1000,0.4921300567371223,0.5024110793217396,4,0.0,0.01,True,3.84558147755336e-06,0.3329802737483978,0.010281022584617272
Classical,1000,0.4920924164692876,0.5026843401377364,4,0.0,0.01,True,3.5854571407668716e-06,,0.010591923668448855
PPI,1000,0.4997463828606894,0.5099687137708044,5,0.0,0.01,True,1.3034304481101735e-05,,0.01022233091011504
Tuned PPI,1000,0.4994233627336683,0.5096110951969374,5,0.0,0.01,True,1.1050331510460565e-05,0.38993369183229115,0.010187732463269095
Classical,1000,0.4989666033022019,0.5096328134568325,5,0.0,0.01,True,9.88124022659019e-06,,0.010666210154630651
PPI,1000,0.49528897761079066,0.5060120478806146,6,0.0,0.01,True,7.724015588057184e-07,,0.010723070269823942
Tuned PPI,1000,0.4956007130778001,0.5053852796008299,6,0.0,0.01,True,3.8398755246018485e-07,0.0,0.00978456652302978
Classical,1000,0.49560315983127223,0.5053828328473577,6,0.0,0.01,True,3.839875524601446e-07,,0.00977967301608551
PPI,1000,0.4947940064148116,0.505197249209253,7,0.0,0.01,True,2.6585652178452027e-08,,0.010403242794441436
Tuned PPI,1000,0.49501423182695137,0.5053617085329251,7,0.0,0.01,True,2.3242902061873932e-07,0.0,0.01034747670597369
Classical,1000,0.4950168193431687,0.5053591210167078,7,0.0,0.01,True,2.3242902061873932e-07,,0.010342301673539056
PPI,1000,0.4881177458124551,0.4984031830390739,8,0.0,0.01,False,2.3848387012339557e-05,,0.010285437226618788
