method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.4933943517144468,0.5036031567501016,0,0.0,0.01,True,3.0860219827475134e-06,,0.0102088050356548
Tuned PPI,1000,0.4935508983933337,0.503693150867967,0,0.0,0.01,True,2.5326790453173638e-06,0.16297368585727842,0.01014225247463324
Classical,1000,0.4937824385124872,0.5035096136152493,0,0.0,0.01,True,2.4313594474291087e-06,,0.009727175102762053
PPI,1000,0.492378629054546,0.5027544821953347,1,0.0,0.01,True,5.839606419780876e-06,,0.010375853140788704
Tuned PPI,1000,0.49243684326998877,0.5028232839868764,1,0.0,0.01,True,5.816861665506316e-06,0.23390171359719658,0.010386440716887602
Classical,1000,0.4924515241163022,0.5028473831015873,1,0.0,0.01,True,5.811291192008576e-06,,0.010395858985285056
PPI,1000,0.4960145477963521,0.5060244615683779,2,0.0,0.01,True,3.858136918173211e-06,,0.010009913772025758
Tuned PPI,1000,0.4960277936102587,0.5060410552126978,2,0.0,0.01,True,3.5464657972647196e-06,0.5796430794432073,0.010013261602439094
Classical,1000,0.49576844315859786,0.5063415522105659,2,0.0,0.01,True,3.1446951782431643e-06,,0.01057310905196801
PPI,1000,0.49272107334574505,0.5034861290059524,3,0.0,0.01,True,2.6164689983833195e-06,,0.010765055660207301
Tuned PPI,1000,0.4928190132875523,0.5025488288896144,3,0.0,0.01,True,3.272473231440577e-06,0.0,0.009729815602062097
Classical,1000,0.4928214463498705,0.5025463958272961,3,0.0,0.01,True,3.2724732314407057e-06,,0.009724949477425582
PPI,1000,0.49528068140744386,0.5058163615149914,4,0.0,0.01,True,1.4359203004604001e-06,,0.010535680107547574
Tuned PPI,1000,0.495415671663407,0.5058962185810217,4,0.0,0.01,True,1.767012271979739e-06,0.07557519291341909,0.010480546917614741
Classical,1000,0.4957712038247284,0.5055582509935652,4,0.0,0.01,True,1.7956990007007438e-06,,0.009787047168836827
PPI,1000,0.4897842089478635,0.5000221347759278,5,0.0,0.01,True,1.7161356746981562e-05,,0.01023792582806432
Tuned PPI,1000,0.48962357258253664,0.49980352557826035,5,0.0,0.01,False,1.831384717344148e-05,0.06028901584562469,0.010179952995723718
Classical,1000,0.4895288797755367,0.4998738871364591,5,0.0,0.01,False,1.8389128152366946e-05,,0.010345007360922365
PPI,1000,0.49670499689316855,0.5071494630992673,6,0.0,0.01,True,2.498695250436237e-06,,0.01044446620609879
Tuned PPI,1000,0.49680272277563026,0.507176254659042,6,0.0,0.01,True,2.37917449279136e-06,0.05187988375921276,0.01037353188341178
Classical,1000,0.49716921175018763,0.5068165791148912,6,0.0,0.01,True,2.374383444047136e-06,,0.009647367364703563
PPI,1000,0.494878407579434,0.5059186695143626,7,0.0,0.01,True,4.62058932414004e-06,,0.011040261934928575
Tuned PPI,1000,0.49452773668395533,0.505236651685365,7,0.0,0.01,True,4.82976820077275e-06,0.0,0.010708915001409691
Classical,1000,0.49453041458234775,0.5052339737869727,7,0.0,0.01,True,4.82976820077275e-06,,0.010703559204624902
PPI,1000,0.49739827104395257,0.5081259407050499,8,0.0,0.01,True,4.83678422855122e-06,,0.010727669661097339
Tuned PPI,1000,0.4973463624714335,0.5080458017960937,8,0.0,0.01,True,4.854308789772191e-06,0.2482867435439784,0.01069943932466022
Classical,1000,0.49738864325417215,0.5079599064583538,8,0.0,0.01,True,4.864892478011427e-06,,0.010571263204181613
PPI,1000,0.4963746212106255,0.5059745353845171,9,0.0,0.01,True,7.023302022358773e-07,,0.00959991417389161
Tuned PPI,1000,0.49625990585162333,0.5058697755423108,9,0.0,0.01,True,5.85782613351172e-07,0.4865183317069543,0.0096098696906875
Classical,1000,0.49566939259902715,0.5062523384135462,9,0.0,0.01,True,4.876555340627505e-07,,0.010582945814519074
PPI,2000,0.4962720984356184,0.5036251046295864,0,0.0,0.01,True,1.7898502220672585e-09,,0.007353006193968004
Tuned PPI,2000,0.49577594377805007,0.5031008766694701,0,0.0,0.01,True,2.0241021370137224e-07,0.0,0.007324932891420055
Classical,2000,0.4957768595091422,0.503099960938378,0,0.0,0.01,True,2.0241021370137224e-07,,0.007323101429235868
PPI,2000,0.4925820545634491,0.4996239380305901,1,0.0,0.01,False,9.630197005937716e-06,,0.007041883467140964
Tuned PPI,2000,0.49261538746952666,0.49976422025815853,1,0.0,0.01,False,9.9550394653111e-06,0.0,0.007148832788631876
Classical,2000,0.49261628118535367,0.4997633265423315,1,0.0,0.01,False,9.9550394653111e-06,,0.007147045356977855
PPI,2000,0.49416461411192986,0.5019636714910172,2,0.0,0.01,True,2.2244514078965116e-06,,0.007799057379087315
Tuned PPI,2000,0.49419334444346796,0.5017192358050446,2,0.0,0.01,True,2.7472143927004965e-06,0.0,0.007525891361576664
Classical,2000,0.49419428529750964,0.501718294951003,2,0.0,0.01,True,2.7472143927004965e-06,,0.007524009653493313
PPI,2000,0.49591112573908724,0.5035955375656904,3,0.0,0.01,True,8.522810746411086e-07,,0.007684411826603177
Tuned PPI,2000,0.4955145691535342,0.5031915357431427,3,0.0,0.01,True,1.3244716795734983e-06,0.027309962348703153,0.0076769665896084804
Classical,2000,0.49544739089723383,0.5032362369315829,3,0.0,0.01,True,1.3406865329101375e-06,,0.007788846034349095
PPI,2000,0.4946325338420377,0.5020838968477185,4,0.0,0.01,True,2.0798455530087443e-06,,0.007451363005680778
Tuned PPI,2000,0.4948141823599564,0.5022495734765542,4,0.0,0.01,True,1.7506082920607471e-06,0.29290128521143505,0.0074353911165978
Classical,2000,0.4948426466530482,0.5023649815731913,4,0.0,0.01,True,1.6237931016773349e-06,,0.007522334920143092
PPI,2000,0.4928065018425975,0.500140339481392,5,0.0,0.01,True,9.310077701876777e-06,,0.007333837638794527
Tuned PPI,2000,0.4927857175754925,0.500111593795194,5,0.0,0.01,True,9.64023894119667e-06,0.5661954195103008,0.007325876219701488
Classical,2000,0.4927254703368268,0.5001071952602786,5,0.0,0.01,True,1.0085857179333414e-05,,0.007381724923451793
PPI,2000,0.49651819804582087,0.5037475018129463,6,0.0,0.01,True,5.19685555549251e-07,,0.0072293037671253835
Tuned PPI,2000,0.4965574823984592,0.5037860899684928,6,0.0,0.01,True,7.031089225889028e-07,0.0,0.007228607570033629
Classical,2000,0.49655838608738073,0.5037851862795714,6,0.0,0.01,True,7.031089225889679e-07,,0.00722680019219063
PPI,2000,0.49355437546023917,0.5005512564630314,7,0.0,0.01,True,5.566240546276203e-06,,0.006996881002792277
Tuned PPI,2000,0.4936400881844079,0.5006343769717942,7,0.0,0.01,True,5.365539471408006e-06,0.701183316755629,0.006994288787386338
Classical,2000,0.49368775898443223,0.5009828789856837,7,0.0,0.01,True,4.925692942358412e-06,,0.007295120001251487
PPI,2000,0.4975680170879153,0.5047928134227411,8,0.0,0.01,True,3.344513158490116e-06,,0.007224796334825756
Tuned PPI,2000,0.4975468617421905,0.5047286849683013,8,0.0,0.01,True,4.306721472944281e-06,0.05110051283680477,0.007181823226110773
Classical,2000,0.4977201785047127,0.5045507754686306,8,0.0,0.01,True,4.363224553678123e-06,,0.006830596963917912
PPI,2000,0.49626680728453465,0.5032909223883953,9,0.0,0.01,True,5.324694016155193e-07,,0.007024115103860695
