method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.4206775435635638,0.5256629616828367,0,0.0,0.01,True,0.0006429378505615712,,0.10498541811927287
Tuned PPI,1000,0.4206775435635638,0.5256629616828367,0,0.0,0.01,True,0.0006429378505615712,1.0,0.10498541811927287
Classical,1000,0.03794542046078919,1.0387249286198872,0,0.0,0.01,True,0.24502186156487288,,1.000779508159098
PPI,1000,0.42304695498121103,0.528038581257391,1,0.0,0.01,True,0.000748273851832974,,0.10499162627617997
Tuned PPI,1000,0.42246948621568425,0.527010941637085,1,0.0,0.01,True,0.0007683184101051065,0.9936394227030505,0.1045414554214007
Classical,1000,-0.17137282601968945,0.8701057359325943,1,0.0,0.01,True,0.011809368675039416,,1.0414785619522837
PPI,1000,0.422033297374555,0.5270257926862945,2,0.0,0.01,True,0.000699271760157182,,0.10499249531173943
Tuned PPI,1000,0.422033297374555,0.5270257926862945,2,0.0,0.01,True,0.000699271760157182,1.0,0.10499249531173943
Classical,1000,-0.13515073523662013,0.9557428135023645,2,0.0,0.01,True,0.037413266707730784,,1.0908935487389846
PPI,1000,0.42391919122197963,0.5289152761718452,3,0.0,0.01,True,0.0006864354893384276,,0.10499608494986556
Tuned PPI,1000,0.42391919122197963,0.5289152761718452,3,0.0,0.01,True,0.0006864354893384276,1.0,0.10499608494986556
Classical,1000,-0.2334777146703354,0.7693178930743231,3,0.0,0.01,True,0.035484455065002495,,1.0027956077446585
PPI,1000,0.42229882851020795,0.527324849901901,4,0.0,0.01,True,0.0007226207848341358,,0.10502602139169304
Tuned PPI,1000,0.41365834538278806,0.5292682800778283,4,0.0,0.01,True,0.0010941668326525829,0.9416673265264874,0.11560993469504027
Classical,1000,-0.1269123338207992,0.9617280915135964,4,0.0,0.01,True,0.018860475757614487,,1.0886404253343955
PPI,1000,0.42341678837684277,0.5284118829946955,5,0.0,0.01,True,0.000739720504304196,,0.10499509461785278
Tuned PPI,1000,0.42341678837684277,0.5284118829946955,5,0.0,0.01,True,0.000739720504304196,1.0,0.10499509461785278
Classical,1000,-0.19054930016277166,0.792235018869976,5,0.0,0.01,True,0.01983196855266409,,0.9827843190327477
PPI,1000,0.426742646051824,0.5318193702299595,6,0.0,0.01,True,0.0007890216979565385,,0.10507672417813552
Tuned PPI,1000,0.3639838047288723,0.5025893321673285,6,0.0,0.01,True,0.0022253644621752005,0.8957076571945157,0.13860552743845617
Classical,1000,-0.4280430606650071,0.5045759949349775,6,0.0,0.01,True,0.14957320818384864,,0.9326190555999846
PPI,1000,0.42410681360484265,0.5291015792512075,7,0.0,0.01,True,0.0005617922938749766,,0.10499476564636484
Tuned PPI,1000,0.42410681360484265,0.5291015792512075,7,0.0,0.01,True,0.0005617922938749766,1.0,0.10499476564636484
Classical,1000,-0.36272040779656217,0.7180735050559675,7,0.0,0.01,True,0.22342191303171371,,1.0807939128525297
PPI,1000,0.41554590566664296,0.520555142529617,8,0.0,0.01,True,0.0009414635379793344,,0.10500923686297403
Tuned PPI,1000,0.445919334967517,0.5641589825796067,8,0.0,0.01,True,0.0004872110095688794,0.9373326104242462,0.11823964761208972
Classical,1000,0.5470239708702567,1.5695518003306745,8,0.0,0.01,False,0.15721563364870209,,1.0225278294604179
PPI,1000,0.422342728904412,0.5273104645353854,9,0.0,0.01,True,0.0007473865797979469,,0.10496773563097345
Tuned PPI,1000,0.422342728904412,0.5273104645353854,9,0.0,0.01,True,0.0007473865797979469,1.0,0.10496773563097345
Classical,1000,-0.10037485251949257,0.97530630133642,9,0.0,0.01,True,0.006859773863651105,,1.0756811538559126
PPI,2000,0.41603330130001903,0.5214788146297243,0,0.0,0.01,True,0.0009236973510168417,,0.10544551332970531
Tuned PPI,2000,0.41603330130001903,0.5214788146297243,0,0.0,0.01,True,0.0009236973510168417,1.0,0.10544551332970531
Classical,2000,0.36125662233305456,1.0986089695174734,0,0.0,0.01,True,0.02694536178464326,,0.7373523471844189
PPI,2000,0.42253835635531917,0.5280733992895008,1,0.0,0.01,True,0.0008773920631642792,,0.10553504293418164
Tuned PPI,2000,0.42233615134144065,0.52690124358891,1,0.0,0.01,True,0.0008041612804503063,0.9857409763364848,0.10456509224746935
Classical,2000,0.06730196468083227,0.7869244600393935,1,0.0,0.01,True,0.01572163378612097,,0.7196224953585613
PPI,2000,0.42485669298175327,0.530309422881052,2,0.0,0.01,True,0.0005824650108558645,,0.10545272989929871
Tuned PPI,2000,0.42485669298175327,0.530309422881052,2,0.0,0.01,True,0.0005824650108558645,1.0,0.10545272989929871
Classical,2000,-0.04087580227572318,0.688009681957735,2,0.0,0.01,True,0.04368586186780566,,0.7288854842334582
PPI,2000,0.4210576850263463,0.5266906173261316,3,0.0,0.01,True,0.0009641041471571262,,0.10563293229978538
Tuned PPI,2000,0.41658202202260797,0.5309987365743384,3,0.0,0.01,True,0.0004274514967996794,0.9128198397571922,0.11441671455173041
Classical,2000,0.1159223531657137,0.8299041385928752,3,0.0,0.01,True,0.02476231364997718,,0.7139817854271615
PPI,2000,0.4248190315532746,0.530476955622092,4,0.0,0.01,True,0.0008351037969024932,,0.10565792406881735
Tuned PPI,2000,0.41366685248996365,0.5209736433301078,4,0.0,0.01,True,0.0007833349238082702,0.9427177316031711,0.1073067908401441
Classical,2000,-0.0705894152648831,0.6652940373741436,4,0.0,0.01,True,0.0355356369623751,,0.7358834526390268
PPI,2000,0.41701803933025655,0.5226234802634412,5,0.0,0.01,True,0.0007793323538546208,,0.10560544093318464
Tuned PPI,2000,0.4283863507890709,0.5381131036779537,5,0.0,0.01,True,0.0009151024292627649,0.9324812354686784,0.10972675288888284
Classical,2000,0.3006843346599505,1.036741934991904,5,0.0,0.01,True,0.041027916976790514,,0.7360576003319536
PPI,2000,0.424028601062831,0.5295586491525548,6,0.0,0.01,True,0.0005316210724400277,,0.10553004808972377
Tuned PPI,2000,0.424028601062831,0.5295586491525548,6,0.0,0.01,True,0.0005316210724400277,1.0,0.10553004808972377
Classical,2000,-0.048166777452733844,0.741209332425222,6,0.0,0.01,True,0.07203512008398356,,0.7893761098779559
PPI,2000,0.42256354009732033,0.5281383909300631,7,0.0,0.01,True,0.0006750911401402658,,0.10557485083274276
Tuned PPI,2000,0.4205920527597835,0.5256754485063658,7,0.0,0.01,True,0.0008651634521927605,0.9639988080320459,0.10508339574658232
Classical,2000,0.04016982069989389,0.7873575841845424,7,0.0,0.01,True,0.015335644118701803,,0.7471877634846484
PPI,2000,0.42599906746866406,0.5315929915399861,8,0.0,0.01,True,0.0006457098036522561,,0.10559392407132201
Tuned PPI,2000,0.41852737729985023,0.5234290644440123,8,0.0,0.01,True,0.0008869174003497992,0.9658381421709729,0.10490168714416204
Classical,2000,-0.12049908986638314,0.6203989079248935,8,0.0,0.01,True,0.03393776772215444,,0.7408979977912766
PPI,2000,0.41384295496324963,0.5194812918574525,9,0.0,0.01,True,0.001151565140018154,,0.10563833689420288
Tuned PPI,2000,0.4425437997046604,0.557168709674545,9,0.0,0.01,True,6.54449648714661e-05,0.9118219957232824,0.11462490996988461
Classical,2000,0.4953809934558574,1.1908324018895189,9,0.0,0.01,True,0.08467972262315035,,0.6954514084336615
PPI,3000,0.42378788500298237,0.5298726507588223,0,0.0,0.01,True,0.0009873094624487998,,0.10608476575583992
Tuned PPI,3000,0.4207635690586291,0.5256920419431809,0,0.0,0.01,True,0.0006986877122674945,0.9541302456502853,0.10492847288455176
Classical,3000,0.09926645288033864,0.6973205414566824,0,0.0,0.01,True,0.029365730520891954,,0.5980540885763438
PPI,3000,0.41325577761427307,0.5193761429462386,1,0.0,0.01,True,0.0011188472743149298,,0.1061203653319655
Tuned PPI,3000,0.42971671076740375,0.5360194548412369,1,0.0,0.01,True,0.00047845628387906315,0.936823679702524,0.10630274407383317
Classical,3000,0.4269569822616271,1.0296726148373798,1,0.0,0.01,True,0.029659742619558907,,0.6027156325757528
PPI,3000,0.4188432980479812,0.5250218807148175,2,0.0,0.01,True,0.0006672216799556031,,0.10617858266683627
Tuned PPI,3000,0.4239779939902313,0.5295365219736976,2,0.0,0.01,True,0.0009288261744698483,0.9427138289537405,0.10555852798346632
Classical,3000,0.2619370158785612,0.8503691151227406,2,0.0,0.01,True,0.03253658894322121,,0.5884320992441794
PPI,3000,0.42442756236856344,0.5305971158607818,3,0.0,0.01,True,0.0010205139335205205,,0.1061695534922184
Tuned PPI,3000,0.4206627231706464,0.5251984727160601,3,0.0,0.01,True,0.0007488802180707159,0.9621653862350931,0.10453574954541373
Classical,3000,0.06415551537395642,0.6486707780753058,3,0.0,0.01,True,0.045532478437977975,,0.5845152627013495
PPI,3000,0.42958148837833576,0.5354714769382453,4,0.0,0.01,True,0.0007098647919966264,,0.1058899885599095
Tuned PPI,3000,0.42958148837833576,0.5354714769382453,4,0.0,0.01,True,0.0007098647919966264,1.0,0.1058899885599095
Classical,3000,-0.10748772409729454,0.5302291555970504,4,0.0,0.01,True,0.0453096070824224,,0.637716879694345
PPI,3000,0.4222348654029988,0.5283226097822106,5,0.0,0.01,True,0.0007148311361698654,,0.10608774437921176
Tuned PPI,3000,0.4222348654029988,0.5283226097822106,5,0.0,0.01,True,0.0007148311361698654,1.0,0.10608774437921176
Classical,3000,0.13130663420634447,0.7367199038998969,5,0.0,0.01,True,0.004898671671871841,,0.6054132696935525
PPI,3000,0.41674003787025,0.5226428275214586,6,0.0,0.01,True,0.00076328164899143,,0.10590278965120864
Tuned PPI,3000,0.41674003787025,0.5226428275214586,6,0.0,0.01,True,0.00076328164899143,1.0,0.10590278965120864
Classical,3000,0.30843396726557193,0.9127425347823565,6,0.0,0.01,True,0.02566885050639646,,0.6043085675167845
PPI,3000,0.40602796048399536,0.5122095544376161,7,0.0,0.01,True,0.0011403215167308718,,0.1061815939536207
Tuned PPI,3000,0.44745689883166095,0.5565044053621528,7,0.0,0.01,True,0.0008212447163766194,0.9153420851361835,0.10904750653049189
Classical,3000,0.6657337923025315,1.2650940918728046,7,0.0,0.01,False,0.13061754121005112,,0.5993602995702731
PPI,3000,0.43415241551474204,0.540072023466394,8,0.0,0.01,True,0.0003226231438613346,,0.105919607951652
Tuned PPI,3000,0.42669147137234764,0.5312709618336026,8,0.0,0.01,True,0.0005893881183447112,0.9804585792017504,0.10457949046125492
Classical,3000,-0.23088536602466392,0.37292846348109854,8,0.0,0.01,False,0.13433948538953563,,0.6038138295057625
PPI,3000,0.4227906959154568,0.5288062151565516,9,0.0,0.01,True,0.0007433362285663449,,0.10601551924109476
Tuned PPI,3000,0.4224775685408139,0.5272767709007428,9,0.0,0.01,True,0.0007623146284682465,0.9843503527194951,0.10479920235992884
Classical,3000,0.11274478486708167,0.7211132661894217,9,0.0,0.01,True,0.003693100177739404,,0.60836848132234
PPI,4000,0.4275335284259705,0.5341481487852827,0,0.0,0.01,True,0.0005125572019755346,,0.10661462035931224
Tuned PPI,4000,0.42100142175074956,0.5255003371157647,0,0.0,0.01,True,0.0008314594583835009,0.9565413608204497,0.10449891536501515
Classical,4000,0.04266371507339489,0.5697222034275353,0,0.0,0.01,True,0.02909689756375713,,0.5270584883541405
PPI,4000,0.41992539565271014,0.5264995090008222,1,0.0,0.01,True,0.0009688470067546052,,0.10657411334811207
Tuned PPI,4000,0.42112928864391136,0.5260236640488477,1,0.0,0.01,True,0.000870659998105602,0.9783800911438584,0.10489437540493635
Classical,4000,0.22264771334756234,0.7574520806901428,1,0.0,0.01,True,0.0038210810421592826,,0.5348043673425804
PPI,4000,0.41706713504194326,0.5236808489583773,2,0.0,0.01,True,0.0007518860631337222,,0.10661371391643404
Tuned PPI,4000,0.4177289206320593,0.5238841333488378,2,0.0,0.01,True,0.0007539738942035555,0.9954532954927701,0.10615521271677847
Classical,4000,0.3050269825917279,0.8259840763898306,2,0.0,0.01,True,0.013955089651598914,,0.5209570937981027
PPI,4000,0.41922643170934304,0.5258662592629978,3,0.0,0.01,True,0.0009384149564355348,,0.10663982755365475
Tuned PPI,4000,0.42196064461513083,0.526459780199279,3,0.0,0.01,True,0.0007749691304687288,0.9558448671143789,0.10449913558414814
Classical,4000,0.24770719235068284,0.7727500966784409,3,0.0,0.01,True,0.001394006347526241,,0.525042904327758
PPI,4000,0.4177282114562737,0.5243975175666868,4,0.0,0.01,True,0.0009868568245689846,,0.10666930611041314
