method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.4693060445204803,0.582630757368891,0,0.0,0.01,True,0.0005144310740376605,,0.11332471284841072
Tuned PPI,1000,0.4756200198915779,0.5756386224851017,0,0.0,0.01,True,0.000502587652621955,0.0,0.10001860259352374
Classical,1000,0.47564503079651654,0.5756136115801631,0,0.0,0.01,True,0.000502587652621955,,0.09996858078364657
PPI,1000,0.4570046153232666,0.5596943086011569,1,0.0,0.01,True,0.00012316722763122594,,0.10268969327789029
Tuned PPI,1000,0.4570046153232666,0.5596943086011569,1,0.0,0.01,True,0.00012316722763122594,1.0,0.10268969327789029
Classical,1000,0.46037131845780743,0.5563303363873767,1,0.0,0.01,True,0.00011922972501445488,,0.09595901792956929
PPI,1000,0.4041689709898425,0.5086890233899325,2,0.0,0.01,True,0.0009556782757524561,,0.10452005240008999
Tuned PPI,1000,0.404115233642846,0.5086161098964118,2,0.0,0.01,True,0.0009583688937573648,0.5465460474866558,0.1045008762535658
Classical,1000,0.40422689730647293,0.5083517945337274,2,0.0,0.01,True,0.0009616177277389713,,0.10412489722725443
PPI,1000,0.45357174939800327,0.5566907172022998,3,0.0,0.01,True,0.0015178942747873215,,0.10311896780429652
Tuned PPI,1000,0.45357174939800327,0.5566907172022998,3,0.0,0.01,True,0.0015178942747873215,1.0,0.10311896780429652
Classical,1000,0.4529861212638723,0.5567420827260924,3,0.0,0.01,True,0.0015223203883258493,,0.1037559614622201
PPI,1000,0.46603815930908016,0.5668830474682413,4,0.0,0.01,True,0.00013770309203781845,,0.1008448881591611
Tuned PPI,1000,0.4625291833725883,0.5686870270474133,4,0.0,0.01,True,0.00012372823127283813,0.0,0.10615784367482495
Classical,1000,0.4625557294716917,0.5686604809483098,4,0.0,0.01,True,0.00012372823127283813,,0.10610475147661808
PPI,1000,0.42138000032717216,0.529135888414234,5,0.0,0.01,True,0.0006384861936131264,,0.10775588808706182
Tuned PPI,1000,0.4244407879994128,0.5265578453591434,5,0.0,0.01,True,0.0006354306699749492,0.0,0.10211705735973059
Classical,1000,0.42446632364926207,0.5265323097092942,5,0.0,0.01,True,0.0006354306699749492,,0.10206598606003214
PPI,1000,0.4877426612840629,0.5926902598231193,6,0.0,0.01,True,0.0008198719736067964,,0.10494759853905639
Tuned PPI,1000,0.4867511819854439,0.5936138560583555,6,0.0,0.01,True,0.0008188681864393912,0.0,0.10686267407291156
Classical,1000,0.48677790433622087,0.5935871337075787,6,0.0,0.01,True,0.0008188681864393912,,0.10680922937135778
PPI,1000,0.44416385426093563,0.5442293573314444,7,0.0,0.01,True,2.139570346184694e-05,,0.10006550307050877
Tuned PPI,1000,0.447394627622159,0.5401766191705515,7,0.0,0.01,True,2.41607712466875e-05,0.0,0.0927819915483925
Classical,1000,0.4474178289218218,0.5401534178708887,7,0.0,0.01,True,2.4160771246687153e-05,,0.09273558894906686
PPI,1000,0.4469772081231393,0.5550812188601701,8,0.0,0.01,True,4.2482614329717906e-05,,0.10810401073703085
Tuned PPI,1000,0.4478144456077094,0.5544806884348773,8,0.0,0.01,True,4.5657851465001215e-05,0.0,0.10666624282716791
Classical,1000,0.4478411188383917,0.554454015204195,8,0.0,0.01,True,4.5657851465001215e-05,,0.10661289636580329
PPI,1000,0.45519956638032444,0.552815642388239,9,0.0,0.01,True,8.040129293749134e-06,,0.09761607600791455
Tuned PPI,1000,0.4518813623077766,0.5555102690094891,9,0.0,0.01,True,6.922308130824277e-06,0.0,0.10362890670171249
Classical,1000,0.4519072760144992,0.5554843553027665,9,0.0,0.01,True,6.922308130824277e-06,,0.10357707928826732
PPI,2000,0.44001710358382595,0.512228370216484,0,0.0,0.01,True,0.0003116328073001354,,0.07221126663265809
Tuned PPI,2000,0.4398742584781676,0.5120632301252458,0,0.0,0.01,True,0.00031565706203887,0.44455289857633096,0.07218897164707822
Classical,2000,0.43874481512297164,0.5129461770784471,0,0.0,0.01,True,0.00031889648113969383,,0.0742013619554755
PPI,2000,0.46297405848708406,0.5380374649686801,1,0.0,0.01,True,4.830931212479326e-05,,0.07506340648159604
Tuned PPI,2000,0.46421360389492006,0.5365337677494424,1,0.0,0.01,True,4.652327976446306e-05,0.0,0.07232016385452233
Classical,2000,0.46422264504568705,0.5365247265986753,1,0.0,0.01,True,4.65232797644636e-05,,0.07230208155298828
PPI,2000,0.44154442622966844,0.5133454427243742,2,0.0,0.01,True,0.00035682045139273774,,0.07180101649470577
Tuned PPI,2000,0.4400260594936116,0.5144818452638015,2,0.0,0.01,True,0.0003550609181142073,0.0,0.07445578577018985
Classical,2000,0.44003536763049556,0.5144725371269175,2,0.0,0.01,True,0.0003550609181142073,,0.07443716949642198
PPI,2000,0.4388567246263718,0.5138616525753313,3,0.0,0.01,True,0.0003105040011379061,,0.07500492794895952
Tuned PPI,2000,0.43886308657272344,0.5138593211748893,3,0.0,0.01,True,0.00030945431445814124,0.5498905303755282,0.07499623460216587
Classical,2000,0.44060463367449404,0.5121226981175515,3,0.0,0.01,True,0.00030819423384258296,,0.07151806444305747
PPI,2000,0.4618484065521632,0.5364405192425326,4,0.0,0.01,True,0.00012449610262626549,,0.07459211269036936
Tuned PPI,2000,0.4618484065521632,0.5364405192425326,4,0.0,0.01,True,0.00012449610262626549,1.0,0.07459211269036936
Classical,2000,0.46195320024790254,0.5362019551336368,4,0.0,0.01,True,0.0001244054196038637,,0.07424875488573424
PPI,2000,0.4110291308394628,0.48306679973807654,5,0.0,0.01,False,0.0015152949381528297,,0.07203766889861374
Tuned PPI,2000,0.40926684206278297,0.48455949992293346,5,0.0,0.01,False,0.0015202431194067834,0.0,0.07529265786015049
Classical,2000,0.40927625482175745,0.484550087163959,5,0.0,0.01,False,0.0015202431194067834,,0.07527383234220153
PPI,2000,0.44362105926585343,0.5211416930657774,6,0.0,0.01,True,0.0008412479838279365,,0.07752063379992397
Tuned PPI,2000,0.4436281751729668,0.5211556141822854,6,0.0,0.01,True,0.0008390352467375242,0.30410213747435294,0.07752743900931858
Classical,2000,0.44405138673959954,0.5207415956369188,6,0.0,0.01,True,0.0008380692740348688,,0.07669020889731926
PPI,2000,0.48037391491429793,0.5556553156794696,7,0.0,0.01,True,0.00016448011404790705,,0.07528140076517165
Tuned PPI,2000,0.48021366665919596,0.5554807133153926,7,0.0,0.01,True,0.00016099241483013744,0.3336260221744487,0.07526704665619666
Classical,2000,0.48026004628535174,0.5552666877669512,7,0.0,0.01,True,0.00015927932026493503,,0.07500664148159947
PPI,2000,0.4550616804489131,0.5303765443861361,8,0.0,0.01,True,6.963946986673797e-05,,0.07531486393722303
Tuned PPI,2000,0.45372772488455176,0.5312442718929296,8,0.0,0.01,True,7.138945612652536e-05,0.0,0.07751654700837779
Classical,2000,0.4537374156644268,0.5312345811130545,8,0.0,0.01,True,7.138945612652494e-05,,0.07749716544862773
PPI,2000,0.47097599844370197,0.5452080278887456,9,0.0,0.01,True,3.3772942923428575e-05,,0.07423202944504359
Tuned PPI,2000,0.47097599844370197,0.5452080278887456,9,0.0,0.01,True,3.3772942923428575e-05,1.0,0.07423202944504359
Classical,2000,0.4716447368945099,0.5445182057020385,9,0.0,0.01,True,3.3735599531470016e-05,,0.07287346880752854
PPI,3000,0.48533816091767146,0.5442758929174232,0,0.0,0.01,True,0.00032958115661203846,,0.05893773199975172
Tuned PPI,3000,0.48495056268281167,0.544724698294669,0,0.0,0.01,True,0.00033569106895105965,0.0,0.05977413561185729
Classical,3000,0.48495554427594667,0.544719716701534,0,0.0,0.01,True,0.00033569106895105965,,0.05976417242558729
PPI,3000,0.4480688548321151,0.506155348226207,1,0.0,0.01,True,0.00028711611877423163,,0.05808649339409189
Tuned PPI,3000,0.4480862760669473,0.5061640029428958,1,0.0,0.01,True,0.00028687985156721814,0.631604495349493,0.05807772687594848
Classical,3000,0.4471219718953804,0.5071730136540193,1,0.0,0.01,True,0.00028647535083335435,,0.06005104175863896
PPI,3000,0.46672003173253046,0.5265927418274995,2,0.0,0.01,True,0.00010741686967303064,,0.05987271009496903
Tuned PPI,3000,0.4667104072209755,0.5265875730431441,2,0.0,0.01,True,0.00010733572285605828,0.9159755901825747,0.059877165822168565
Classical,3000,0.46594735677453725,0.5271893572815665,2,0.0,0.01,True,0.00010645824032951062,,0.061242000507029215
PPI,3000,0.4606899206697215,0.521703865050742,3,0.0,0.01,True,0.00038442356750543403,,0.06101394438102048
Tuned PPI,3000,0.46078125947778376,0.5211528550884231,3,0.0,0.01,True,0.0003884039420170057,0.0,0.06037159561063937
Classical,3000,0.4607862908634017,0.5211478237028051,3,0.0,0.01,True,0.0003884039420170057,,0.060361532839403376
PPI,3000,0.4866845383410775,0.5482168474471935,4,0.0,0.01,True,0.0001876465700775884,,0.06153230910611596
Tuned PPI,3000,0.48670048359605667,0.5482237970232211,4,0.0,0.01,True,0.00018757991255836769,0.2669678281227418,0.06152331342716444
Classical,3000,0.4871222498945493,0.5478103689444466,4,0.0,0.01,True,0.00018755591890698875,,0.06068811904989729
PPI,3000,0.4871554826856989,0.5467643957600188,5,0.0,0.01,True,0.0012462745601450765,,0.05960891307431987
Tuned PPI,3000,0.4875310984206949,0.5460838041994941,5,0.0,0.01,True,0.0012530187825341406,0.0,0.058552705778799174
Classical,3000,0.48753597821952704,0.5460789244006621,5,0.0,0.01,True,0.0012530187825341406,,0.058542946181135036
PPI,3000,0.439084318240952,0.5012996124514618,6,0.0,0.01,True,0.00045635033323305476,,0.06221529421050981
Tuned PPI,3000,0.43901023277408185,0.5012067547475632,6,0.0,0.01,True,0.0004580318999346768,0.3379344082406234,0.0621965219734813
Classical,3000,0.43859960367382006,0.5015321719861521,6,0.0,0.01,True,0.00045890372403845195,,0.06293256831233202
PPI,3000,0.46522182316920097,0.5272172110576836,7,0.0,0.01,True,7.765286292088352e-05,,0.061995387888482634
Tuned PPI,3000,0.46518576482261725,0.5271757653225595,7,0.0,0.01,True,7.841734807907655e-05,0.6226984876996254,0.061990000499942244
Classical,3000,0.46526421598941636,0.5269694014045616,7,0.0,0.01,True,7.968822214818663e-05,,0.06170518541514525
PPI,3000,0.4705671728629597,0.5307852453237338,8,0.0,0.01,True,0.00040846128345536263,,0.06021807246077415
Tuned PPI,3000,0.47096301533679513,0.5302867626932742,8,0.0,0.01,True,0.0004082469743009264,0.0,0.059323747356479106
Classical,3000,0.47096795939444724,0.5302818186356221,8,0.0,0.01,True,0.0004082469743009264,,0.05931385924117483
PPI,3000,0.47281366067319697,0.530360688137792,9,0.0,0.01,True,7.4862420677088165e-06,,0.05754702746459506
Tuned PPI,3000,0.47281366067319697,0.530360688137792,9,0.0,0.01,True,7.4862420677088165e-06,1.0,0.05754702746459506
Classical,3000,0.4709199394298106,0.5322147870564568,9,0.0,0.01,True,7.519798454515075e-06,,0.061294847626646165
PPI,4000,0.4663309077774394,0.5163840108575116,0,0.0,0.01,True,0.00021359021094758746,,0.050053103080072214
Tuned PPI,4000,0.4657154760693651,0.5171927218870603,0,0.0,0.01,True,0.000211174160972668,0.0,0.05147724581769525
Classical,4000,0.46571869359833673,0.5171895043580886,0,0.0,0.01,True,0.000211174160972668,,0.051470810759751906
PPI,4000,0.4979766384912046,0.5507896689880751,1,0.0,0.01,True,0.00032756659923849807,,0.05281303049687053
Tuned PPI,4000,0.4972965063598355,0.5508693189460208,1,0.0,0.01,True,0.00032077965602567073,0.0,0.05357281258618524
Classical,4000,0.49729985486991723,0.5508659704359391,1,0.0,0.01,True,0.00032077965602567073,,0.053566115566021866
PPI,4000,0.462350152590759,0.5128148387153363,2,0.0,0.01,True,7.898789023450265e-05,,0.050464686124577274
Tuned PPI,4000,0.46255423559076203,0.5130160546833248,2,0.0,0.01,True,7.737023658089212e-05,0.017963808439755594,0.050461819092562754
Classical,4000,0.46142728488916823,0.5141504192797267,2,0.0,0.01,True,7.734258379649271e-05,,0.05272313439055848
PPI,4000,0.5015132029979013,0.5574247229432172,3,0.0,0.01,False,0.0004441380949689958,,0.05591151994531596
Tuned PPI,4000,0.5028631533627103,0.5559426047965882,3,0.0,0.01,False,0.00044196018175942216,0.0,0.05307945143387793
Classical,4000,0.5028664710357924,0.555939287123506,3,0.0,0.01,False,0.00044196018175942216,,0.05307281608771364
PPI,4000,0.48784432326374755,0.537492974880364,4,0.0,0.01,True,0.0002598185960868473,,0.04964865161661641
