method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.4328918270265841,0.5296089278050349,0,0.0,0.01,True,0.00031520370491033834,,0.0967171007784508
Tuned PPI,1000,0.4327996829124729,0.5294396155755532,0,0.0,0.01,True,0.00031403151118159964,0.29052892837517896,0.0966399326630803
Classical,1000,0.4325202449841247,0.5296119869378935,0,0.0,0.01,True,0.00031357026061552037,,0.09709174195376874
PPI,1000,0.4668377626415797,0.5720585378529731,1,0.0,0.01,True,0.002223296199506026,,0.10522077521139339
Tuned PPI,1000,0.46688464140920477,0.5719604482197382,1,0.0,0.01,True,0.0022403180594675947,0.5106354736510459,0.10507580681053347
Classical,1000,0.47111339357714305,0.5676782592307618,1,0.0,0.01,True,0.002258160588170461,,0.09656486565361871
PPI,1000,0.41996019007669916,0.5151178243433443,2,0.0,0.01,True,0.0005302467636685611,,0.09515763426664514
Tuned PPI,1000,0.4198690270149384,0.5151257321708994,2,0.0,0.01,True,0.0005308586130806566,0.4274131279303544,0.09525670515596102
Classical,1000,0.41354067684915236,0.5213919356445345,2,0.0,0.01,True,0.0005313758582847404,,0.1078512587953821
PPI,1000,0.41081124903552957,0.5108205846030575,3,0.0,0.01,True,0.0009644029174309938,,0.10000933556752789
Tuned PPI,1000,0.40729021259284465,0.5144148002419736,3,0.0,0.01,True,0.0009608863362966713,0.0,0.10712458764912897
Classical,1000,0.4073170004383935,0.5143880123964248,3,0.0,0.01,True,0.0009608863362966713,,0.10707101195803137
PPI,1000,0.45303434963850375,0.5572876389572118,4,0.0,0.01,True,0.0020299664227373185,,0.10425328931870803
Tuned PPI,1000,0.4530454846402431,0.5572698224685363,4,0.0,0.01,True,0.0020524338900985983,0.10228593548227728,0.10422433782829321
Classical,1000,0.4517699966074403,0.5585445492097775,4,0.0,0.01,True,0.0020550017545874705,,0.10677455260233715
PPI,1000,0.49055862731165395,0.5951494366844484,5,0.0,0.01,True,0.0012416256620847044,,0.10459080937279447
Tuned PPI,1000,0.4907766977359171,0.5950105351671969,5,0.0,0.01,True,0.0012397369515645728,0.33092497837269735,0.10423383743127984
Classical,1000,0.4867315907759354,0.5990947991245165,5,0.0,0.01,True,0.0012388107622861209,,0.11236320834858105
PPI,1000,0.4400121791204834,0.5410290132644349,6,0.0,0.01,True,0.00013250856829666104,,0.10101683414395146
Tuned PPI,1000,0.43897435648864136,0.5410163341246925,6,0.0,0.01,True,0.00013282803508187665,0.0,0.10204197763605116
