method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.3900884257383275,0.5895989474020208,0,0.0,0.01,True,0.00017891878557229685,,0.19951052166369326
Tuned PPI,1000,0.3899393931364089,0.589458129527646,0,0.0,0.01,True,0.0001840324098473151,0.4958879418137456,0.19951873639123707
Classical,1000,0.3891359559094715,0.5899764449175059,0,0.0,0.01,True,0.00018913290697113164,,0.20084048900803442
PPI,1000,0.38258865803406444,0.5823595760946956,1,0.0,0.01,True,0.004238585153286776,,0.19977091806063113
Tuned PPI,1000,0.37593541857160184,0.5878244108499391,1,0.0,0.01,True,0.004220068415319849,0.0,0.21188899227833724
Classical,1000,0.37598840406935913,0.5877714253521817,1,0.0,0.01,True,0.00422006841531985,,0.21178302128282261
PPI,1000,0.42238728499770173,0.6263474692082622,2,0.0,0.01,True,0.000748823580536567,,0.2039601842105605
Tuned PPI,1000,0.42238728499770173,0.6263474692082622,2,0.0,0.01,True,0.000748823580536567,1.0,0.2039601842105605
Classical,1000,0.4258929347437123,0.6225332863676712,2,0.0,0.01,True,0.0007296085509695283,,0.19664035162395893
PPI,1000,0.33152661271035283,0.5404349096434092,3,0.0,0.01,True,0.0020736253921865857,,0.2089082969330564
Tuned PPI,1000,0.33152661271035283,0.5404349096434092,3,0.0,0.01,True,0.0020736253921865857,1.0,0.2089082969330564
Classical,1000,0.3282078110128712,0.5430258608462271,3,0.0,0.01,True,0.00209794926601668,,0.21481804983335584
PPI,1000,0.42816706741639776,0.6324426198339967,4,0.0,0.01,True,0.0015140410723692168,,0.20427555241759898
Tuned PPI,1000,0.428028219275312,0.6324463668688001,4,0.0,0.01,True,0.0015233689554597172,0.09642734900109921,0.2044181475934881
Classical,1000,0.4290274317113388,0.631432736730432,4,0.0,0.01,True,0.0015243682777157691,,0.2024053050190932
PPI,1000,0.41306455073674775,0.6221632339677029,5,0.0,0.01,True,0.0010401079648836701,,0.20909868323095515
Tuned PPI,1000,0.4145713076099091,0.620154693936771,5,0.0,0.01,True,0.0010328374263829671,0.0,0.2055833863268619
