method,p,n,trial,std,lambda,theta,error,error_max,error_min
PPI,10,100,0,1.0,0.32156428725779257,0.20538395873515572,0.007678129981697343,0.03932341500762336,1.2532733749246617e-05
Classical,10,100,0,1.0,,0.20538395873515572,0.005854996754725122,0.014533283300551654,0.0005569946875288276
PPI,10,100,1,1.0,0.2916833215215304,0.20538395873515572,0.002346823084519609,0.006513590957235159,4.57081033880612e-06
Classical,10,100,1,1.0,,0.20538395873515572,0.0031316585679627904,0.008692435129738423,2.4951876623450224e-05
PPI,10,100,2,1.0,0.4042893539167321,0.20538395873515572,0.01691212468807738,0.0693455521010063,2.0486738227975017e-05
Classical,10,100,2,1.0,,0.20538395873515572,0.006893974868714993,0.026951506881527993,6.130051292052286e-06
PPI,10,100,3,1.0,0.3055208504111824,0.20538395873515572,0.004265687439521447,0.02455618961097341,0.00013996818102922904
Classical,10,100,3,1.0,,0.20538395873515572,0.004609222382249462,0.019550866363364273,4.027702672258355e-05
PPI,10,100,4,1.0,0.32062362292248026,0.20538395873515572,0.0024237710013863076,0.00819362690925766,4.159393015571407e-06
Classical,10,100,4,1.0,,0.20538395873515572,0.01125572739107579,0.03941124577531278,3.582863225146902e-05
PPI,10,100,5,1.0,0.4405193709945763,0.20538395873515572,0.008841797321027734,0.023280812002975083,1.1800422878202303e-05
Classical,10,100,5,1.0,,0.20538395873515572,0.013163862844726476,0.04375924077036893,0.00011756908375813172
PPI,10,100,6,1.0,0.37502901046378573,0.20538395873515572,0.013479386620591583,0.037482909444564554,1.4923547754734134e-05
Classical,10,100,6,1.0,,0.20538395873515572,0.01453570865841423,0.03621370431912938,0.00013439832748955824
PPI,10,100,7,1.0,0.4046233976989851,0.20538395873515572,0.01168565857471173,0.025152973545340664,2.2204000179042317e-06
Classical,10,100,7,1.0,,0.20538395873515572,0.006085595393124504,0.020959860714418316,5.340255685349645e-05
PPI,10,100,8,1.0,0.4318782732318992,0.20538395873515572,0.003600032293874956,0.011085367286766824,9.426455993360101e-05
Classical,10,100,8,1.0,,0.20538395873515572,0.010538317231516468,0.03256265370947467,1.8300606215928192e-05
